Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,27,63,27387,13484,0.6692707697565977,0.0019983716971356674,0.0022950819672131148,6.507699479119588e-06,0.5768506723109681,0.8707190966091123,3375555.5555555555,3184761.904761905
Atf2_Arid5b,82,185,27265,13429,0.6676350675032348,0.0060691288579675816,0.00673952641165756,1.1201197904157217e-05,0.4726040688488581,0.9005274981146492,3216585.3658536584,3150324.3243243243
Atf2_Atf2,71,209,27241,13440,0.6667805961768511,0.005254977425801199,0.00761384335154827,0.00013675624151736863,0.006048556576401099,0.6901872264987698,3151267.6056338027,3362870.813397129
Bach2_Arid5b,138,374,27076,13373,0.6643880764629769,0.010213899785360078,0.013624772313296904,0.0001555686066222247,0.003332477224510886,0.7496565484174709,3253913.0434782607,3206310.1604278074
Bach2_Atf2,248,645,26805,13263,0.6604575083616122,0.018355414107023908,0.023497267759562842,0.00020350994383137866,0.0007146073960127442,0.7811722747872966,3072822.580645161,3214651.1627906975
Bach2_Bach2,235,565,26885,13276,0.6620932106149752,0.017393235141736362,0.02058287795992714,8.638566545515758e-05,0.030356462988548993,0.8450341675055985,3182808.510638298,3245362.8318584072
Bcl6_Arid5b,46,111,27339,13465,0.6685627792290227,0.0034046332617866924,0.004043715846994536,1.7405841954079224e-05,0.35023440623390434,0.8419566039283306,3198913.0434782607,3175135.135135135
Bcl6_Atf2,80,199,27251,13431,0.6672444520397451,0.005921101324846421,0.007249544626593807,4.260481304586925e-05,0.14150987616276084,0.8167549314926345,3212250,3124522.6130653266
Bcl6_Bach2,143,343,27107,13368,0.6652669612558287,0.010583968618162978,0.012495446265938069,5.0665342510180025e-05,0.09887571493088156,0.8470260599666873,3280069.93006993,3191807.580174927
Bcl6_Bcl6,21,55,27395,13490,0.669319596689534,0.0015542890977721857,0.0020036429872495446,1.7924115014640715e-05,0.3926088453021077,0.775731558797209,3078571.4285714286,3491454.5454545454
Bhlhe40_Arid5b,47,85,27365,13464,0.6692219428236615,0.0034786470283472725,0.0030965391621129326,7.156076818869324e-06,0.5174699643010012,1.123398363860384,3559787.234042553,3246705.882352941
Bhlhe40_Atf2,77,159,27291,13434,0.6681477502990649,0.005699060025164681,0.005792349726775957,2.426986654407298e-07,0.9447152242709376,0.9838943250991854,3333116.883116883,3325283.0188679243
Bhlhe40_Bach2,132,283,27167,13379,0.6664632211127658,0.009769817185996595,0.010309653916211293,4.661898058661712e-06,0.636909472852853,0.9476377447194577,3409545.4545454546,3273816.254416961
Bhlhe40_Bcl6,50,90,27360,13461,0.6691731158907254,0.0037006883280290134,0.003278688524590164,8.227040573483349e-06,0.528561308805457,1.1287099400488492,3489600,3431000
Bhlhe40_Bhlhe40,27,33,27417,13484,0.6700031737506409,0.0019983716971356674,0.0012021857923497268,6.583097209942657e-05,0.054219102270548505,1.6622819117083052,3348888.888888889,3264545.4545454546
Bhlhe41_Arid5b,31,57,27393,13480,0.6695149044212788,0.0022944267633779884,0.002076502732240437,3.493776902994874e-06,0.6510775808639726,1.104947625521505,3143225.806451613,3138421.052631579
Bhlhe41_Atf2,43,123,27327,13468,0.6681965772320012,0.0031825919621049515,0.004480874316939891,6.94292744854671e-05,0.0568503435534059,0.7102613769087879,3136046.511627907,3297804.8780487804
Bhlhe41_Bach2,80,176,27274,13431,0.6678059617685115,0.005921101324846421,0.006411657559198543,6.235076616989063e-06,0.5939202420333367,0.9234899509490583,3346875,3275965.909090909
Bhlhe41_Bcl6,34,53,27397,13477,0.6696857986865555,0.0025164680630597293,0.001930783242258652,2.5102315440272364e-05,0.25341638830918645,1.303340534546973,3389117.6470588236,3369056.603773585
Bhlhe41_Bhlhe40,25,40,27410,13486,0.6697834525524279,0.0018503441640145067,0.0014571948998178506,1.5168949897898486e-05,0.3568582092980288,1.2697986825549552,3602400,3429000
Bhlhe41_Bhlhe41,8,18,27432,13503,0.6699055198847684,0.0005921101324846421,0.0006557377049180328,1.0298045532696485e-06,1.0,0.9029679520390793,3472500,3140000
Ctcf_Arid5b,288,626,26824,13223,0.6618979028832304,0.021315964769447117,0.022805100182149363,1.6331842733804253e-05,0.3549864101474294,0.9347016500340628,3438750,3290415.335463259
Ctcf_Atf2,515,1209,26241,12996,0.6532067088205854,0.03811708977869884,0.044043715846994534,0.0001411944364825557,0.005092612235704585,0.8654376463401846,3130427.1844660193,3274168.734491315
Ctcf_Bach2,924,2102,25348,12587,0.6413905910500232,0.06838872030197617,0.07657559198542806,0.0001581180537444521,0.0029413768499645847,0.8930877127922197,3276850.649350649,3244909.609895338
Ctcf_Bcl6,311,684,26766,13200,0.6610434315568468,0.023018281400340464,0.024918032786885248,2.449869875121441e-05,0.24598766210653977,0.9237599772505054,3335594.8553054663,3329210.5263157897
Ctcf_Bhlhe40,278,591,26859,13233,0.662508239544933,0.020575827103841315,0.021530054644808744,7.027679196507791e-06,0.5596054444259402,0.9556792791885687,3289640.287769784,3344060.9137055837
Ctcf_Bhlhe41,206,405,27045,13305,0.6652913747222968,0.015246835911479534,0.014754098360655738,2.6250727546469482e-06,0.6966096220521845,1.0333966562225017,3238834.9514563107,3424814.814814815
Ctcf_Ctcf,1082,2124,25326,12429,0.6447108224896854,0.08008289541854785,0.07737704918032787,1.612530810961299e-05,0.33781406500937916,1.0349696229939447,3292902.0332717192,3324011.2994350283
Ctnnb1-d4TCF_Arid5b,51,138,27312,13460,0.6680256829667245,0.0037747020945895935,0.005027322404371585,5.639180091720564e-05,0.08777793056703367,0.7508374818585822,3568823.529411765,3151739.1304347827
Ctnnb1-d4TCF_Atf2,105,251,27199,13406,0.6665852884451063,0.007771445488860928,0.009143897996357012,3.553112839962697e-05,0.17415875363040012,0.849905094299731,3266285.714285714,3214422.310756972
Ctnnb1-d4TCF_Bach2,197,474,26976,13314,0.6633871243377847,0.014580712012434313,0.01726775956284153,7.2870364640985e-05,0.04683437322672794,0.8443893348973035,3355736.040609137,3208860.759493671
Ctnnb1-d4TCF_Bcl6,85,122,27328,13426,0.6692463562901296,0.006291170157649323,0.0044444444444444444,0.00010441497432376462,0.01444722987392773,1.4155132854710977,3398117.6470588236,3277377.049180328
Ctnnb1-d4TCF_Bhlhe40,53,104,27346,13458,0.6689045677595762,0.003922729627710754,0.0037887067395264117,7.472055296173577e-07,0.8650108781328498,1.0353743103909634,3245660.3773584906,3232211.5384615385
Ctnnb1-d4TCF_Bhlhe41,47,65,27385,13464,0.6697102121530236,0.0034786470283472725,0.0023679417122040073,6.941478378481641e-05,0.055250134723771036,1.4690593988943481,3099574.4680851065,3289384.6153846155
Ctnnb1-d4TCF_Ctcf,396,888,26562,13115,0.6581382290471424,0.029309451557989787,0.03234972677595629,4.908203701733255e-05,0.09730389754577276,0.9060185194446166,3351515.1515151514,3224155.4054054054
Ctnnb1-d4TCF_Ctnnb1-d4TCF,38,93,27357,13473,0.6688069138937037,0.0028125231293020503,0.0033879781420765027,1.6932273451102792e-05,0.3533018095767414,0.8301479559068955,3314210.5263157897,3300645.1612903224
Ctnnb1-wt_Arid5b,77,159,27291,13434,0.6681477502990649,0.005699060025164681,0.005792349726775957,2.426986654407298e-07,0.9447152242709376,0.9838943250991854,3249350.649350649,3150188.679245283
Ctnnb1-wt_Atf2,121,286,27164,13390,0.6661214325822123,0.008955665753830212,0.010418943533697633,3.532363731507428e-05,0.1684767448619054,0.8595560312679695,3219421.487603306,3270000
Ctnnb1-wt_Bach2,216,578,26872,13295,0.6613119796879959,0.01598697357708534,0.021056466302367943,0.00022274547935001096,0.00044662522531829514,0.7592429492923747,3284305.5555555555,3185034.6020761244
Ctnnb1-wt_Bcl6,57,167,27283,13454,0.667464173237958,0.004218784693953075,0.006083788706739527,0.00010665271054185153,0.015401100210727625,0.6934469452036641,3023157.8947368423,3167245.508982036
Ctnnb1-wt_Bhlhe40,82,135,27315,13429,0.66885574082664,0.0060691288579675816,0.004918032786885246,3.920928688479382e-05,0.14742565105606922,1.2340562011200749,3118902.43902439,3445333.3333333335
Ctnnb1-wt_Bhlhe41,55,80,27370,13456,0.6695393178877469,0.004070757160831915,0.0029143897996357013,6.273477883751537e-05,0.06618943793099434,1.3967785508104509,3039818.1818181816,3339375
Ctnnb1-wt_Ctcf,512,1024,26426,12999,0.6576499597177803,0.0378950484790171,0.037304189435336976,1.539708206252377e-06,0.7610345506867051,1.015838946043964,3172031.25,3283886.71875
Ctnnb1-wt_Ctnnb1-d4TCF,87,230,27220,13424,0.6666585288445106,0.006439197690770483,0.008378870673952642,8.062589971090991e-05,0.03580716278897697,0.7685042461376076,3097586.206896552,3312782.6086956523
Ctnnb1-wt_Ctnnb1-wt,50,154,27296,13461,0.6676106540367667,0.0037006883280290134,0.005610200364298725,0.00012351791077794098,0.008980290753936061,0.6596356792493274,3183000,3006428.5714285714
Dbp_Arid5b,18,52,27398,13493,0.669319596689534,0.0013322477980904448,0.0018943533697632058,3.0834130888949185e-05,0.20614650053631972,0.7032731164919752,3616666.6666666665,3258461.5384615385
Dbp_Atf2,39,100,27350,13472,0.6686604330948951,0.0028865368958626305,0.0036429872495446266,2.7740231457999524e-05,0.24031262870556985,0.7923543779142921,2916923.076923077,3346500
Dbp_Bach2,75,197,27253,13436,0.6671712116403408,0.0055510324920435205,0.007176684881602915,6.587850405354815e-05,0.06049852260313454,0.7734814309979423,3196000,3181370.5583756347
Dbp_Bcl6,26,64,27386,13485,0.6692219428236615,0.001924357930575087,0.002331511839708561,1.2334511797808907e-05,0.4343775094054826,0.8253691436607209,3133846.153846154,3478593.75
Dbp_Bhlhe40,28,45,27405,13483,0.6697346256194917,0.0020723854636962476,0.001639344262295082,1.6397017992115853e-05,0.3218406265771675,1.264155132854711,3383571.4285714286,3132666.6666666665
Dbp_Bhlhe41,15,30,27420,13496,0.6697834525524279,0.001110206498408704,0.001092896174863388,4.346193262206276e-08,1.0,1.015838946043964,3298000,3318000
Dbp_Ctcf,176,365,27085,13335,0.6655355093869778,0.013026422914662127,0.013296903460837887,8.971338489056208e-07,0.8539663812802496,0.9796583808423982,3295056.8181818184,3316602.7397260275
Dbp_Ctnnb1-d4TCF,42,78,27372,13469,0.6692707697565977,0.0031085781955443714,0.0028415300546448087,3.854546578141004e-06,0.6281121525269171,1.0939804034319616,3027857.1428571427,3308461.5384615385
Dbp_Ctnnb1-wt,48,105,27345,13463,0.6687580869607676,0.0035526607949078527,0.003825136612021858,3.208414692942082e-06,0.7306302119853038,0.9287670363830529,3046875,3439714.285714286
Dbp_Dbp,10,20,27430,13501,0.6699055198847684,0.0007401376656058027,0.0007285974499089253,2.896398429408885e-08,1.0,1.015838946043964,3066000,3130500
E2f6_Arid5b,46,96,27354,13465,0.6689289812260443,0.0034046332617866924,0.0034972677595628415,3.9727977351996027e-07,0.92890772620866,0.9735123232921323,3298695.652173913,3040312.5
E2f6_Atf2,84,176,27274,13427,0.6679036156343839,0.006217156391088743,0.006411657559198543,9.597554853565948e-07,0.8429044579455729,0.9696644484965113,3241785.714285714,3309545.4545454546
E2f6_Bach2,145,298,27152,13366,0.6664143941798296,0.010731996151284139,0.010856102003642988,2.298630327399187e-07,0.9594869310230562,0.9885681018548643,3131793.103448276,3223993.288590604
E2f6_Bcl6,57,95,27355,13454,0.6692219428236615,0.004218784693953075,0.0034608378870673953,2.4259470105394716e-05,0.261025499527959,1.219006735252757,3590526.3157894737,3265263.1578947366
E2f6_Bhlhe40,35,77,27373,13476,0.6691242889577891,0.0025904818296203095,0.0028051001821493625,2.7183183111583256e-06,0.7630400824166559,0.9234899509490584,3141428.5714285714,3436753.2467532465
E2f6_Bhlhe41,24,63,27387,13487,0.6691975293571935,0.0017763303974539263,0.0022950819672131148,2.0879115026258823e-05,0.3061637857100281,0.7739725303192108,3041250,3246666.6666666665
E2f6_Ctcf,336,613,26837,13175,0.6633871243377847,0.02486862556435497,0.02233151183970856,4.48309248932445e-05,0.11593111820077895,1.113611373150969,3467053.5714285714,3217634.5840130504
E2f6_Ctnnb1-d4TCF,64,123,27327,13447,0.6687092600278314,0.004736881059877137,0.004480874316939891,2.2854360112586555e-06,0.7552433827312772,1.0571332121433121,3397500,3246341.463414634
E2f6_Ctnnb1-wt,91,153,27297,13420,0.668636019628427,0.006735252757012805,0.005573770491803279,3.560115703672706e-05,0.15203809580953656,1.2083835828758267,3421978.021978022,3002352.9411764704
E2f6_Dbp,30,42,27408,13481,0.6698566929518323,0.002220412996817408,0.0015300546448087432,4.1716352521581606e-05,0.1318788404064014,1.45119849434852,3372000,3085714.285714286
E2f6_E2f6,30,48,27402,13481,0.6697102121530236,0.002220412996817408,0.0017486338797814208,1.8208676229776845e-05,0.33483124465213576,1.2697986825549552,3762000,2671875
Egr1_Arid5b,48,123,27327,13463,0.6683186445643416,0.0035526607949078527,0.004480874316939891,3.397510602397725e-05,0.19213084955050003,0.7928499091074841,3258125,3260731.7073170734
Egr1_Atf2,97,241,27209,13414,0.6666341153780425,0.007179335356376286,0.00877959927140255,5.109690819397102e-05,0.1036673002865218,0.8177292760685853,2681443.2989690723,3405062.2406639005
Egr1_Bach2,199,393,27057,13312,0.6654134420546374,0.014728739545555473,0.014316939890710383,1.892390484066822e-06,0.7579585267257478,1.0287631056628441,3276331.658291457,3323435.1145038167
Egr1_Bcl6,56,149,27301,13455,0.6678792021679159,0.004144770927392495,0.005428051001821494,5.4470579416488786e-05,0.08695245682122546,0.7635836372947918,3709821.4285714286,3329194.6308724834
Egr1_Bhlhe40,49,136,27314,13462,0.6680256829667245,0.0036266745614684332,0.004954462659380692,6.49379313500658e-05,0.060249895468946046,0.7320015934728565,3311632.6530612246,3449558.8235294116
Egr1_Bhlhe41,39,89,27361,13472,0.6689289812260443,0.0028865368958626305,0.0032422586520947177,6.5652621882555245e-06,0.5734546004199153,0.8902858178812271,3266923.076923077,3470898.8764044945
Egr1_Ctcf,396,905,26545,13115,0.6577232001171847,0.029309451557989787,0.03296903460837887,7.036962445041567e-05,0.04796230041887481,0.8889993870351599,3253106.0606060605,3341900.552486188
Egr1_Ctnnb1-d4TCF,80,168,27282,13431,0.6680012695002563,0.005921101324846421,0.006120218579234973,1.0544866601317968e-06,0.8391880169770133,0.9674656628990135,3251625,3410178.5714285714
Egr1_Ctnnb1-wt,94,205,27245,13417,0.66743975977149,0.006957294056694545,0.007468123861566485,5.788900598338587e-06,0.6214552009463172,0.9315986432012939,3061595.744680851,3332926.8292682925
Egr1_Dbp,40,70,27380,13471,0.6694172505554064,0.0029605506624232106,0.0025500910746812386,9.869490391935416e-06,0.47740777813672725,1.160958795478816,3090000,3426000
Egr1_E2f6,67,140,27310,13444,0.6683674714972779,0.004958922359558878,0.005100182149362477,6.348306169270262e-07,0.8823938573170953,0.9723029912135085,3529701.4925373136,3194785.714285714
Egr1_Egr1,39,82,27368,13472,0.669099875491321,0.0028865368958626305,0.002987249544626594,5.512786220461183e-07,0.9229881219556955,0.9662858267247464,3126923.076923077,3724390.2439024393
Egr3_Arid5b,49,114,27336,13462,0.6685627792290227,0.0036266745614684332,0.004153005464480874,1.1322589203504804e-05,0.453389501993938,0.873265058879899,3146938.775510204,3220526.3157894737
