Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,27,29,16913,13484,0.5562670344465241,0.0019983716971356674,0.0017117223468303623,7.93203302547861e-06,0.5917991375736091,1.1674625273404302,3375555.5555555555,2717586.206896552
Atf2_Arid5b,82,110,16832,13429,0.5554132597773619,0.0060691288579675816,0.0064927399362530985,5.113510984904729e-06,0.6625479440523248,0.9347561919244252,3216585.3658536584,3046909.090909091
Atf2_Atf2,71,96,16846,13440,0.5555117722391882,0.005254977425801199,0.005666391217093614,5.542645867181659e-06,0.6403671653673214,0.9273940369575407,3151267.6056338027,3273125
Bach2_Arid5b,138,190,16752,13373,0.5546251600827504,0.010213899785360078,0.011214732617164443,1.6802633491503835e-05,0.43413806534205346,0.9107573166503707,3253913.0434782607,3181578.947368421
Bach2_Atf2,248,373,16569,13263,0.5522280235116409,0.018355414107023908,0.022016290874749146,0.00012040804341973202,0.02483720647775485,0.8337196402176917,3072822.580645161,3215388.7399463807
Bach2_Bach2,235,333,16609,13276,0.5531146356680787,0.017393235141736362,0.01965529453429347,5.002808536628406e-05,0.15945439321637975,0.8849134827966891,3182808.510638298,3180000
Bcl6_Arid5b,46,66,16876,13465,0.5556759596755656,0.0034046332617866924,0.0038956439617518594,1.1782381331630013e-05,0.5059768919455548,0.8739590412301537,3198913.0434782607,3068181.8181818184
Bcl6_Atf2,80,125,16817,13431,0.5548550224936788,0.005921101324846421,0.007378113563923976,5.710318082487523e-05,0.13839706200671006,0.8025223891643846,3212250,3453840
Bcl6_Bach2,143,214,16728,13368,0.5540012478245164,0.010583968618162978,0.012631330421437846,6.492195854836645e-05,0.10786364698232533,0.8379140015369962,3280069.93006993,3246728.971962617
Bcl6_Bcl6,21,35,16907,13490,0.5558729845992185,0.0015542890977721857,0.002065871797898713,2.5740358187595043e-05,0.346767791794798,0.7523647398416106,3078571.4285714286,3162857.1428571427
Bhlhe40_Arid5b,47,49,16893,13464,0.5562670344465241,0.0034786470283472725,0.0028922205170581984,1.937747544223647e-05,0.41062907061333065,1.2027599582501938,3559787.234042553,3099795.9183673467
Bhlhe40_Atf2,77,111,16831,13434,0.555216234853709,0.005699060025164681,0.006551764844764491,2.1227072097638154e-05,0.3770755097874614,0.8698511256427028,3333116.883116883,3032972.972972973
Bhlhe40_Bach2,132,183,16759,13379,0.554657997570026,0.009769817185996595,0.010801558257584701,1.8591177142859502e-05,0.3928282892205349,0.9044822009024825,3409545.4545454546,3229016.393442623
Bhlhe40_Bcl6,50,62,16880,13461,0.5559386595737694,0.0037006883280290134,0.003659544327706292,8.222092240991324e-08,1.0,1.011242929894638,3489600,2864032.2580645164
Bhlhe40_Bhlhe40,27,29,16913,13484,0.5562670344465241,0.0019983716971356674,0.0017117223468303623,7.93203302547861e-06,0.5917991375736091,1.1674625273404302,3348888.888888889,2817931.0344827585
Bhlhe41_Arid5b,31,35,16907,13480,0.5562013594719732,0.0022944267633779884,0.002065871797898713,4.28581256375557e-06,0.7105879266139374,1.1106336635757108,3143225.806451613,3042857.1428571427
Bhlhe41_Atf2,43,74,16868,13468,0.5553147473155354,0.0031825919621049515,0.004367843229842993,6.639034832651904e-05,0.11267841589906744,0.7286415273240824,3136046.511627907,3225810.810810811
Bhlhe41_Bach2,80,137,16805,13431,0.5544609726463731,0.005921101324846421,0.008086412466060677,0.00011982078106769194,0.028051421249560574,0.7322284572667742,3346875,3166861.313868613
Bhlhe41_Bcl6,34,42,16900,13477,0.5560700095228713,0.0025164680630597293,0.002479046157478456,1.0010372145747778e-07,1.0,1.015095283913284,3389117.6470588236,2830000
Bhlhe41_Bhlhe40,25,25,16917,13486,0.556332709421075,0.0018503441640145067,0.0014756227127847952,1.5154967571687997e-05,0.47699645587030526,1.253941233069351,3602400,3080400
Bhlhe41_Bhlhe41,8,13,16929,13503,0.5561685219846977,0.0005921101324846421,0.0007673238106480935,8.030682208805848e-06,0.6630969022786763,0.7716561434272929,3472500,3076153.846153846
Ctcf_Arid5b,288,383,16559,13223,0.5532131481299051,0.021315964769447117,0.022606539959863062,1.3793775044505796e-05,0.4555763988227255,0.9429114233001907,3438750,3247754.5691906004
Ctcf_Atf2,515,837,16105,12996,0.5457590385183726,0.03811708977869884,0.04940384842403494,0.0005409808109470768,1.888515314023609e-06,0.7715409020677608,3130427.1844660193,3221577.0609318996
Ctcf_Bach2,924,1303,15639,12587,0.5438873017436706,0.06838872030197617,0.07690945579034353,0.00019158773383887162,0.0045729776797051,0.8892108206877054,3276850.649350649,3238388.334612433
