Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,21,42,14525,12862,0.5299089253187614,0.0016300551113870992,0.0028832292167227293,0.0001262481869635781,0.03181408282898462,0.5653574477994256,3200000,3177142.8571428573
Atf2_Arid5b,85,100,14467,12798,0.530127504553734,0.006597842117519211,0.006864831468387451,1.9147858341629284e-06,0.8246757885509238,0.9611076612590235,3147176.470588235,3153000
Atf2_Atf2,100,109,14458,12783,0.5303460837887067,0.007762167197081425,0.007482666300542322,1.8562203913559394e-06,0.8347471047739761,1.037353115228304,3449700,3283211.009174312
Bach2_Arid5b,168,206,14361,12715,0.5292896174863388,0.013040440891096794,0.01414155282487815,1.6239184280585073e-05,0.4346053070181858,0.9221364197116844,3288392.8571428573,3139368.932038835
Bach2_Atf2,286,359,14208,12597,0.5280145719489981,0.022199798183652877,0.024644744971510948,4.692352249955831e-05,0.18778930473534725,0.9007923680815362,3251328.6713286713,3185431.754874652
Bach2_Bach2,257,308,14259,12626,0.528816029143898,0.019948769696499263,0.02114368092263335,1.2741176161287088e-05,0.4958195670280652,0.9434861304185219,3267782.101167315,3226655.8441558443
Bcl6_Arid5b,48,63,14504,12835,0.530127504553734,0.0037258402545990842,0.004324843825084094,1.6069298317360897e-05,0.44753675845273355,0.8614970633134105,3400000,3003809.523809524
Bcl6_Atf2,87,112,14455,12796,0.5297632058287796,0.00675308546146084,0.0076886112445939455,2.192042084480164e-05,0.3924750661230142,0.8783231778312505,3269655.172413793,3011785.714285714
Bcl6_Bach2,161,182,14385,12722,0.5299089253187614,0.012497089187301094,0.012493993272465162,1.395506349366471e-10,1.0,1.0002477922605222,3256211.1801242237,3134835.164835165
Bcl6_Bcl6,25,30,14537,12858,0.5304918032786885,0.0019405417992703563,0.002059449440516235,1.272059481636275e-06,0.8927730113225245,0.9422624129990428,3547200,3445000
Bhlhe40_Arid5b,36,49,14518,12847,0.530200364298725,0.002794380190949313,0.003363767419509851,1.896628069813491e-05,0.4465110011705224,0.8307293110522173,3009166.6666666665,3421224.4897959186
Bhlhe40_Atf2,85,74,14493,12798,0.5310746812386157,0.006597842117519211,0.005079975286606714,7.16970729313102e-05,0.11077354834829059,1.2987941368365183,3342705.882352941,3305270.2702702703
Bhlhe40_Bach2,134,149,14418,12749,0.530127504553734,0.01040130404408911,0.010228598887897303,5.250153360773779e-07,0.9047798411361578,1.0168845369815172,3401641.7910447763,3158859.0604026844
Bhlhe40_Bcl6,44,46,14521,12839,0.5306010928961749,0.003415353566715827,0.0031578224754582277,3.6412348241774382e-06,0.7514160909191858,1.081553378398901,3467727.272727273,3395869.565217391
Bhlhe40_Bhlhe40,17,16,14551,12866,0.5307103825136612,0.0013195684235038424,0.0010983730349419922,7.303469421442426e-06,0.6058720512970526,1.2013845765737796,3603529.411764706,2904375
Bhlhe41_Arid5b,31,26,14541,12852,0.530856102003643,0.002406271831095242,0.0017848561817807372,3.339969407383523e-05,0.2887315546687807,1.3481600678293997,3004838.709677419,3297692.3076923075
Bhlhe41_Atf2,64,59,14508,12819,0.530856102003643,0.004967787006132112,0.0040502505663485965,3.382402333541347e-05,0.2775469450246085,1.2265381918360418,3387187.5,3200847.4576271186
Bhlhe41_Bach2,80,96,14471,12803,0.5300910746812386,0.00620973375766514,0.006590238209651953,4.088624639846106e-06,0.7055232006200497,0.9422624129990427,3466875,3116875
Bhlhe41_Bcl6,32,21,14546,12851,0.5310746812386157,0.002483893503066056,0.0014416146083613647,0.0001013916659864248,0.05408652104681298,1.7229941266268207,3439687.5,3261428.5714285714
Bhlhe41_Bhlhe40,25,15,14552,12858,0.5310382513661203,0.0019405417992703563,0.0010297247202581176,0.0001027945930765369,0.0567335539468022,1.8845248259980856,3576000,3184000
Bhlhe41_Bhlhe41,13,5,14562,12870,0.5309653916211293,0.0010090817356205853,0.0003432415734193726,0.00012447339734059809,0.03489214974011016,2.939858728557013,3327692.3076923075,2652000
