Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Egr4_Bcl6,40,67,30386,12843,0.7020952556765737,0.00310486687883257,0.0022001116474567365,4.7977610150648584e-05,0.09012087490541214,1.4112315083744515,3364500,3265522.3880597013
Egr4_Bhlhe40,46,67,30386,12837,0.7022337086948496,0.0035705969106574554,0.0022001116474567365,0.0001026895326050486,0.013119645682759716,1.6229162346306194,3284347.8260869565,2966417.9104477614
Egr4_Bhlhe41,26,52,30401,12857,0.7021183311796197,0.0020181634712411706,0.0017075493383246314,7.917989133619059e-06,0.5352510313853672,1.1819063882636032,3305769.230769231,2934807.6923076925
Egr4_Ctcf,213,555,29898,12670,0.6948264722170944,0.016533416129783436,0.018224805437887893,2.509274165767364e-05,0.23219686006060025,0.907193011532063,3432957.7464788733,3184432.4324324327
Egr4_Ctnnb1-d4TCF,38,104,30349,12845,0.7011953110577811,0.0029496235348909416,0.0034150986766492628,1.0201601263440125e-05,0.4634031680327604,0.8637008221926331,3128684.210526316,3081634.6153846155
Egr4_Ctnnb1-wt,52,138,30315,12831,0.7007338009968618,0.004036326942482341,0.004531573244015368,8.602887620203815e-06,0.5247300239704733,0.8907120607203965,3238846.153846154,3228913.0434782607
Egr4_Dbp,17,37,30416,12866,0.7022567841978955,0.0013195684235038424,0.0012149870291925263,1.3098989849850973e-06,0.7670705277275385,1.0860761405665542,3225882.3529411764,3261081.081081081
Egr4_E2f6,42,88,30365,12841,0.7016568211187004,0.0032601102227741985,0.002889698880241684,6.804332744426642e-06,0.5028815522063642,1.1281833706152575,3165714.285714286,3395795.4545454546
Egr4_Egr1,44,112,30341,12839,0.7011491600516891,0.003415353566715827,0.0036777985748530522,2.923139799138573e-06,0.7260280116689544,0.9286407336356882,3683863.6363636362,3252589.285714286
Egr4_Egr3,40,118,30335,12843,0.7009184050212295,0.00310486687883257,0.0038748234985058944,2.5365983179971748e-05,0.2568701897613006,0.801292466619392,3423000,3208474.5762711866
Egr4_Egr4,11,43,30410,12872,0.7019798781613439,0.0008538383916789567,0.0014120119528453683,4.0578873299800086e-05,0.17883043264564674,0.6046962916697505,3430909.090909091,2825581.395348837
Elk1_Arid5b,27,76,30377,12856,0.7015875946095624,0.002095785143211985,0.002495649032936,1.041121432353298e-05,0.5172517986427054,0.8397755916609813,3621111.111111111,3466184.210526316
Elk1_Atf2,69,141,30312,12814,0.7010568580395052,0.0053558953659861835,0.004630085705841789,1.6151905841856225e-05,0.3255475809971383,1.1567594438324629,3436086.9565217393,3195531.914893617
Elk1_Bach2,102,248,30205,12781,0.6993492708141037,0.007917410541023054,0.008143696844317472,9.668571135648327e-07,0.8602161800169548,0.9722133193781253,3312647.0588235296,3167056.4516129033
Elk1_Bcl6,44,67,30386,12839,0.7021875576887576,0.003415353566715827,0.0022001116474567365,8.257642998523145e-05,0.028434716954252995,1.5523546592118969,3543409.090909091,2984328.3582089553
Elk1_Bhlhe40,32,64,30389,12851,0.7019798781613439,0.002483893503066056,0.0021015991856303154,9.749363852887792e-06,0.4354122266981473,1.1819063882636032,3555000,3171562.5
Elk1_Bhlhe41,27,54,30399,12856,0.7020952556765737,0.002095785143211985,0.0017732243128755789,8.223110065982498e-06,0.4674675097551698,1.1819063882636032,4006666.6666666665,3232222.222222222
Elk1_Ctcf,248,541,29912,12635,0.6959571718663466,0.019250174648761935,0.01776508061603126,1.839934336960239e-05,0.28881249948971954,1.0835962450623795,3463669.35483871,3297726.4325323473
