Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,29,21,12862,16913,0.43222129086336963,0.0017117223468303623,0.0016300551113870992,7.06972886499067e-07,0.8875676965602706,1.050100904486455,2717586.206896552,3200000
Atf2_Arid5b,110,85,12798,16832,0.43279128248113996,0.0064927399362530985,0.006597842117519211,3.0079705529758444e-07,0.94222567421843,0.984070218808808,3046909.090909091,3147176.470588235
Atf2_Atf2,96,100,12783,16846,0.43181894383906116,0.005666391217093614,0.007762167197081425,0.00011787793825173126,0.029801096978716808,0.7300011804981702,3273125,3449700
Bach2_Arid5b,190,168,12715,16752,0.43269069572506286,0.011214732617164443,0.013040440891096794,4.945721337779735e-05,0.1628133373861183,0.85999643039839,3181578.947368421,3288392.8571428573
Bach2_Atf2,373,286,12597,16569,0.43487007544006706,0.022016290874749146,0.022199798183652877,2.757477669118602e-07,0.9366245350446275,0.9917338298580183,3215388.7399463807,3251328.6713286713
Bach2_Bach2,333,257,12626,16609,0.43450125733445094,0.01965529453429347,0.019948769696499263,7.856542369837072e-07,0.8667221331321453,0.9852885583085711,3180000,3267782.101167315
Bcl6_Arid5b,66,48,12835,16876,0.4325565800502934,0.0038956439617518594,0.0037258402545990842,1.3430964172435507e-06,0.8501244138739743,1.0455746074843584,3068181.8181818184,3400000
Bcl6_Atf2,125,87,12796,16817,0.43322715842414083,0.007378113563923976,0.00675308546146084,9.839472788475238e-06,0.5322270642798687,1.0925544487819836,3453840,3269655.172413793
Bcl6_Bach2,214,161,12722,16728,0.4337300922045264,0.012631330421437846,0.012497089187301094,2.5703443190527864e-07,0.9581757225188294,1.010741800120396,3246728.971962617,3256211.1801242237
Bcl6_Bcl6,35,25,12858,16907,0.4322883487007544,0.002065871797898713,0.0019405417992703563,1.388918907128077e-06,0.8964279212661002,1.0645850548931648,3162857.1428571427,3547200
Bhlhe40_Arid5b,49,36,12847,16893,0.4323889354568315,0.0028922205170581984,0.002794380190949313,5.971708033794369e-07,0.9130296860317871,1.0350132478127991,3099795.9183673467,3009166.6666666665
Bhlhe40_Atf2,111,85,12798,16831,0.43282481139983237,0.006551764844764491,0.006597842117519211,5.754271925877824e-08,1.0,0.9930163117070699,3032972.972972973,3342705.882352941
Bhlhe40_Bach2,183,134,12749,16759,0.4335959765297569,0.010801558257584701,0.01040130404408911,2.7012156999239867e-06,0.7757302659985548,1.0384811569586845,3229016.393442623,3401641.7910447763
Bhlhe40_Bcl6,62,44,12839,16880,0.4325565800502934,0.003659544327706292,0.003415353566715827,2.9900739991375706e-06,0.7687491786316832,1.0714979448600037,2864032.2580645164,3467727.272727273
Bhlhe40_Bhlhe40,29,17,12866,16913,0.43235540653813914,0.0017117223468303623,0.0013195684235038424,1.7931633923062374e-05,0.4574579519198789,1.2971834702479739,2817931.0344827585,3603529.411764706
Bhlhe41_Arid5b,35,31,12852,16907,0.4320871751886002,0.002065871797898713,0.002406271831095242,9.233210956360871e-06,0.5368059651845035,0.858536334591262,3042857.1428571427,3004838.709677419
Bhlhe41_Atf2,74,64,12819,16868,0.4322883487007544,0.004367843229842993,0.004967787006132112,1.3761545885992814e-05,0.4909610749968256,0.8792331926573014,3225810.810810811,3387187.5
Bhlhe41_Bach2,137,80,12803,16805,0.4338642078792959,0.008086412466060677,0.00620973375766514,8.757064743910876e-05,0.06323819073323178,1.3022156475032463,3166861.313868613,3466875
Bhlhe41_Bcl6,42,32,12851,16900,0.4322883487007544,0.002479046157478456,0.002483893503066056,1.6802060910127425e-09,1.0,0.9980484889623422,2830000,3439687.5
Bhlhe41_Bhlhe40,25,25,12858,16917,0.4319530595138307,0.0014756227127847952,0.0019405417992703563,2.264644981405696e-05,0.3915298587438254,0.7604178963522606,3080400,3576000
Bhlhe41_Bhlhe41,13,13,12870,16929,0.4319530595138307,0.0007673238106480935,0.0010090817356205853,1.1766580065813493e-05,0.5540902871810856,0.7604178963522606,3076153.846153846,3327692.3076923075
Ctcf_Arid5b,383,279,12604,16559,0.4354400670578374,0.022606539959863062,0.021656446479857178,7.376094972338931e-06,0.6060631503659162,1.0438711623760424,3247754.5691906004,3379247.311827957
Ctcf_Atf2,837,583,12300,16105,0.4404694048616932,0.04940384842403494,0.04525343475898471,6.751404500571906e-05,0.09956072111124417,1.0917148872158526,3221577.0609318996,3265986.2778730704
Ctcf_Bach2,1303,964,11919,15639,0.44331936295054486,0.07690945579034353,0.07482729177986494,1.0938686845457513e-05,0.5082488718133583,1.0278262644678378,3238388.334612433,3253755.1867219917
Ctcf_Bcl6,432,333,12550,16510,0.43527242246437553,0.02549876047692126,0.025848016766281144,8.63375691433077e-07,0.8534100715324486,0.9864880817542842,3280000,3387117.117117117
Ctcf_Bhlhe40,401,320,12563,16541,0.4346689019279128,0.023668988313068115,0.02483893503066056,1.02490359254713e-05,0.5178801596563848,0.9528986763664267,3196084.788029925,3475125
Ctcf_Bhlhe41,287,224,12659,16655,0.4340653813914501,0.01694014874276945,0.017387254521462392,2.0987373798124487e-06,0.7870246068916378,0.974285429701334,3336271.7770034843,3590089.285714286
Ctcf_Ctcf,1535,1011,11872,15407,0.4495222129086337,0.09060323456498642,0.07847551036249321,0.00033565086464457106,0.0002124889979299329,1.1545415142440356,3290071.661237785,3347893.175074184
Ctnnb1-d4TCF_Arid5b,88,57,12826,16854,0.4329924559932942,0.005194191949002479,0.004424435302336412,2.1856487793113846e-05,0.3565029194832705,1.1739785066491042,3060000,3252631.5789473685
Ctnnb1-d4TCF_Atf2,174,99,12784,16768,0.4344677284157586,0.010270334080982175,0.0076845455251106105,0.00013262083372673691,0.022982882640118767,1.3364920602554886,3140862.0689655175,3304242.4242424243
