Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,29,63,27387,16913,0.6175887547305821,0.0017117223468303623,0.0022950819672131148,2.8748988552268137e-05,0.19902773255290776,0.7458218796903722,2717586.206896552,3184761.904761905
Atf2_Arid5b,110,185,27265,16832,0.6166651648945756,0.0064927399362530985,0.00673952641165756,1.5752685274374525e-06,0.8099795183445886,0.9633822229737705,3046909.090909091,3150324.3243243243
Atf2_Atf2,96,209,27241,16846,0.6158091548026672,0.005666391217093614,0.00761384335154827,9.711837658062019e-05,0.015343556109756172,0.7442221957378933,3273125,3362870.813397129
Bach2_Arid5b,190,374,27076,16752,0.6142097675256804,0.011214732617164443,0.013624772313296904,8.013422901095683e-05,0.029117027398644857,0.8231133966341282,3181578.947368421,3206310.1604278074
Bach2_Atf2,373,645,26805,16569,0.6122274283654713,0.022016290874749146,0.023497267759562842,1.6749959518513186e-05,0.32754923191002494,0.9369723790881613,3215388.7399463807,3214651.1627906975
Bach2_Bach2,333,565,26885,16609,0.6131284916201117,0.01965529453429347,0.02058287795992714,7.4170617702373765e-06,0.5098706117291735,0.9549342211793908,3180000,3245362.8318584072
Bcl6_Arid5b,66,111,27339,16876,0.6173409623355559,0.0038956439617518594,0.004043715846994536,9.426462597400369e-07,0.8768421169057586,0.9633822229737705,3068181.8181818184,3175135.135135135
Bcl6_Atf2,125,199,27251,16817,0.6166876914759416,0.007378113563923976,0.007249544626593807,3.878485817952401e-07,0.9086371130755657,1.0177347604508198,3453840,3124522.6130653266
Bcl6_Bach2,214,343,27107,16728,0.615448729500811,0.012631330421437846,0.012495446265938069,2.534830370534702e-07,0.895349349723708,1.0108746940771687,3246728.971962617,3191807.580174927
Bcl6_Bcl6,35,55,27395,16907,0.6179041268697063,0.002065871797898713,0.0020036429872495446,3.250405648785176e-07,0.9136851727651181,1.0310578336785396,3162857.1428571427,3491454.5454545454
Bhlhe40_Arid5b,49,85,27365,16893,0.6175437015678501,0.0028922205170581984,0.0030965391621129326,2.3745156949011442e-06,0.7227409790225061,0.9340170963911476,3099795.9183673467,3246705.882352941
Bhlhe40_Atf2,111,159,27291,16831,0.6172733825914579,0.006551764844764491,0.005792349726775957,1.609305336972098e-05,0.31555429990660827,1.131106572256511,3032972.972972973,3325283.0188679243
Bhlhe40_Bach2,183,283,27167,16759,0.6161020003604253,0.010801558257584701,0.010309653916211293,3.951474928178683e-06,0.6318370765047934,1.047712982935336,3229016.393442623,3273816.254416961
Bhlhe40_Bcl6,62,90,27360,16880,0.6177239142187781,0.003659544327706292,0.003278688524590164,7.177192951811351e-06,0.5045572444608937,1.116161019950419,2864032.2580645164,3431000
Bhlhe40_Bhlhe40,29,33,27417,16913,0.6182645521715624,0.0017117223468303623,0.0012021857923497268,3.0967419899679714e-05,0.19043765215767122,1.4238417703179833,2817931.0344827585,3264545.4545454546
Bhlhe41_Arid5b,35,57,27393,16907,0.6178590737069742,0.002065871797898713,0.002076502732240437,9.306337929882585e-09,1.0,0.9948803658301698,3042857.1428571427,3138421.052631579
Bhlhe41_Atf2,74,123,27327,16868,0.6172508560100919,0.004367843229842993,0.004480874316939891,4.932757555588599e-07,0.8834109502783898,0.9747747695869118,3225810.810810811,3297804.8780487804
Bhlhe41_Bach2,137,176,27274,16805,0.617476121823752,0.008086412466060677,0.006411657559198543,6.71058298096312e-05,0.046948685232330145,1.2612046715532137,3166861.313868613,3275965.909090909
Bhlhe41_Bcl6,42,53,27397,16900,0.6181068661020004,0.002479046157478456,0.001930783242258652,2.3551085248560075e-05,0.24502040767145378,1.2839588117506342,2830000,3369056.603773585
Bhlhe41_Bhlhe40,25,40,27410,16917,0.6180167597765364,0.0014756227127847952,0.0014571948998178506,3.949935042956744e-08,1.0,1.0126460866485656,3080400,3429000
Bhlhe41_Bhlhe41,13,18,27432,16929,0.6182420255901965,0.0007673238106480935,0.0006557377049180328,3.0028076362993055e-06,0.7128522566887919,1.1701688112383426,3076153.846153846,3140000
Ctcf_Arid5b,383,626,26824,16559,0.6128806992250856,0.022606539959863062,0.022805100182149363,3.023564200989315e-07,0.9216745372956687,0.9912931659716311,3247754.5691906004,3290415.335463259
Ctcf_Atf2,837,1209,26241,16105,0.60997477022887,0.04940384842403494,0.044043715846994534,0.00011034244604644916,0.009072600891466451,1.1217002805953342,3221577.0609318996,3274168.734491315
Ctcf_Bach2,1303,2102,25348,15639,0.600355919985583,0.07690945579034353,0.07657559198542806,2.6784934184509446e-07,0.8977691629707694,1.0043599245694241,3238388.334612433,3244909.609895338
Ctcf_Bcl6,432,684,26766,16510,0.6126779599927915,0.02549876047692126,0.024918032786885248,2.3384303332804612e-06,0.7081303550353066,1.0233055191396032,3280000,3329210.5263157897
Ctcf_Bhlhe40,401,591,26859,16541,0.6140746080374843,0.023668988313068115,0.021530054644808744,3.540088858852361e-05,0.14584619080026495,1.0993464114952956,3196084.788029925,3344060.9137055837
Ctcf_Bhlhe41,287,405,27045,16655,0.6156965218958371,0.01694014874276945,0.014754098360655738,5.248421663853198e-05,0.0758933091129989,1.1481656370099294,3336271.7770034843,3424814.814814815
Ctcf_Ctcf,1535,2124,25326,15407,0.6050865020724455,0.09060323456498642,0.07737704918032787,0.00038964074249932257,1.0233019988276059e-06,1.170931633149189,3290071.661237785,3324011.2994350283
Ctnnb1-d4TCF_Arid5b,88,138,27312,16854,0.6172283294287259,0.005194191949002479,0.005027322404371585,9.334967464710506e-07,0.8369248270602336,1.0331925289863626,3060000,3151739.1304347827
Ctnnb1-d4TCF_Atf2,174,251,27199,16768,0.6166201117318436,0.010270334080982175,0.009143897996357012,2.2585083356172972e-05,0.24855497268732657,1.123189922402234,3140862.0689655175,3214422.310756972
Ctnnb1-d4TCF_Bach2,251,474,26976,16691,0.6133312308524058,0.014815252036359344,0.01726775956284153,6.454975819258912e-05,0.049311648988947646,0.8579718742575189,3150478.087649402,3208860.759493671
Ctnnb1-d4TCF_Bcl6,102,122,27328,16840,0.6179041268697063,0.0060205406681619646,0.0044444444444444444,8.253432424356211e-05,0.027129820472509218,1.354621650336442,3180000,3277377.049180328
Ctnnb1-d4TCF_Bhlhe40,58,104,27346,16884,0.61731843575419,0.0034234446936607247,0.0037887067395264117,6.298651265002064e-06,0.5711280395682582,0.9035918927017971,3401896.5517241377,3232211.5384615385
Ctnnb1-d4TCF_Bhlhe41,47,65,27385,16895,0.6179491800324383,0.002774170700035415,0.0023679417122040073,1.1034720767264493e-05,0.43620939358180416,1.1715536263995714,3289787.234042553,3289384.6153846155
Ctnnb1-d4TCF_Ctcf,522,888,26562,16420,0.6101099297170661,0.030811002242946525,0.03234972677595629,1.3155843652232213e-05,0.3728734364003986,0.952434697712705,3285862.0689655175,3224155.4054054054
Ctnnb1-d4TCF_Ctnnb1-d4TCF,66,93,27357,16876,0.6177464408001442,0.0038956439617518594,0.0033879781420765027,1.2167754971716214e-05,0.41358926493825143,1.1498432983880489,2982272.727272727,3300645.1612903224
Ctnnb1-wt_Arid5b,89,159,27291,16853,0.6167777978014056,0.0052532168575138705,0.005792349726775957,8.978320734725868e-06,0.4717413254938534,0.9069232876651304,3235280.8988764044,3150188.679245283
Ctnnb1-wt_Atf2,170,286,27164,16772,0.6157415750585691,0.010034234446936607,0.010418943533697633,2.485586247708352e-06,0.7345420428191318,0.9630759984909435,3291705.882352941,3270000
Ctnnb1-wt_Bach2,279,578,26872,16663,0.6116192106685889,0.016467949474678313,0.021056466302367943,0.00019333779068536616,0.0006452920089015965,0.7820851437368852,3081720.430107527,3185034.6020761244
Ctnnb1-wt_Bcl6,92,167,27283,16850,0.6166651648945756,0.005430291583048046,0.006083788706739527,1.2651556488879959e-05,0.40460542004040445,0.8925838560159811,3245543.4782608696,3167245.508982036
Ctnnb1-wt_Bhlhe40,69,135,27315,16873,0.6168679041268698,0.004072718687286035,0.004918032786885246,2.7022181229835636e-05,0.21954189652079298,0.828119466414827,3465217.3913043477,3445333.3333333335
Ctnnb1-wt_Bhlhe41,55,80,27370,16887,0.6177914939628762,0.0032463699681265492,0.0029143897996357013,6.138484537502285e-06,0.5357975197440041,1.1139106953134221,3235636.3636363638,3339375
Ctnnb1-wt_Ctcf,617,1024,26426,16325,0.6091863398810596,0.036418368551528746,0.037304189435336976,3.7591459757374546e-06,0.6412453569193916,0.9762541179096329,3273695.2998379255,3283886.71875
Ctnnb1-wt_Ctnnb1-d4TCF,114,230,27220,16828,0.6157415750585691,0.006728839570298666,0.008378870673952642,6.142181794889425e-05,0.058086289386633363,0.8030723748030364,3119210.5263157897,3312782.6086956523
Ctnnb1-wt_Ctnnb1-wt,64,154,27296,16878,0.6163272661740854,0.0037775941447290755,0.005610200364298725,0.0001213048874972129,0.007775624119047555,0.6733438913819034,3162187.5,3006428.5714285714
Dbp_Arid5b,39,52,27398,16903,0.6180618129392683,0.0023019714319442806,0.0018943533697632058,1.3635067918700734e-05,0.3877818481476852,1.2151753039782789,3670769.230769231,3258461.5384615385
Dbp_Atf2,61,100,27350,16881,0.617476121823752,0.0036005194191949,0.0036429872495446266,8.503967367399709e-08,1.0,0.988342580569,3109672.131147541,3346500
Dbp_Bach2,92,197,27253,16850,0.6159893674535952,0.005430291583048046,0.007176684881602915,8.226257390073818e-05,0.02859237175340808,0.7566573804805525,3172173.913043478,3181370.5583756347
Dbp_Bcl6,34,64,27386,16908,0.6176788610560461,0.0020068468893873217,0.002331511839708561,8.24935587712735e-06,0.5327835935731413,0.8607491736512809,3046764.705882353,3478593.75
Dbp_Bhlhe40,23,45,27405,16919,0.6178590737069742,0.0013575728957620115,0.001639344262295082,8.980198481754265e-06,0.5327483565500062,0.828119466414827,3657391.304347826,3132666.6666666665
Dbp_Bhlhe41,17,30,27420,16925,0.6180618129392683,0.0010034234446936608,0.001092896174863388,1.2975580303349783e-06,0.8809337122857637,0.9181324518946996,3319411.7647058824,3318000
Dbp_Ctcf,236,365,27085,16706,0.615448729500811,0.013929878408688466,0.013296903460837887,5.0889416489761224e-06,0.5827632977421313,1.0476031844342422,3310805.084745763,3316602.7397260275
Dbp_Ctnnb1-d4TCF,33,78,27372,16909,0.6173409623355559,0.0019478219808759297,0.0028415300546448087,5.642273229524873e-05,0.07784722875813205,0.6854835048082599,3340000,3308461.5384615385
