Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Esrrg_Esrra,122,283,40678,16820,0.7046267032796228,0.0072010388383898,0.006909011010473377,1.8229334135706765e-06,0.7014220612436142,1.0422676744144332,3052622.950819672,3166749.116607774
Esrrg_Esrrg,102,232,40729,16840,0.7051620814120166,0.0060205406681619646,0.005663924220600083,3.2835473661105286e-06,0.6294636794158646,1.0629627858128543,3043529.411764706,3148965.5172413792
Fos_Arid5b,173,456,40505,16769,0.7025197312747181,0.010211309172470782,0.011132540709455336,1.1934832233826895e-05,0.35479561959824046,0.9172487609946836,3075086.705202312,3207763.1578947366
Fos_Atf2,325,784,40177,16617,0.6994801651037079,0.01918309526620234,0.019140157710993384,1.4648343430595512e-08,0.9734226565848835,1.0022433229577985,3122215.3846153845,3214668.3673469387
Fos_Bach2,538,1275,39686,16404,0.6946790321744988,0.03175540077912879,0.031127169746832353,1.937663921775662e-06,0.6940779282297689,1.020182722599133,3130371.747211896,3220776.470588235
Fos_Bcl6,174,461,40500,16768,0.7024506502253769,0.010270334080982175,0.011254608041795854,1.3506634600523107e-05,0.3132959869919902,0.9125448032345138,3246724.1379310344,3237462.039045553
Fos_Bhlhe40,169,388,40573,16773,0.7036250280641763,0.009975209538425215,0.009472424989624277,3.934044184196808e-06,0.5745841162385863,1.0530787574830804,3098520.7100591715,3238221.649484536
Fos_Bhlhe41,126,254,40707,16816,0.7051966219366872,0.007437138472435368,0.006201020482898367,3.415988002317041e-05,0.10077476524769954,1.1993410589347444,3206428.5714285714,3292677.1653543306
Fos_Ctcf,1136,2603,38358,15806,0.6820717406697407,0.06705229606894109,0.06354825321647421,3.014273561916664e-05,0.11856363939693906,1.0551398767882811,3207200.704225352,3301740.299654245
Fos_Ctnnb1-d4TCF,193,541,40420,16749,0.7013971642229245,0.011391807342698618,0.013207685359244159,4.015904768572484e-05,0.07912082408727976,0.8625135315421036,3014922.279792746,3167079.482439926
Fos_Ctnnb1-wt,247,666,40295,16695,0.7001709755971193,0.014579152402313776,0.016259368667757134,2.7574472144829137e-05,0.14262351262737727,0.8966616539807426,3086113.360323887,3180765.7657657657
Fos_Dbp,85,211,40750,16857,0.7052311624613578,0.0050171172234683035,0.005151241424769903,5.300424465812942e-07,0.8980937089441682,0.9739627421350008,3261176.470588235,3120568.7203791467
Fos_E2f6,165,403,40558,16777,0.7032968930798059,0.009739109904379649,0.009838626986645834,1.5244474144311682e-07,0.9630390871480232,0.9898850640032129,3202909.090909091,3181265.5086848633
Fos_Egr1,225,544,40417,16717,0.7018980018306478,0.013280604415063157,0.013280925758648471,1.1765085433657063e-12,1.0,0.9999758041275771,3344266.6666666665,3341636.029411765
Fos_Egr3,228,549,40412,16714,0.7018634613059772,0.013457679140597333,0.013402993090988989,3.370831399077123e-08,0.9683396250028562,1.0040801371184105,3327368.4210526315,3350928.961748634
Fos_Egr4,123,287,40674,16819,0.704574892492617,0.0072600637469011926,0.007006664876345792,1.357019017461658e-06,0.7439120153904176,1.0361654046579085,3108536.5853658537,3312961.6724738674
Fos_Elk1,104,273,40688,16838,0.7044885411809405,0.006138590485184748,0.006664876345792339,6.466883790571219e-06,0.4959274991557806,0.9210359152514741,3261634.6153846155,3429450.5494505493
