Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,42,77,43259,14525,0.7478196293801703,0.0028832292167227293,0.001776813734539413,7.52469293707589e-05,0.014554852666453146,1.622696380985665,3177142.8571428573,3079870.1298701297
Atf2_Arid5b,100,277,43059,14467,0.7453672521285598,0.006864831468387451,0.006391914343732694,4.641610898691549e-06,0.5515585620779238,1.0739867744189118,3153000,3127906.1371841156
Atf2_Atf2,109,267,43069,14458,0.7456953871129303,0.007482666300542322,0.006161159313273029,3.5635704647691765e-05,0.09479744807809798,1.2144899880161126,3283211.009174312,3306853.9325842694
Bach2_Arid5b,206,496,42840,14361,0.7434157124846726,0.01414155282487815,0.011445449510799335,7.970040382495117e-05,0.011121718154322531,1.2355611556833055,3139368.932038835,3237883.064516129
Bach2_Atf2,359,907,42429,14208,0.7389599848021692,0.024644744971510948,0.020929481262691528,8.541719501022754e-05,0.008779007463549123,1.1775134157501637,3185431.754874652,3187739.80154355
Bach2_Bach2,308,825,42511,14259,0.739495362934563,0.02114368092263335,0.019037290012922283,3.088769486594284e-05,0.1118799877002449,1.110645522985744,3226655.8441558443,3208145.4545454546
Bcl6_Arid5b,63,160,43176,14504,0.7467488731153826,0.004324843825084094,0.0036920804873546245,1.3816407251939031e-05,0.27994653520763807,1.1713839500240268,3003809.523809524,3205312.5
Bcl6_Atf2,112,292,43044,14455,0.745315441341554,0.0076886112445939455,0.00673804688942219,1.733824283227728e-05,0.2497155841156794,1.141074167451107,3011785.714285714,3332773.97260274
Bcl6_Bach2,182,518,42818,14385,0.7426212804172495,0.012493993272465162,0.011953110577810596,3.3031174938684404e-06,0.599194408852646,1.0452503715358112,3134835.164835165,3258880.308880309
Bcl6_Bcl6,30,81,43255,14537,0.7475433051828058,0.002059449440516235,0.0018691157467232787,2.5311600314662213e-06,0.6616115315563336,1.1018308759779205,3445000,3259629.6296296297
Bhlhe40_Arid5b,49,132,43204,14518,0.7469906567880766,0.003363767419509851,0.0030459664020675652,4.331307516409252e-06,0.5486412336206733,1.1043350370596887,3421224.4897959186,3238863.6363636362
Bhlhe40_Atf2,74,273,43063,14493,0.7449873063571836,0.005079975286606714,0.006299612331548828,3.5163366333164706e-05,0.10657136981764007,0.806394904836588,3305270.2702702703,3214065.9340659343
Bhlhe40_Bach2,149,449,42887,14418,0.7432430098613197,0.010228598887897303,0.010360900867638915,2.330872097503628e-07,0.9245554129716136,0.9872306490109521,3158859.0604026844,3333608.017817372
Bhlhe40_Bcl6,46,156,43180,14521,0.746524359705024,0.0031578224754582277,0.0035997784751707587,7.80000732526374e-06,0.46550993110991945,0.877226889720883,3395869.565217391,3234807.6923076925
Bhlhe40_Bhlhe40,16,73,43263,14551,0.747439683608794,0.0010983730349419922,0.0016845117223555474,3.2707035623389964e-05,0.1417120137976132,0.6520423814006324,2904375,3197260.2739726026
Bhlhe41_Arid5b,26,97,43239,14541,0.7471978999361,0.0017848561817807372,0.002238323795458741,1.3688417910691711e-05,0.3493525230614074,0.7974074999345364,3297692.3076923075,3062783.505154639
Bhlhe41_Atf2,59,181,43155,14508,0.7463171165570005,0.0040502505663485965,0.004176666051319919,5.285232136924972e-07,0.8816616831871729,0.9697329201286342,3200847.4576271186,3261546.9613259668
Bhlhe41_Bach2,96,297,43039,14471,0.744952765832513,0.006590238209651953,0.006853424404652021,1.4046318559095966e-06,0.7707669597220782,0.9615978553989125,3116875,3296161.616161616
Bhlhe41_Bcl6,21,108,43228,14546,0.7469215757387355,0.0014416146083613647,0.0024921543289643713,7.406014777316559e-05,0.01923073462318563,0.5784612098884083,3261428.5714285714,3186666.6666666665
Bhlhe41_Bhlhe40,15,75,43261,14552,0.7473878728217882,0.0010297247202581176,0.00173066272844748,4.699710999238912e-05,0.06802882074670838,0.5949886730280771,3184000,3419600
Bhlhe41_Bhlhe41,5,34,43302,14562,0.747923250954182,0.0003432415734193726,0.0007845671035628576,4.530587635228684e-05,0.09500749607449961,0.43749167134417444,2652000,3265588.2352941176
Ctcf_Arid5b,347,950,42386,14220,0.7380101203737285,0.023820965195304456,0.021921727893668082,2.2076795039207425e-05,0.1845551276246634,1.0866372081091724,3218991.354466859,3344273.6842105263
Ctcf_Atf2,626,1935,41401,13941,0.7258173151650174,0.042973844992105444,0.04465109839394499,9.093556345166065e-06,0.40183394493006297,0.9624364581797837,3281789.1373801916,3210697.6744186045
Ctcf_Bach2,1138,3191,40145,13429,0.7129682399875654,0.0781217821102492,0.07363393021967879,3.9193613944540906e-05,0.07736146016539683,1.060948150902463,3237416.520210896,3254167.972422438
Ctcf_Bcl6,351,1076,42260,14216,0.7359031483688238,0.024095558454039954,0.02482924127745985,3.05634167363511e-06,0.6431729577617573,0.9704508561006278,3274273.5042735045,3329219.3308550185
Ctcf_Bhlhe40,271,999,42337,14296,0.7358513375818179,0.018603693279329994,0.023052427542920435,0.00012981928691916528,0.001348406004253077,0.8070166686216663,3189298.89298893,3311501.5015015015
Ctcf_Bhlhe41,181,717,42619,14386,0.7391672279501925,0.012425344957781286,0.01654513568395791,0.0001583801471040907,0.00041477167800394756,0.7509968606560806,3220276.2430939227,3387573.221757322
Ctcf_Ctcf,1113,3628,39708,13454,0.7049893787886637,0.07640557424315234,0.08371792505076611,9.796132682937664e-05,0.005197301736309003,0.9126548967478637,3302318.0592991915,3307028.665931643
Ctnnb1-d4TCF_Arid5b,81,196,43140,14486,0.7464380083933475,0.005560513489393836,0.004522798597009415,2.97173062120612e-05,0.12651305567651114,1.22944088049169,3080740.7407407407,3248418.3673469387
Ctnnb1-d4TCF_Atf2,152,378,42958,14415,0.7445210092741309,0.010434543831948926,0.0087225401513753,4.264762669667875e-05,0.06281971379544835,1.1962735224903138,3155921.052631579,3218492.0634920634
Ctnnb1-d4TCF_Bach2,299,623,42713,14268,0.742828523565273,0.02052584609047848,0.014376038397637068,0.0003101916424282959,6.163176491719667e-07,1.4277818076676974,3209397.993311037,3231524.879614767
Ctnnb1-d4TCF_Bcl6,71,238,43098,14496,0.7455399547519127,0.00487403034255509,0.005491969724940004,9.966877617883889e-06,0.39353054911098007,0.8874831047267536,3179577.4647887326,3307941.1764705884
Ctnnb1-d4TCF_Bhlhe40,53,162,43174,14514,0.7465416299673592,0.003638360678245349,0.0037382314934465573,3.6784318004946803e-07,0.9372581634768178,0.9732839404471632,3082075.4716981133,3346481.4814814813
Ctnnb1-d4TCF_Bhlhe41,38,121,43215,14529,0.7469906567880766,0.0026086359579872314,0.0027921358685619345,1.6890441485932321e-06,0.7838448277550876,0.934279734506898,3317368.4210526315,3207024.7933884296
Ctnnb1-d4TCF_Ctcf,516,1290,42046,14051,0.7350569055143947,0.03542253037687925,0.029767398929296657,0.00013987564939440741,0.0007747209204211642,1.1899773460561545,3187906.976744186,3302720.930232558
