Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Egr4_Bcl6,34,32,14535,13477,0.5188759883182563,0.0025164680630597293,0.0021967460698839843,7.842492512863918e-06,0.6227552242134062,1.1455434460809713,3489705.882352941,3054375
Egr4_Bhlhe40,22,30,14537,13489,0.5185198375952703,0.0016283028643327658,0.002059449440516235,1.8203115953620676e-05,0.4092105602745619,0.7906495941578467,2757272.727272727,3261000
Egr4_Bhlhe41,20,18,14549,13491,0.5188759883182563,0.0014802753312116053,0.0012356696643097411,7.964905647901786e-06,0.6279033944338372,1.197953930542192,2929500,3098333.3333333335
Egr4_Ctcf,245,229,14338,13266,0.5193745993304366,0.018133372807342167,0.015720464062607263,6.311490862554933e-05,0.125995348688908,1.1534883916356042,3275142.8571428573,3367205.2401746726
Egr4_Ctnnb1-d4TCF,39,49,14518,13472,0.5184486074506731,0.0028865368958626305,0.003363767419509851,1.316502063441723e-05,0.5219952424509042,0.8581261828985906,3250769.230769231,3219795.9183673467
Egr4_Ctnnb1-wt,68,65,14502,13443,0.5189116033905549,0.005032936126119459,0.004462140454451843,1.2434152737501002e-05,0.4882094771835728,1.1279197007566486,3252352.9411764704,3398307.6923076925
Egr4_Dbp,19,21,14546,13492,0.5187335280290619,0.0014062615646510252,0.0014416146083613647,1.5826862829831055e-07,1.0,0.9754767720129278,3383684.210526316,3357142.8571428573
Egr4_E2f6,43,30,14537,13468,0.5192677541135409,0.0031825919621049515,0.002059449440516235,8.781045429634036e-05,0.07797063830901332,1.5453605703994278,3597906.976744186,3263000
Egr4_Egr1,42,53,14514,13469,0.5184129923783746,0.0031085781955443714,0.003638360678245349,1.5034030800778302e-05,0.4726195213742015,0.8543897844244313,3409285.714285714,3323207.547169811
Egr4_Egr3,45,53,14514,13466,0.5185198375952703,0.0033306194952261122,0.003638360678245349,4.9104239325829455e-06,0.6864377495118477,0.9154176261690335,3346000,3513962.2641509436
