Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Esrrg_Esrra,79,326,44066,13432,0.7623957307911507,0.005847087558285841,0.007343665525319877,4.334626677651981e-05,0.06778988717383098,0.7962083156055983,3364936.7088607596,3076012.26993865
Esrrg_Esrrg,64,270,44122,13447,0.7631038115468974,0.004736881059877137,0.006082176968823212,4.259146608102948e-05,0.07952638936379766,0.7788134222595032,3349687.5,3061555.5555555555
Fos_Arid5b,134,495,43897,13377,0.7604269208849282,0.009917844719117755,0.011150657776175887,1.8635648288722537e-05,0.23622303228684072,0.8894403288304554,3272686.567164179,3143818.1818181816
Fos_Atf2,219,890,43502,13292,0.75507313956099,0.01620901487676708,0.020048657415750584,0.00010514845138366244,0.004115000493077364,0.8084838072016227,3013835.616438356,3230325.842696629
Fos_Bach2,373,1440,42952,13138,0.7482341156762171,0.02760713492709644,0.03243827716705713,0.00010212665347819963,0.0047695879709511585,0.8510666206136563,3292680.965147453,3168375
Fos_Bcl6,130,505,43887,13381,0.7601851372122342,0.009621789652875435,0.011375923589836006,3.771453132545878e-05,0.08946312326365555,0.8458029431097946,3314538.4615384615,3220811.881188119
Fos_Bhlhe40,101,456,43936,13410,0.7605305424589399,0.007475390422618607,0.010272121102901424,0.00011215639596713362,0.00345350035265054,0.7277358150019412,3254554.4554455443,3182828.947368421
Fos_Bhlhe41,74,306,44086,13437,0.76265478472618,0.0054770187254829395,0.00689313389799964,4.136216624173357e-05,0.07759055048840452,0.7945614877831328,3240405.4054054054,3269803.9215686275
Fos_Ctcf,759,2980,41412,12752,0.7283042329412984,0.056176448819480425,0.06712921247071545,0.00026405299596472115,4.649814572410938e-06,0.8368405758370385,3241027.66798419,3281164.4295302015
Fos_Ctnnb1-d4TCF,143,591,43801,13368,0.7589244080617584,0.010583968618162978,0.01331320958731303,8.000288641291792e-05,0.012296240536928415,0.794997520977142,3258881.118881119,3095177.664974619
Fos_Ctnnb1-wt,191,722,43670,13320,0.7574909762879298,0.01413662941307083,0.01626419174626059,3.8582280653827114e-05,0.08279309080558733,0.8691873308934076,3351518.32460733,3103213.296398892
Fos_Dbp,53,243,44149,13458,0.763380135744262,0.003922729627710754,0.00547395927194089,6.483282410602378e-05,0.02730745676829468,0.7166165170096123,3067358.4905660376,3181358.024691358
Fos_E2f6,134,434,43958,13377,0.7614804068873806,0.009917844719117755,0.009776536312849162,2.646116129918427e-07,0.8811609895420457,1.0144538312697589,3366716.417910448,3132235.0230414746
Fos_Egr1,160,609,43783,13351,0.7589071377994232,0.011842202649692843,0.013718688051901243,3.558971928654779e-05,0.10280095994261594,0.8632168473319617,3262312.5,3363448.275862069
Fos_Egr3,178,599,43793,13333,0.7593907051448111,0.013174450447783287,0.013493422238241124,9.95890909337785e-07,0.797942933377066,0.9763609420333818,3317696.629213483,3351836.3939899835
Fos_Egr4,91,319,44073,13420,0.7627238657755211,0.006735252757012805,0.007185979455757794,3.7718471555172467e-06,0.6392243541722351,0.9372769291201016,3286153.846153846,3241786.8338557994
Fos_Elk1,85,292,44100,13426,0.7630865412845621,0.006291170157649323,0.006577761758875473,1.651530354924123e-06,0.7601569472112937,0.956430224788934,3462000,3360205.479452055
Fos_Elk3,85,302,44090,13426,0.7629138386612092,0.006291170157649323,0.006803027572535592,5.163786814212611e-06,0.5469974596400413,0.9247603497959229,3410117.6470588236,3394172.1854304634
Fos_Elk4,78,280,44112,13433,0.7631728925962386,0.005773073791725261,0.006307442782483331,6.092069549489508e-06,0.5308577314616365,0.9152796134366706,3576538.4615384615,3400392.8571428573
Fos_Esrra,189,819,43573,13322,0.7557812203167366,0.01398860187994967,0.01844927013876374,0.000157669840057462,0.00041038195711909256,0.7582197981132183,3144444.4444444445,3209304.0293040294
Fos_Esrrg,197,872,43520,13314,0.7550040585116488,0.014580712012434313,0.019643178951162372,0.00019242233279920598,0.00010694632342335235,0.7422786326330092,3238934.010152284,3182029.8165137614
Fos_Fos,153,726,43666,13358,0.7567656252698478,0.011324106283768781,0.016354298071724636,0.0002332183574452456,1.968992956922435e-05,0.692423865219096,3151960.7843137253,3179008.26446281
Fosl2_Arid5b,110,362,44030,13401,0.7623093794794743,0.00814151432166383,0.008154622454496305,2.743173214622696e-09,1.0,0.9983925518433723,3320454.5454545454,3126298.3425414367
Fosl2_Atf2,172,660,43732,13339,0.7582335975683471,0.012730367848419806,0.01486754370156785,4.277721705951004e-05,0.06928863360883251,0.8562522568591697,3130290.697674419,3275909.090909091
Fosl2_Bach2,271,1010,43382,13240,0.7538987617221906,0.02005773073791725,0.022751847179672012,4.4262101138878296e-05,0.06612220212619532,0.8815869137798243,3365645.7564575644,3192653.4653465347
Fosl2_Bcl6,94,373,44019,13417,0.7618430823964216,0.006957294056694545,0.008402414849522437,3.483995548162703e-05,0.11096731690804698,0.8280112540610837,3332872.340425532,3165040.2144772117
Fosl2_Bhlhe40,85,343,44049,13426,0.7622057579054626,0.006291170157649323,0.007726617408542079,3.759663203450111e-05,0.09604722387868497,0.814220482910696,3376941.1764705884,3335422.7405247814
