Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,21,27,13484,12862,0.5116693187845722,0.0016300551113870992,0.0019983716971356674,1.351385116967179e-05,0.5638136061231952,0.815691652220411,3200000,3375555.5555555555
Atf2_Arid5b,85,82,13429,12798,0.5120103053724331,0.006597842117519211,0.0060691288579675816,8.010578800937002e-06,0.6414156204591368,1.0871151810951472,3147176.470588235,3216585.3658536584
Atf2_Atf2,100,71,13440,12783,0.5129953777373646,0.007762167197081425,0.005254977425801199,0.0001765738193394784,0.011332604735996997,1.4771076197150301,3449700,3151267.6056338027
Bach2_Arid5b,168,138,13373,12715,0.5130332651360158,0.013040440891096794,0.010213899785360078,0.00012572780338959352,0.03331719863962542,1.276734759997165,3288392.8571428573,3253913.0434782607
Bach2_Atf2,286,248,13263,12597,0.5133363643252254,0.022199798183652877,0.018355414107023908,0.00013437915275358106,0.028698702774779893,1.2094414244327985,3251328.6713286713,3072822.580645161
Bach2_Bach2,257,235,13276,12626,0.5127301659468061,0.019948769696499263,0.017393235141736362,6.432570451119293e-05,0.13298794833930416,1.1469269249761769,3267782.101167315,3182808.510638298
Bcl6_Arid5b,48,46,13465,12835,0.5119724179737819,0.0037258402545990842,0.0034046332617866924,5.23808464063507e-06,0.6804028746938405,1.09434407999757,3400000,3198913.0434782607
Bcl6_Atf2,87,80,13431,12796,0.5121618549670379,0.00675308546146084,0.005921101324846421,1.983694507194135e-05,0.43754331081018555,1.1405117208724675,3269655.172413793,3212250
Bcl6_Bach2,161,143,13368,12722,0.5125786163522013,0.012497089187301094,0.010583968618162978,5.79313916318526e-05,0.14941016803805096,1.1807564476197558,3256211.1801242237,3280069.93006993
Bcl6_Bcl6,25,21,13490,12858,0.5120481927710844,0.0019405417992703563,0.0015542890977721857,1.5460092078794585e-05,0.4646551090586619,1.2485076309496088,3547200,3078571.4285714286
Bhlhe40_Arid5b,36,47,13464,12847,0.5114798817913162,0.002794380190949313,0.0034786470283472725,2.7020521857713722e-05,0.32519056613324204,0.8032951225514079,3009166.6666666665,3559787.234042553
Bhlhe40_Atf2,85,77,13434,12798,0.5121997423656892,0.006597842117519211,0.005699060025164681,2.386138660553233e-05,0.38594436054068876,1.1577070759714552,3342705.882352941,3333116.883116883
Bhlhe40_Bach2,134,132,13379,12749,0.5119724179737819,0.01040130404408911,0.009769817185996595,7.201891486062137e-06,0.622272377243824,1.0646365071188482,3401641.7910447763,3409545.4545454546
Bhlhe40_Bcl6,44,50,13461,12839,0.5116693187845722,0.003415353566715827,0.0037006883280290134,4.138718479781197e-06,0.7567848461284634,0.9228968407979508,3467727.272727273,3489600
Bhlhe40_Bhlhe40,17,27,13484,12866,0.5115177691899674,0.0013195684235038424,0.0019983716971356674,5.041597458189679e-05,0.2269160723223932,0.6603218137022375,3603529.411764706,3348888.888888889
Bhlhe41_Arid5b,31,31,13480,12852,0.5118966431764795,0.002406271831095242,0.0022944267633779884,9.617993948001988e-07,0.8991305642635926,1.0487464099976713,3004838.709677419,3143225.806451613
Bhlhe41_Atf2,64,43,13468,12819,0.5126922785481549,0.004967787006132112,0.0031825919621049515,0.00014292411046339625,0.025533531799077094,1.5609248892988596,3387187.5,3136046.511627907
Bhlhe41_Bach2,80,80,13431,12803,0.5118966431764795,0.00620973375766514,0.005921101324846421,2.491337623471146e-06,0.8120187778768264,1.0487464099976713,3466875,3346875
Bhlhe41_Bcl6,32,34,13477,12851,0.5118208683791771,0.002483893503066056,0.0025164680630597293,7.6681779066258e-08,1.0,0.9870554447036906,3439687.5,3389117.6470588236
Bhlhe41_Bhlhe40,25,25,13486,12858,0.5118966431764795,0.0019405417992703563,0.0018503441640145067,7.752912574096344e-07,0.8882677433952535,1.0487464099976713,3576000,3602400
Bhlhe41_Bhlhe41,13,8,13503,12870,0.5120860801697356,0.0010090817356205853,0.0005921101324846421,3.971058145035432e-05,0.27732683875741104,1.7042129162462158,3327692.3076923075,3472500
Ctcf_Arid5b,279,288,13223,12604,0.5115556565886187,0.021656446479857178,0.021315964769447117,9.93872457673295e-07,0.8651620919670714,1.0159730846852442,3379247.311827957,3438750
Ctcf_Atf2,583,515,12996,12300,0.5144729862847617,0.04525343475898471,0.03811708977869884,0.00023019270872379205,0.003745143321625127,1.1872216641332862,3265986.2778730704,3130427.1844660193
Ctcf_Bach2,964,924,12587,11919,0.5134121391225278,0.07482729177986494,0.06838872030197617,0.00011246144727802831,0.04474006031191943,1.094146687486748,3253755.1867219917,3276850.649350649
Ctcf_Bcl6,333,311,13200,12550,0.5127301659468061,0.025848016766281144,0.023018281400340464,6.060737519860207e-05,0.13988283215518776,1.1229342589364133,3387117.117117117,3335594.8553054663
Ctcf_Bhlhe40,320,278,13233,12563,0.5134879139198303,0.02483893503066056,0.020575827103841315,0.00014792485096314784,0.020494445271392613,1.2071901122275353,3475125,3289640.287769784
Ctcf_Bhlhe41,224,206,13305,12659,0.5125786163522013,0.017387254521462392,0.015246835911479534,5.150726926253166e-05,0.1734855932897636,1.1403844458227106,3590089.285714286,3238834.9514563107
Ctcf_Ctcf,1011,1082,12429,11872,0.5092066378722437,0.07847551036249321,0.08008289541854785,6.379199562908666e-06,0.6323496036639474,0.9799284847575285,3347893.175074184,3292902.0332717192
Ctnnb1-d4TCF_Arid5b,57,51,13460,12826,0.5121239675683867,0.004424435302336412,0.0037747020945895935,1.8667255070890613e-05,0.440855854036427,1.1721283405856326,3252631.5789473685,3568823.529411765
Ctnnb1-d4TCF_Atf2,99,105,13406,12784,0.5116693187845722,0.0076845455251106105,0.007771445488860928,1.7748565865182558e-07,0.9440785145247361,0.98881804371209,3304242.4242424243,3266285.714285714
Ctnnb1-d4TCF_Bach2,175,197,13314,12708,0.5110631204061529,0.013583792594892494,0.014580712012434313,1.2900757311385194e-05,0.4976254123743547,0.9316275215715354,3207942.8571428573,3355736.040609137
Ctnnb1-d4TCF_Bcl6,51,85,13426,12832,0.5106084716223384,0.003958705270511527,0.006291170157649323,0.00019365097822014038,0.009640822786967948,0.6292478459986028,3413529.411764706,3398117.6470588236
Ctnnb1-d4TCF_Bhlhe40,51,53,13458,12832,0.5118208683791771,0.003958705270511527,0.003922729627710754,5.943091592724298e-08,1.0,1.0091710737713444,3388235.294117647,3245660.3773584906
Ctnnb1-d4TCF_Bhlhe41,27,47,13464,12856,0.5111388952034553,0.002095785143211985,0.0034786470283472725,0.00012505801554784073,0.03608363699414142,0.602471341913556,3250000,3099574.4680851065
Ctnnb1-d4TCF_Ctcf,372,396,13115,12511,0.5109873456088505,0.028875261973142902,0.029309451557989787,1.2028724539446534e-06,0.8546971006555418,0.985186021512964,3274435.4838709678,3351515.1515151514
Ctnnb1-d4TCF_Ctnnb1-d4TCF,35,38,13473,12848,0.5117829809805259,0.0027167585189784987,0.0028125231293020503,5.994797188202221e-07,0.9071433637060232,0.9659506407873288,3322285.714285714,3314210.5263157897
Ctnnb1-wt_Arid5b,71,77,13434,12812,0.5116693187845722,0.0055111387099278115,0.005699060025164681,1.1418559518680538e-06,0.8692170754326254,0.9670259105173332,2995774.647887324,3249350.649350649
Ctnnb1-wt_Atf2,132,121,13390,12751,0.5123134045616428,0.010246060700147481,0.008955665753830212,3.1602183935081074e-05,0.28358524462579937,1.1440869927247326,3257954.5454545454,3219421.487603306
Ctnnb1-wt_Bach2,269,216,13295,12614,0.5139046753049935,0.020880229760149034,0.01598697357708534,0.00023944925316793028,0.003314794871270106,1.3060777050433963,3052193.308550186,3284305.5555555555
Ctnnb1-wt_Bcl6,75,57,13454,12808,0.5125786163522013,0.005821625397811069,0.004218784693953075,9.321454982247346e-05,0.06718516817281969,1.3799294868390413,3184800,3023157.8947368423
Ctnnb1-wt_Bhlhe40,68,82,13429,12815,0.5113662195953625,0.0052782736940153695,0.0060691288579675816,1.9987043457154498e-05,0.4133785938900295,0.8696921448761178,3400588.2352941176,3118902.43902439
Ctnnb1-wt_Bhlhe41,44,55,13456,12839,0.5114798817913162,0.003415353566715827,0.004070757160831915,2.0773620471013516e-05,0.4208448037429591,0.838997127998137,3171818.1818181816,3039818.1818181816
Ctnnb1-wt_Ctcf,508,512,12999,12375,0.5117450935818747,0.03943180936117364,0.0378950484790171,1.1454300816990393e-05,0.5230348769476167,1.0405530786695645,3216082.677165354,3172031.25
Ctnnb1-wt_Ctnnb1-d4TCF,93,87,13424,12790,0.5121239675683867,0.007218815493285726,0.006439197690770483,1.6167782763798315e-05,0.4550917656333508,1.1210737486182005,3265483.870967742,3097586.206896552
Ctnnb1-wt_Ctnnb1-wt,75,50,13461,12808,0.5128438281427598,0.005821625397811069,0.0037006883280290134,0.00017284463273293475,0.015129616521798476,1.5731196149965072,2849600,3183000
Dbp_Arid5b,24,18,13493,12859,0.5121239675683867,0.0018629201272995421,0.0013322477980904448,3.201159696747738e-05,0.28497596063879177,1.398328546663562,2955000,3616666.6666666665
Dbp_Atf2,53,39,13472,12830,0.5124270667575964,0.004113948614453155,0.0028865368958626305,7.835888235029195e-05,0.09527264383310112,1.4252194802532456,3304528.3018867923,2916923.076923077
Dbp_Bach2,107,75,13436,12776,0.5131090399333181,0.008305518900877124,0.0055510324920435205,0.0002003897734087854,0.007310321611737628,1.4962115449300109,3095046.728971963,3196000
Dbp_Bcl6,26,26,13485,12857,0.5118966431764795,0.0020181634712411706,0.001924357930575087,8.063641433980577e-07,0.8903118998065624,1.0487464099976713,3391153.846153846,3133846.153846154
Dbp_Bhlhe40,27,28,13483,12856,0.5118587557778282,0.002095785143211985,0.0020723854636962476,4.7453753614958016e-08,1.0,1.0112911810691831,3234444.4444444445,3383571.4285714286
Dbp_Bhlhe41,19,15,13496,12864,0.5120481927710844,0.0014748117674454708,0.001110206498408704,1.864433370450582e-05,0.49310044811825543,1.328412119330384,3341052.6315789474,3298000
Dbp_Ctcf,184,176,13335,12699,0.5121997423656892,0.014282387642629821,0.013026422914662127,2.1125113155273656e-05,0.39584586961319973,1.0964167013612018,3330489.1304347827,3295056.8181818184
Dbp_Ctnnb1-d4TCF,35,42,13469,12848,0.511631431385921,0.0027167585189784987,0.0031085781955443714,9.52977900109224e-06,0.5702439628744653,0.8739553416647261,3195428.5714285714,3027857.1428571427
Dbp_Ctnnb1-wt,59,48,13463,12824,0.5123134045616428,0.004579678646278041,0.0035526607949078527,4.711603881257971e-05,0.20800356057628466,1.289084128955471,3347796.6101694917,3046875
Dbp_Dbp,12,10,13501,12871,0.5119724179737819,0.0009314600636497711,0.0007401376656058027,7.92461056107769e-06,0.6720435155489785,1.2584956919972057,3062500,3066000
E2f6_Arid5b,49,46,13465,12834,0.5120103053724331,0.0038034619265698982,0.0034046332617866924,7.99097817487035e-06,0.6084161073076506,1.1171429149975194,3150612.2448979593,3298695.652173913
E2f6_Atf2,83,84,13427,12800,0.5118587557778282,0.006442598773577583,0.006217156391088743,1.4566525602423275e-06,0.8766436279336631,1.0362613336881752,3328554.2168674697,3241785.714285714
E2f6_Bach2,134,145,13366,12749,0.5114798817913162,0.01040130404408911,0.010731996151284139,1.885066289349091e-06,0.8098954329519135,0.9691863375150893,3090000,3131793.103448276
E2f6_Bcl6,51,57,13454,12832,0.5116693187845722,0.003958705270511527,0.004218784693953075,2.9936691145577773e-06,0.7728303080293826,0.9383520510505481,3087647.0588235296,3590526.3157894737
E2f6_Bhlhe40,38,35,13476,12845,0.5120103053724331,0.0029496235348909416,0.0025904818296203095,8.425847763681143e-06,0.6395443638228497,1.138638959426043,3338684.210526316,3141428.5714285714
E2f6_Bhlhe41,32,24,13487,12851,0.5121997423656892,0.002483893503066056,0.0017763303974539263,4.2704771943906546e-05,0.2299631493794112,1.3983285466635618,3137812.5,3041250
E2f6_Ctcf,323,336,13175,12560,0.5114041069940138,0.025071800046573004,0.02486862556435497,3.0559879560590475e-07,0.9371061010697861,1.008169911991809,3312352.9411764704,3467053.5714285714
E2f6_Ctnnb1-d4TCF,55,64,13447,12828,0.5115556565886187,0.004269191958394784,0.004736881059877137,8.79476307549202e-06,0.5826848426454327,0.9012664460917489,3196363.6363636362,3397500
E2f6_Ctnnb1-wt,76,91,13420,12807,0.5113283321967114,0.005899247069781883,0.006735252757012805,2.0071052280612976e-05,0.3944824731083574,0.8758761226354178,2915526.3157894737,3421978.021978022
E2f6_Dbp,17,30,13481,12866,0.5114041069940138,0.0013195684235038424,0.002220412996817408,8.352838286011083e-05,0.10725449105738707,0.5942896323320138,2837647.0588235296,3372000
E2f6_E2f6,25,30,13481,12858,0.5117072061832234,0.0019405417992703563,0.002220412996817408,6.8013097182660805e-06,0.6861164479561321,0.8739553416647262,3016800,3762000
Egr1_Arid5b,50,48,13463,12833,0.5119724179737819,0.0038810835985407127,0.0035526607949078527,5.25336247210852e-06,0.686375022552838,1.0924441770809077,3414600,3258125
Egr1_Atf2,117,97,13414,12766,0.5126543911495037,0.009081735620585268,0.007179335356376286,8.114400862253672e-05,0.08646128369838332,1.2649827831930676,3269487.1794871795,2681443.2989690723
Egr1_Bach2,183,199,13312,12700,0.5112904447980602,0.014204765970659007,0.014728739545555473,3.470379685302505e-06,0.7571270115948159,0.9644250906008736,3275409.8360655736,3276331.658291457
Egr1_Bcl6,80,56,13455,12803,0.5128059407441085,0.00620973375766514,0.004144770927392495,0.0001504550792737029,0.020188992717378305,1.4982091571395304,3075750,3709821.4285714286
Egr1_Bhlhe40,79,49,13462,12804,0.5130332651360158,0.006132112085694326,0.0036266745614684332,0.0002361045406211737,0.003415329005609937,1.6908360487717558,3507341.7721518986,3311632.6530612246
Egr1_Bhlhe41,53,39,13472,12830,0.5124270667575964,0.004113948614453155,0.0028865368958626305,7.835888235029195e-05,0.09527264383310112,1.4252194802532456,3652641.5094339624,3266923.076923077
Egr1_Ctcf,469,396,13115,12414,0.5146624232780177,0.03640456415431188,0.029309451557989787,0.00028629767278444407,0.0012889975067547567,1.2420759249719895,3358081.0234541576,3253106.0606060605
Egr1_Ctnnb1-d4TCF,70,80,13431,12813,0.5115177691899674,0.0054335170379569975,0.005921101324846421,7.5902112980693465e-06,0.6236698726020701,0.9176531087479625,3126857.1428571427,3251625
