Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Egr4_Bcl6,40,66,28012,12843,0.684846561363248,0.00310486687883257,0.0023505947717073865,3.320245396264826e-05,0.17347940170849155,1.3208856397554682,3364500,3278636.3636363638
Egr4_Bhlhe40,46,52,28026,12837,0.68533483069261,0.0035705969106574554,0.0018519837595270317,0.00018012653183356814,0.0014594595682939546,1.927985001104616,3284347.8260869565,3047884.6153846155
Egr4_Bhlhe41,26,38,28040,12857,0.6851883498938014,0.0020181634712411706,0.0013533727473466772,4.2153467582809346e-05,0.13741441177123875,1.4912103669870942,3305769.230769231,3009473.6842105263
Egr4_Ctcf,213,474,27604,12670,0.6791093967432436,0.016533416129783436,0.01688154426953487,1.145854923872286e-06,0.8358943417345369,0.9793781816288171,3432957.7464788733,3319620.253164557
Egr4_Ctnnb1-d4TCF,38,88,27990,12845,0.6842606381680135,0.0029496235348909416,0.0031341263622765153,1.7394941835657644e-06,0.8476586326763402,0.9411310183257712,3128684.210526316,3233522.727272727
Egr4_Ctnnb1-wt,52,133,27945,12831,0.6835038207075023,0.004036326942482341,0.00473680461571337,1.732165095119642e-05,0.3420519320688201,0.852120209706911,3238846.153846154,3323684.210526316
Egr4_Dbp,17,40,28038,12866,0.6849198017626523,0.0013195684235038424,0.0014246028919438706,1.2466022749897492e-06,0.886867923349435,0.9262710548785221,3225882.3529411764,3369750
Egr4_E2f6,42,73,28005,12841,0.6847244940309074,0.0032601102227741985,0.002599900277797564,2.358335239444889e-05,0.2683682248500596,1.2539366415760813,3165714.285714286,3460273.97260274
Egr4_Egr1,44,95,27983,12839,0.6842362247015453,0.003415353566715827,0.003383431868366693,4.6804663983088246e-08,1.0,1.0094347099604946,3683863.6363636362,3361263.1578947366
Egr4_Egr3,40,98,27980,12843,0.6840653304362686,0.00310486687883257,0.0034902770852624832,6.982532399955714e-06,0.5821325478416796,0.8895760431006214,3423000,3436836.7346938774
