Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,29,48,26346,16913,0.6086163928373639,0.0017117223468303623,0.0018185951352580132,1.11108844117868e-06,0.9070391997375596,0.9412333254633455,2717586.206896552,3298750
Atf2_Arid5b,110,167,26227,16832,0.6077395237216171,0.0064927399362530985,0.006327195574751837,7.397755629546046e-07,0.8530709412154306,1.0261639393860138,3046909.090909091,3181257.48502994
Atf2_Atf2,96,171,26223,16846,0.6073241646667897,0.005666391217093614,0.006478745169356672,1.8703053002873914e-05,0.3143025786299564,0.8746124548770108,3273125,3325789.4736842103
Bach2_Arid5b,190,306,26088,16752,0.6063780690419052,0.011214732617164443,0.011593543987269835,2.183652503750036e-06,0.7460646171955423,0.967325662409929,3181578.947368421,3272843.137254902
Bach2_Atf2,373,534,25860,16569,0.6053396714048366,0.022016290874749146,0.020231870879745397,2.653634916959316e-05,0.21573342686642105,1.0881984669440616,3215388.7399463807,3168426.966292135
Bach2_Bach2,333,492,25902,16609,0.6053858224109285,0.01965529453429347,0.018640600136394635,9.434815071228397e-06,0.4496532025019149,1.054434642150695,3180000,3227195.1219512196
Bcl6_Arid5b,66,94,26300,16876,0.6084087133099502,0.0038956439617518594,0.003561415473213609,5.183800396326224e-06,0.571106162622556,1.0938470928348785,3068181.8181818184,3301595.744680851
Bcl6_Atf2,125,167,26227,16817,0.6080856562673066,0.007378113563923976,0.006327195574751837,2.805597037262679e-05,0.20633317847453117,1.1660953856659246,3453840,3242155.6886227545
Bcl6_Bach2,214,304,26090,16728,0.6069780321211002,0.012631330421437846,0.011517769189967417,1.7920308785895553e-05,0.29789594660036506,1.0966820234981267,3246728.971962617,3267434.210526316
Bcl6_Bcl6,35,46,26348,16907,0.6088009968617316,0.002065871797898713,0.001742820337955596,9.500695570280153e-06,0.4943414149016919,1.1853613094291007,3162857.1428571427,3333260.8695652173
Bhlhe40_Arid5b,49,83,26311,16893,0.6082702602916744,0.0028922205170581984,0.0031446540880503146,3.627065115426476e-06,0.6565409592566835,0.9197261244245071,3099795.9183673467,3320963.8554216865
Bhlhe40_Atf2,111,162,26232,16831,0.607877976739893,0.006551764844764491,0.006137758581495794,4.681470747927921e-06,0.6188012837977928,1.067452353782185,3032972.972972973,3338148.1481481483
Bhlhe40_Bach2,183,266,26128,16759,0.607139560642422,0.010801558257584701,0.010078048041221489,8.726560976458561e-06,0.4663536606621112,1.0717907092131227,3229016.393442623,3405563.909774436
Bhlhe40_Bcl6,62,94,26300,16880,0.6083164112977663,0.003659544327706292,0.003561415473213609,4.602114759629135e-07,0.8697408594946402,1.0275533296327646,2864032.2580645164,3479361.7021276597
Bhlhe40_Bhlhe40,29,44,26350,16913,0.6087086948495477,0.0017117223468303623,0.0016670455406531787,2.0347769945773357e-07,0.9050478021354141,1.0267999914145587,2817931.0344827585,3447272.727272727
Bhlhe41_Arid5b,35,62,26332,16907,0.6084317888129961,0.002065871797898713,0.002349018716374934,6.2272376538854285e-06,0.602933914833651,0.8794616166732038,3042857.1428571427,3074032.2580645164
Bhlhe41_Atf2,74,107,26287,16868,0.6082933357947203,0.004367843229842993,0.004053951655679321,4.0477110989497675e-06,0.6471856019331166,1.0774285440044484,3225810.810810811,3286261.6822429905
Bhlhe41_Bach2,137,160,26234,16805,0.60852409082518,0.008086412466060677,0.006061983784193377,0.0001016142859556141,0.014325919589081311,1.3339548164325346,3166861.313868613,3406875
Bhlhe41_Bcl6,42,66,26328,16900,0.6085010153221341,0.002479046157478456,0.0025005683109797683,3.202362077424359e-08,1.0,0.9913930951588843,2830000,3413636.3636363638
Bhlhe41_Bhlhe40,25,50,26344,16917,0.608477939819088,0.0014756227127847952,0.0018943699325604305,1.779038953306656e-05,0.3442785063772694,0.7789517176248376,3080400,3589200
Bhlhe41_Bhlhe41,13,21,26373,16929,0.6088702233708695,0.0007673238106480935,0.0007956353716753807,1.7608374513978977e-07,1.0,0.964416412297418,3076153.846153846,3382857.1428571427
Ctcf_Arid5b,383,567,25827,16559,0.6048089348347794,0.022606539959863062,0.02148215503523528,1.009171778325324e-05,0.43954375946019436,1.0523404156977525,3247754.5691906004,3409470.8994708993
Ctcf_Atf2,837,1098,25296,16105,0.60303212110024,0.04940384842403494,0.041600363719027054,0.000242546236651639,0.00013633680111842534,1.187582126870654,3221577.0609318996,3202404.3715846995
Ctcf_Bach2,1303,1888,24506,15639,0.5955556581133469,0.07690945579034353,0.07153140865348186,7.249004011601612e-05,0.038146692791975405,1.0751844153232664,3238388.334612433,3265058.2627118644
Ctcf_Bcl6,432,644,25750,16510,0.6041628207494923,0.02549876047692126,0.024399484731378342,8.545957598811438e-06,0.486492368201384,1.0450532360681053,3280000,3362236.0248447205
Ctcf_Bhlhe40,401,598,25796,16541,0.6045089532951818,0.023668988313068115,0.02265666439342275,7.79202924471728e-06,0.49117143138005226,1.0446810661122405,3196084.788029925,3388896.3210702343
Ctcf_Bhlhe41,287,430,25964,16655,0.6057550304596641,0.01694014874276945,0.016291581420019702,4.428071147165313e-06,0.6159906889887965,1.039809967248039,3336271.7770034843,3421813.9534883723
Ctcf_Ctcf,1535,2093,24301,15407,0.596178696695588,0.09060323456498642,0.07929832537697962,0.00028382458204964656,3.719311223506068e-05,1.142561764504659,3290071.661237785,3319464.8829431436
Ctnnb1-d4TCF_Arid5b,88,108,26286,16854,0.6085933173343179,0.005194191949002479,0.0040918390543305296,4.566354368407393e-05,0.10632716626502234,1.269402799092328,3060000,3401944.4444444445
Ctnnb1-d4TCF_Atf2,174,204,26190,16768,0.6083625623038582,0.010270334080982175,0.007729029324846556,0.00012607945884595892,0.005890709480481669,1.328799988889429,3140862.0689655175,3284705.882352941
