Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Esrrg_Esrra,122,79,13432,16820,0.44507930253177025,0.0072010388383898,0.005847087558285841,5.025356235611664e-05,0.154621418341065,1.2315599461453746,3052622.950819672,3364936.7088607596
Esrrg_Esrrg,102,64,13447,16840,0.4449151150953929,0.0060205406681619646,0.004736881059877137,5.472671324697597e-05,0.13709489838550348,1.2709925776177546,3043529.411764706,3349687.5
Fos_Arid5b,173,134,13377,16769,0.4449479525826684,0.010211309172470782,0.009917844719117755,1.5382437328990278e-06,0.8175633171637935,1.0295895390242742,3075086.705202312,3272686.567164179
Fos_Atf2,325,219,13292,16617,0.4471480642301251,0.01918309526620234,0.01620901487676708,9.042320963531178e-05,0.05531248689010338,1.1834831056696793,3122215.3846153845,3013835.616438356
Fos_Bach2,538,373,13138,16404,0.44908547597937803,0.03175540077912879,0.02760713492709644,0.00010619734840421405,0.03580251499928837,1.1502606432354132,3130371.747211896,3292680.965147453
Fos_Bcl6,174,130,13381,16768,0.44511214001904575,0.010270334080982175,0.009621789652875435,7.59724899495294e-06,0.6017383883719031,1.0674037212934628,3246724.1379310344,3314538.4615384615
Fos_Bhlhe40,169,101,13410,16773,0.4459002397136571,0.009975209538425215,0.007475390422618607,0.00012839601961296514,0.022681106735325234,1.3344064957788424,3098520.7100591715,3254554.4554455443
Fos_Bhlhe41,126,74,13437,16816,0.4453748399172495,0.007437138472435368,0.0054770187254829395,0.00010643755891109798,0.0382466681916228,1.3578807824469494,3206428.5714285714,3240405.4054054054
Fos_Ctcf,1136,759,12752,15806,0.4560470232817785,0.06705229606894109,0.056176448819480425,0.000363570018963727,9.877673986374681e-05,1.1936015443840091,3207200.704225352,3241027.66798419
Fos_Ctnnb1-d4TCF,193,143,13368,16749,0.44530916494269857,0.011391807342698618,0.010583968618162978,1.0680083380213215e-05,0.5082771950379803,1.0763266364139932,3014922.279792746,3258881.118881119
Fos_Ctnnb1-wt,247,191,13320,16695,0.44550618986635143,0.014579152402313776,0.01413662941307083,2.462451715078487e-06,0.7714269031153643,1.0313032885217877,3086113.360323887,3351518.32460733
Fos_Dbp,85,53,13458,16857,0.4447180901717401,0.0050171172234683035,0.003922729627710754,4.7821907307734994e-05,0.16979190451718057,1.2789862416279294,3261176.470588235,3067358.4905660376
Fos_E2f6,165,134,13377,16777,0.44468525268446457,0.009739109904379649,0.009917844719117755,5.846702486964755e-07,0.9069063785582573,0.9819784620751749,3202909.090909091,3366716.417910448
Fos_Egr1,225,160,13351,16717,0.4458017272518307,0.013280604415063157,0.011842202649692843,2.965260652626131e-05,0.2784708920871073,1.1214640390744894,3344266.6666666665,3262312.5
Fos_Egr3,228,178,13333,16714,0.44530916494269857,0.013457679140597333,0.013174450447783287,1.0866610965533374e-06,0.8407659863392611,1.0214983307225314,3327368.4210526315,3317696.629213483
Fos_Egr4,123,91,13420,16819,0.4447180901717401,0.0072600637469011926,0.006735252757012805,7.049104489653332e-06,0.6290307905984525,1.077920014114088,3108536.5853658537,3286153.846153846
Fos_Elk1,104,85,13426,16838,0.4442912028371589,0.006138590485184748,0.006291170157649323,6.714513344245263e-07,0.8833943630574733,0.9757470122980132,3261634.6153846155,3462000
Fos_Elk3,104,85,13426,16838,0.4442912028371589,0.006138590485184748,0.006291170157649323,6.714513344245263e-07,0.8833943630574733,0.9757470122980132,3302596.153846154,3410117.6470588236
Fos_Elk4,95,78,13433,16847,0.44422552786260794,0.005607366308582221,0.005773073791725261,8.646125627814749e-07,0.8781391713410507,0.9712964896827486,3223263.1578947366,3576538.4615384615
Fos_Esrra,291,189,13322,16651,0.44701671428102324,0.017176248376815015,0.01398860187994967,0.0001176989414929247,0.02943454162415354,1.2278745598896703,3100103.092783505,3144444.4444444445
Fos_Esrrg,321,197,13314,16621,0.44773913900108364,0.01894699563215677,0.014580712012434313,0.00020552274492269262,0.0037039327874295717,1.2994561319089852,3113738.3177570095,3238934.010152284
Fos_Fos,243,153,13358,16699,0.4466226644337175,0.01434305276826821,0.011324106283768781,0.0001278243149311943,0.021907351411916742,1.2665946794253058,3061728.3950617285,3151960.7843137253
Fosl2_Arid5b,127,110,13401,16815,0.44422552786260794,0.0074961633809467595,0.00814151432166383,9.57605368331546e-06,0.5548637837028059,0.9207333039997424,3000708.6614173227,3320454.5454545454
Fosl2_Atf2,252,172,13339,16690,0.4462942895609628,0.014874276944870736,0.012730367848419806,6.000924887547554e-05,0.11541877649661028,1.1684090453613285,3182976.1904761903,3130290.697674419
Fosl2_Bach2,356,271,13240,16586,0.44645847699734015,0.021012867430055482,0.02005773073791725,8.069471360037245e-06,0.569850213534939,1.047619379510995,3158089.887640449,3365645.7564575644
Fosl2_Bcl6,136,94,13417,16806,0.4450464650444948,0.008027387557549287,0.006957294056694545,2.7367929047687235e-05,0.2875110040966806,1.1538088647877491,3200073.529411765,3332872.340425532
Fosl2_Bhlhe40,140,85,13426,16802,0.4454733523790759,0.008263487191594853,0.006291170157649323,9.568173775322333e-05,0.05063379121321447,1.3135055934780948,3364071.4285714286,3376941.1764705884
Fosl2_Bhlhe41,103,66,13445,16839,0.44488227760811744,0.006079565576673356,0.0048849085929982975,4.651013186503759e-05,0.18675972971370558,1.2445607652489956,3185242.718446602,3488181.8181818184
Fosl2_Ctcf,804,573,12938,16138,0.45125275013955934,0.047456026443159015,0.0424098882392125,0.00010548796839648933,0.037335489298867416,1.1189849446309275,3225597.0149253733,3281518.32460733
