Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Egr4_Bcl6,33,32,14535,16909,0.46234409216414357,0.0019478219808759297,0.0021967460698839843,5.384083086260299e-06,0.709045014772491,0.8866850873568647,3034545.4545454546,3054375
Egr4_Bhlhe40,45,30,14537,16897,0.46278840966073187,0.0026561208830126314,0.002059449440516235,2.7126115142922253e-05,0.29828638344879316,1.2897237634281669,3068666.6666666665,3261000
Egr4_Bhlhe41,32,18,14549,16910,0.46275667269668985,0.0018887970723645378,0.0012356696643097411,4.9143114245891366e-05,0.15771858670550137,1.5285614973963457,2938125,3098333.3333333335
Egr4_Ctcf,310,229,14338,16632,0.4648830492875052,0.01829772163853146,0.015720464062607263,7.116931429882942e-05,0.0813863889231086,1.1639428432685055,3112741.935483871,3367205.2401746726
Egr4_Ctnnb1-d4TCF,65,49,14518,16877,0.4628201466247739,0.0038366190532404675,0.003363767419509851,1.1166027165939157e-05,0.5110809313184866,1.1405720356847733,2980153.846153846,3219795.9183673467
Egr4_Ctnnb1-wt,70,65,14502,16872,0.46247104002031164,0.004131743595797426,0.004462140454451843,4.580547005195168e-06,0.6662063222549084,0.9259555224612478,3206142.8571428573,3398307.6923076925
Egr4_Dbp,18,21,14546,16924,0.4622171443079755,0.0010624483532050526,0.0014416146083613647,2.077445442267298e-05,0.42209313796482795,0.7369850076732382,3131666.6666666665,3357142.8571428573
Egr4_E2f6,45,30,14537,16897,0.46278840966073187,0.0026561208830126314,0.002059449440516235,2.7126115142922253e-05,0.29828638344879316,1.2897237634281669,3202666.6666666665,3263000
Egr4_Egr1,70,53,14514,16872,0.4628518835888159,0.004131743595797426,0.003638360678245349,1.1268695772086255e-05,0.5262990196164304,1.1356058294336058,3158571.4285714286,3323207.547169811
Egr4_Egr3,73,53,14514,16869,0.46294709448094196,0.004308818321331602,0.003638360678245349,2.034686042564661e-05,0.3713194219817612,1.1842746506950461,3123698.6301369863,3513962.2641509436
Egr4_Egr4,28,8,14559,16914,0.46294709448094196,0.0016526974383189706,0.0005491865174709961,0.00020516299052815478,0.003984799987798246,3.009355447999056,2905714.285714286,2906250
Elk1_Arid5b,41,24,14543,16901,0.4628518835888159,0.002420021248967064,0.0016475595524129882,5.278483991398228e-05,0.1370628363482079,1.468852063904301,3144146.3414634145,3276250
Elk1_Atf2,76,70,14497,16866,0.46250277698435366,0.004485893046865777,0.004805382027871216,3.962396045709832e-06,0.6784832413410795,0.9335143430527681,3308684.210526316,3395142.8571428573
Elk1_Bach2,132,104,14463,16810,0.4632009901932781,0.007791287923503719,0.007139424727122949,1.0275226812023718e-05,0.5130375117585301,1.0913047229007564,3092727.272727273,3304326.923076923
Elk1_Bcl6,38,25,14542,16904,0.46272493573264784,0.0022429465234328886,0.0017162078670968628,2.5172541082710276e-05,0.31407754311983427,1.3069200802738754,2707105.263157895,2594400
Elk1_Bhlhe40,38,37,14530,16904,0.46234409216414357,0.0022429465234328886,0.002539987643303357,6.646224115408866e-06,0.6432831498335814,0.8830541082931592,3251052.6315789474,3383513.5135135134
Elk1_Bhlhe41,31,26,14541,16911,0.46247104002031164,0.001829772163853146,0.0017848561817807372,2.004655334868731e-07,1.0,1.025165042724953,3344516.129032258,3330000
Elk1_Ctcf,322,233,14334,16620,0.4651369449998413,0.01900602054066816,0.01599505732134276,9.445912057475664e-05,0.04356163487448843,1.188243352857996,3287795.0310559007,3361931.330472103
Elk1_Ctnnb1-d4TCF,50,45,14522,16892,0.46247104002031164,0.0029512454255695903,0.003089174160774353,1.1336587407116683e-06,0.8373482051344343,0.955350935872716,3694200,3439333.3333333335
Elk1_Ctnnb1-wt,58,52,14515,16884,0.46250277698435366,0.0034234446936607247,0.0035697123635614744,1.1016504705323518e-06,0.848460786830697,0.9590253625491496,3071896.5517241377,3301153.846153846
Elk1_Dbp,28,16,14551,16914,0.4626931987686058,0.0016526974383189706,0.0010983730349419922,4.0182854872737204e-05,0.2264137815732777,1.504677723999528,3666428.5714285714,3654375
Elk1_E2f6,44,33,14534,16898,0.4626614618045638,0.0025970959745012395,0.002265394384567859,8.126964936536717e-06,0.569422212988173,1.1464211230472592,3210000,3321818.1818181816
Elk1_Egr1,38,44,14523,16904,0.46212193341584945,0.0022429465234328886,0.0030205258460904785,4.161086068299935e-05,0.18461440498260515,0.7425682274283384,3344210.5263157897,3349090.909090909
Elk1_Egr3,42,47,14520,16900,0.46215367037989147,0.002479046157478456,0.003226470790142102,3.5432305388763494e-05,0.2416047392942714,0.7683460718295462,3164285.714285714,3308297.8723404254
Elk1_Egr4,26,25,14542,16916,0.46234409216414357,0.001534647621296187,0.0017162078670968628,3.6494348425084554e-06,0.7789863892410784,0.8942084759768621,3468461.5384615385,3249600
Elk1_Elk1,8,11,14556,16934,0.4622171443079755,0.00047219926809113444,0.0007551314615226196,2.3755680421726644e-05,0.36097550868438966,0.6253206125712323,2647500,3826363.6363636362
Elk3_Arid5b,45,27,14540,16897,0.4628836205528579,0.0026561208830126314,0.0018535044964646118,5.138894545687455e-05,0.15574392426482378,1.433026403809074,3155333.3333333335,3238888.888888889
Elk3_Atf2,71,72,14495,16871,0.46228061823605954,0.004190768504308818,0.0049426786572389645,2.2372337153540867e-05,0.3552621458906574,0.8478739555870355,3345211.267605634,3386666.6666666665
Elk3_Bach2,129,106,14461,16813,0.463042305373068,0.007614213197969543,0.007276721356490698,2.7623703537172153e-06,0.7430733124480637,1.0463796571209656,3117906.976744186,3311603.7735849055
Elk3_Bcl6,37,25,14542,16905,0.4626931987686058,0.0021839216149214967,0.0017162078670968628,2.014225909469005e-05,0.37435211495646936,1.2725274465824576,2630270.2702702703,2848800
Elk3_Bhlhe40,40,38,14529,16902,0.4623758291281856,0.002360996340455672,0.0026086359579872314,4.4438484875638715e-06,0.7332912099030527,0.9050693076688888,3183000,3578684.210526316
Elk3_Bhlhe41,30,26,14541,16912,0.4624393030562696,0.0017707472553417543,0.0017848561817807372,2.0115547557297483e-08,1.0,0.9920952026370514,3396000,3513461.5384615385
