Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,27,21,12862,13484,0.4883306812154278,0.0019983716971356674,0.0016300551113870992,1.351385116967179e-05,0.5638136061231952,1.2259534559142287,3375555.5555555555,3200000
Atf2_Arid5b,82,85,12798,13429,0.48798969462756686,0.0060691288579675816,0.006597842117519211,8.010578800937002e-06,0.6414156204591368,0.9198657303199571,3216585.3658536584,3147176.470588235
Atf2_Atf2,71,100,12783,13440,0.48700462226263547,0.005254977425801199,0.007762167197081425,0.0001765738193394784,0.011332604735996997,0.6769987417659684,3151267.6056338027,3449700
Bach2_Arid5b,138,168,12715,13373,0.48696673486398423,0.010213899785360078,0.013040440891096794,0.00012572780338959352,0.03331719863962542,0.783248041278535,3253913.0434782607,3288392.8571428573
Bach2_Atf2,248,286,12597,13263,0.48666363567477455,0.018355414107023908,0.022199798183652877,0.00013437915275358106,0.028698702774779893,0.8268279718209405,3072822.580645161,3251328.6713286713
Bach2_Bach2,235,257,12626,13276,0.4872698340531939,0.017393235141736362,0.019948769696499263,6.432570451119293e-05,0.13298794833930416,0.8718951296925663,3182808.510638298,3267782.101167315
Bcl6_Arid5b,46,48,12835,13465,0.4880275820262181,0.0034046332617866924,0.0037258402545990842,5.23808464063507e-06,0.6804028746938405,0.913789381491624,3198913.0434782607,3400000
Bcl6_Atf2,80,87,12796,13431,0.487838145032962,0.005921101324846421,0.00675308546146084,1.983694507194135e-05,0.43754331081018555,0.8767994065286948,3212250,3269655.172413793
Bcl6_Bach2,143,161,12722,13368,0.48742138364779874,0.010583968618162978,0.012497089187301094,5.79313916318526e-05,0.14941016803805096,0.8469147062595879,3280069.93006993,3256211.1801242237
Bcl6_Bcl6,21,25,12858,13490,0.4879518072289157,0.0015542890977721857,0.0019405417992703563,1.5460092078794585e-05,0.4646551090586619,0.8009562578639627,3078571.4285714286,3547200
Bhlhe40_Arid5b,47,36,12847,13464,0.4885201182086838,0.0034786470283472725,0.002794380190949313,2.7020521857713722e-05,0.32519056613324204,1.2448724907277198,3559787.234042553,3009166.6666666665
Bhlhe40_Atf2,77,85,12798,13434,0.48780025763431084,0.005699060025164681,0.006597842117519211,2.386138660553233e-05,0.38594436054068876,0.8637763565199599,3333116.883116883,3342705.882352941
Bhlhe40_Bach2,132,134,12749,13379,0.4880275820262181,0.009769817185996595,0.01040130404408911,7.201891486062137e-06,0.622272377243824,0.9392877224417473,3409545.4545454546,3401641.7910447763
Bhlhe40_Bcl6,50,44,12839,13461,0.4883306812154278,0.0037006883280290134,0.003415353566715827,4.138718479781197e-06,0.7567848461284634,1.0835447211363132,3489600,3467727.272727273
Bhlhe40_Bhlhe40,27,17,12866,13484,0.48848223081003256,0.0019983716971356674,0.0013195684235038424,5.041597458189679e-05,0.2269160723223932,1.5144130925999295,3348888.888888889,3603529.411764706
Bhlhe41_Arid5b,31,31,12852,13480,0.4881033568235205,0.0022944267633779884,0.002406271831095242,9.617993948001988e-07,0.8991305642635926,0.9535193545999556,3143225.806451613,3004838.709677419
