Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,27,50,29775,13484,0.6876961417758907,0.0019983716971356674,0.0016764459346186086,8.855206990084899e-06,0.46163387136758427,1.1920287173414257,3375555.5555555555,2920200
Atf2_Arid5b,82,195,29630,13429,0.6856193465017537,0.0060691288579675816,0.006538139145012573,5.4116406334372286e-06,0.6030066086737554,0.9282654778917083,3216585.3658536584,3090615.3846153845
Atf2_Atf2,71,196,29629,13440,0.6853424404652021,0.005254977425801199,0.006571668063704945,4.51194245942501e-05,0.11174912371248771,0.7996413353291876,3151267.6056338027,3363214.285714286
Bach2_Arid5b,138,358,29467,13373,0.6831502676758353,0.010213899785360078,0.012003352891869237,4.472099452129501e-05,0.10779895135589397,0.8509205617272747,3253913.0434782607,3231703.910614525
Bach2_Atf2,248,659,29166,13263,0.6787428465940557,0.018355414107023908,0.02209555741827326,0.00010819084383082919,0.012391646201422982,0.8307287188801032,3072822.580645161,3230986.342943854
Bach2_Bach2,235,590,29235,13276,0.6800350747646299,0.017393235141736362,0.01978206202849958,4.80719875665149e-05,0.09501700682362009,0.8792427764445543,3182808.510638298,3218237.2881355933
Bcl6_Arid5b,46,114,29711,13465,0.6866577441388222,0.0034046332617866924,0.0038222967309304275,7.449726078678168e-06,0.5499939834882701,0.8907297108139307,3198913.0434782607,3207894.736842105
Bcl6_Atf2,80,212,29613,13431,0.6851809119438804,0.005921101324846421,0.0071081307627829,3.3365967887837196e-05,0.18299107913048973,0.833003995346908,3212250,3378254.716981132
Bcl6_Bach2,143,375,29450,13368,0.6828733616392837,0.010583968618162978,0.012573344509639563,5.302680451231556e-05,0.07768844376934314,0.8417783040978956,3280069.93006993,3250800
Bcl6_Bcl6,21,60,29765,13490,0.6873269337271553,0.0015542890977721857,0.00201173512154233,1.7960847959028105e-05,0.33852210506808045,0.7726112056842573,3078571.4285714286,3323000
Bhlhe40_Arid5b,47,85,29740,13464,0.6873500092302012,0.0034786470283472725,0.0028499580888516345,1.9673055394040916e-05,0.3004091458815517,1.2205958543583224,3559787.234042553,3061411.7647058824
Bhlhe40_Atf2,77,196,29629,13434,0.685480893483478,0.005699060025164681,0.006571668063704945,1.917476100263618e-05,0.3254873987464629,0.8672166594415134,3333116.883116883,3167295.9183673467
Bhlhe40_Bach2,132,317,29508,13379,0.6839579102824441,0.009769817185996595,0.010628667225481978,1.125385850347417e-05,0.44246915123264585,0.9191949450231812,3409545.4545454546,3301987.38170347
Bhlhe40_Bcl6,50,106,29719,13461,0.6869346501753738,0.0037006883280290134,0.00355406538139145,9.230686509641498e-07,0.7957139185978002,1.041254994183635,3489600,3114622.6415094337
Bhlhe40_Bhlhe40,27,46,29779,13484,0.6877884437880746,0.0019983716971356674,0.0015423302598491198,1.856853795796946e-05,0.31160947197784106,1.295683388414593,3348888.888888889,3108260.8695652173
Bhlhe41_Arid5b,31,66,29759,13480,0.6874192357393392,0.0022944267633779884,0.002212908633696563,4.58482264797163e-07,0.912663509868558,1.0368375487537653,3143225.806451613,3025000
Bhlhe41_Atf2,43,138,29687,13468,0.6860347055565811,0.0031825919621049515,0.00462699077954736,8.162526476165497e-05,0.03003302192102389,0.6878319222447838,3136046.511627907,3300652.1739130435
Bhlhe41_Bach2,80,217,29608,13431,0.6850655344286506,0.005921101324846421,0.007275775356244761,4.286317384025445e-05,0.11643661736429223,0.8138103549011267,3346875,3277465.4377880185
Bhlhe41_Bcl6,34,74,29751,13477,0.6873038582241093,0.0025164680630597293,0.0024811399832355406,7.757066541186353e-08,0.9176099440326935,1.0142386483886003,3389117.6470588236,3093648.6486486485
Bhlhe41_Bhlhe40,25,50,29775,13486,0.6876499907697988,0.0018503441640145067,0.0016764459346186086,2.6766889550155007e-06,0.7086420270002818,1.1037302938346532,3602400,3328200
Bhlhe41_Bhlhe41,8,26,29799,13503,0.6878115192911205,0.0005921101324846421,0.0008717518860016765,1.6263928409018043e-05,0.458698017137378,0.6792186423597866,3472500,3201923.076923077
Ctcf_Arid5b,288,662,29163,13223,0.6795966402067565,0.021315964769447117,0.02219614417435038,5.620613784139417e-06,0.5712233240370301,0.9603453916144414,3438750,3303172.2054380663
Ctcf_Atf2,515,1420,28405,12996,0.6673435480893484,0.03811708977869884,0.047611064543168484,0.00033628123669215276,7.73774150610206e-06,0.8005931004575302,3130427.1844660193,3239809.8591549294
Ctcf_Bach2,924,2267,27558,12587,0.6572364777552151,0.06838872030197617,0.07601005867560771,0.0001334569291756016,0.004811269057568738,0.8997325024289542,3276850.649350649,3244922.805469784
Ctcf_Bcl6,311,765,29060,13200,0.6777505999630792,0.023018281400340464,0.02564962279966471,4.486497368230702e-05,0.10965053339317071,0.8974120820459534,3335594.8553054663,3326627.4509803923
Ctcf_Bhlhe40,278,721,29104,13233,0.6780044304965849,0.020575827103841315,0.024174350377200334,9.083271181463404e-05,0.020606496849363536,0.8511429172982903,3289640.287769784,3319930.6518723993
Ctcf_Bhlhe41,206,511,29314,13305,0.6811888499169282,0.015246835911479534,0.017133277451802178,3.4354414661820834e-05,0.16686932710701508,0.8898960490408555,3238834.9514563107,3447534.2465753425
Ctcf_Ctcf,1082,2546,27279,12429,0.6544443418866531,0.08008289541854785,0.08536462699077954,5.670591755013721e-05,0.06655934533245045,0.9381273982160997,3292902.0332717192,3313032.207384132
Ctnnb1-d4TCF_Arid5b,51,145,29680,13460,0.6860577810596271,0.0037747020945895935,0.004861693210393965,4.1990703133903094e-05,0.12268977227286704,0.7764171722147216,3568823.529411765,3135724.1379310344
Ctnnb1-d4TCF_Atf2,105,273,29552,13406,0.6843501938342256,0.007771445488860928,0.009153394803017603,3.491433494382228e-05,0.16325527759097322,0.8490233029497333,3266285.714285714,3200109.89010989
Ctnnb1-d4TCF_Bach2,197,426,29399,13314,0.6829425881484217,0.014580712012434313,0.014283319362950546,9.63658827358646e-07,0.8275947175051899,1.0208209759879188,3355736.040609137,3174084.5070422534
Ctnnb1-d4TCF_Bcl6,85,153,29672,13426,0.6866577441388222,0.006291170157649323,0.005129924559932942,3.729991675184216e-05,0.14045480094341528,1.2263669931496148,3398117.6470588236,3257843.137254902
Ctnnb1-d4TCF_Bhlhe40,53,109,29716,13458,0.6869346501753738,0.003922729627710754,0.0036546521374685665,2.9608392216350955e-06,0.6714762424414769,1.073352395839204,3245660.3773584906,3395504.5871559633
Ctnnb1-d4TCF_Bhlhe41,47,74,29751,13464,0.6876038397637069,0.0034786470283472725,0.0024811399832355406,5.321199063602856e-05,0.07660296448007592,1.4020357786548299,3099574.4680851065,3275270.2702702703
Ctnnb1-d4TCF_Ctcf,396,894,28931,13115,0.6767352778290566,0.029309451557989787,0.02997485331098072,2.379346901938001e-06,0.7143911978375892,0.9778013341353976,3351515.1515151514,3281107.3825503355
Ctnnb1-d4TCF_Ctnnb1-d4TCF,38,101,29724,13473,0.686773121654052,0.0028125231293020503,0.0033864207879295894,1.633377328222156e-05,0.3596917456929956,0.8305297260537985,3314210.5263157897,3100099.00990099
Ctnnb1-wt_Arid5b,77,160,29665,13434,0.6863116115931327,0.005699060025164681,0.005364626990779548,3.159241726789601e-06,0.6732948363216396,1.0623404078158538,3249350.649350649,3129000
Ctnnb1-wt_Atf2,121,302,29523,13390,0.684050212294628,0.008955665753830212,0.010125733445096395,2.2269164183311152e-05,0.2681019050468681,0.8844461294966426,3219421.487603306,3276953.642384106
Ctnnb1-wt_Bach2,216,548,29277,13295,0.6805658113346871,0.01598697357708534,0.01837384744341995,5.182277228257641e-05,0.08297763169316318,0.8700939542638144,3284305.5555555555,3067226.277372263
Ctnnb1-wt_Bcl6,57,167,29658,13454,0.6856885730108916,0.004218784693953075,0.0055993294216261525,5.954899358336183e-05,0.07037391607522071,0.7534446317194639,3023157.8947368423,3218263.473053892
Ctnnb1-wt_Bhlhe40,82,137,29688,13429,0.6869577256784198,0.0060691288579675816,0.004593461860854987,6.489688903875412e-05,0.048270631313870334,1.3212537824006068,3118902.43902439,3433138.686131387
Ctnnb1-wt_Bhlhe41,55,99,29726,13456,0.6872115562119254,0.004070757160831915,0.003319362950544845,2.4087128444842763e-05,0.22340499944287112,1.2263669931496148,3039818.1818181816,3207272.727272727
Ctnnb1-wt_Ctcf,512,1125,28700,12999,0.6740815949787705,0.0378950484790171,0.037720033528918694,1.3036059995363836e-07,0.9349767737739864,1.0046398407881643,3172031.25,3247680
Ctnnb1-wt_Ctnnb1-d4TCF,87,207,29618,13424,0.6854578179804319,0.006439197690770483,0.006940486169321039,5.8273564355337815e-06,0.6133307907501386,0.9277732904697086,3097586.206896552,3184927.5362318843
Ctnnb1-wt_Ctnnb1-wt,50,139,29686,13461,0.686173158574857,0.0037006883280290134,0.004660519698239732,3.384436503924525e-05,0.1808101450569787,0.7940505711040671,3183000,2993525.179856115
Dbp_Arid5b,18,63,29762,13493,0.6871884807088795,0.0013322477980904448,0.0021123218776194466,5.374410651198336e-05,0.0925182442079531,0.6307030250483733,3616666.6666666665,3398095.238095238
Dbp_Atf2,39,114,29711,13472,0.6864962156175005,0.0028865368958626305,0.0038222967309304275,3.9979037469876477e-05,0.13752800933561604,0.7551838852552891,2916923.076923077,3200263.1578947366
Dbp_Bach2,75,199,29626,13436,0.6853655159682481,0.0055510324920435205,0.006672254819782062,3.1717011533790966e-05,0.19064485593340375,0.8319575079155678,3196000,3130703.5175879397
Dbp_Bcl6,26,60,29765,13485,0.6874423112423851,0.001924357930575087,0.00201173512154233,6.000157848483779e-07,0.9076286222327277,0.9565662546566995,3133846.153846154,3196000
Dbp_Bhlhe40,28,50,29775,13483,0.6877192172789367,0.0020723854636962476,0.0016764459346186086,1.3169274444194091e-05,0.3920334311984066,1.2361779290948116,3383571.4285714286,3429000
Dbp_Bhlhe41,15,36,29789,13496,0.6877422927819826,0.001110206498408704,0.0012070410729253982,1.2479572017406234e-06,0.8803052968687446,0.919775244862211,3298000,3330833.3333333335
Dbp_Ctcf,176,420,29405,13335,0.6825964556027322,0.013026422914662127,0.014082145850796313,1.2843693209446672e-05,0.3977714756570484,0.9250311034042807,3295056.8181818184,3319428.5714285714
Dbp_Ctnnb1-d4TCF,42,68,29757,13469,0.6876269152667528,0.0031085781955443714,0.0022799664710813077,4.0496607886476074e-05,0.12204014264022549,1.363431539442807,3027857.1428571427,3265588.2352941176
Dbp_Ctnnb1-wt,48,109,29716,13463,0.686819272660144,0.0035526607949078527,0.0036546521374685665,4.476239683051837e-07,0.9312966153244899,0.9720927358543735,3046875,3178623.853211009
Dbp_Dbp,10,26,29799,13501,0.6878576702972125,0.0007401376656058027,0.0008717518860016765,3.299463300569035e-06,0.7226233462765046,0.8490233029497333,3066000,3151153.846153846
E2f6_Arid5b,46,102,29723,13465,0.6869346501753738,0.0034046332617866924,0.0034199497066219613,1.0674502589572837e-08,1.0,0.9955214414979225,3298695.652173913,3093823.529411765
E2f6_Atf2,84,179,29646,13427,0.6860347055565811,0.006217156391088743,0.006001676445934618,1.1862328637051237e-06,0.7896308354916319,1.0359032925375518,3241785.714285714,3258603.351955307
E2f6_Bach2,145,323,29502,13366,0.6841194388037659,0.010731996151284139,0.010829840737636211,1.3886641054769444e-07,0.9600067706540121,0.9909652792942707,3131793.103448276,3123622.2910216716
E2f6_Bcl6,57,114,29711,13454,0.6869115746723279,0.004218784693953075,0.0038222967309304275,6.116589671614509e-06,0.5627318827618267,1.1037302938346532,3590526.3157894737,3053157.8947368423
E2f6_Bhlhe40,35,102,29723,13476,0.6866808196418682,0.0025904818296203095,0.0034199497066219613,3.50540315894746e-05,0.16635816829268646,0.757461966357115,3141428.5714285714,3125000
E2f6_Bhlhe41,24,79,29746,13487,0.6869577256784198,0.0017763303974539263,0.0026487845766974016,5.2431321426814554e-05,0.08881460957574969,0.6706209380261183,3041250,3148860.759493671
E2f6_Ctcf,336,777,29048,13175,0.6780505815026767,0.02486862556435497,0.026051969823973176,8.711286828982229e-06,0.4912505830529672,0.954577551424565,3467053.5714285714,3255907.335907336
E2f6_Ctnnb1-d4TCF,64,124,29701,13447,0.68684234816319,0.004736881059877137,0.0041575859178541496,1.1836720224913874e-05,0.3866983706264283,1.1393344968615775,3397500,3107419.35483871
E2f6_Ctnnb1-wt,91,153,29672,13420,0.686796197157098,0.006735252757012805,0.005129924559932942,6.902135254580315e-05,0.04421046281668163,1.3129340750189993,3421978.021978022,3228823.529411765
E2f6_Dbp,30,48,29777,13481,0.6878115192911205,0.002220412996817408,0.0016093880972338642,3.099282666269238e-05,0.17842047379580883,1.3796628672933164,3372000,3311250
E2f6_E2f6,30,59,29766,13481,0.6875576887576149,0.002220412996817408,0.001978206202849958,4.3684350467365195e-06,0.6469374357087494,1.1224375869504948,3762000,3144406.779661017
Egr1_Arid5b,48,118,29707,13463,0.6866115931327303,0.0035526607949078527,0.003956412405699916,6.703916056680862e-06,0.5577514638140467,0.8979500695603959,3258125,3186864.406779661
Egr1_Atf2,97,267,29558,13414,0.6843040428281336,0.007179335356376286,0.00895222129086337,6.0110212387685935e-05,0.06098713536636678,0.8019613370933436,2681443.2989690723,3235955.0561797754
Egr1_Bach2,199,437,29388,13312,0.6827349086210079,0.014728739545555473,0.01465213746856664,6.276665383275759e-08,0.9656098065220295,1.0052280479317894,3276331.658291457,3279816.9336384437
Egr1_Bcl6,56,146,29679,13455,0.6861500830718109,0.004144770927392495,0.004895222129086337,1.919664897513315e-05,0.32233839607233494,0.8466972117087751,3709821.4285714286,3082191.7808219176
Egr1_Bhlhe40,49,157,29668,13462,0.6857347240169835,0.0036266745614684332,0.0052640402347024304,9.219187914961046e-05,0.023455605322299344,0.6889526674891467,3311632.6530612246,3310700.6369426753
Egr1_Bhlhe41,39,112,29713,13472,0.6865423666235924,0.0028865368958626305,0.0037552388935456833,3.4824238370100274e-05,0.16026441849474599,0.7686693117777049,3266923.076923077,3429107.1428571427
Egr1_Ctcf,396,1035,28790,13115,0.6734816318995754,0.029309451557989787,0.034702430846605195,0.00014400271361282233,0.0036940986436498242,0.8445936161517347,3253106.0606060605,3295478.2608695654
Egr1_Ctnnb1-d4TCF,80,171,29654,13431,0.686127007568765,0.005921101324846421,0.005733445096395641,9.427713907293744e-07,0.8376044307025039,1.0327300994944124,3251625,3249298.245614035
Egr1_Ctnnb1-wt,94,210,29615,13417,0.6855501199926158,0.006957294056694545,0.007041072925398156,1.5619452166989317e-07,0.9505297855558017,0.9881014059091181,3061595.744680851,3242428.5714285714
Egr1_Dbp,40,74,29751,13471,0.6874423112423851,0.0029605506624232106,0.0024811399832355406,1.3274507000350742e-05,0.3636807632409246,1.1932219392807062,3090000,3400945.945945946
Egr1_E2f6,67,156,29669,13444,0.686173158574857,0.004958922359558878,0.005230511316010059,2.245163613716003e-06,0.7719890644313645,0.9480760216272021,3529701.4925373136,3225000
Egr1_Egr1,39,102,29723,13472,0.686773121654052,0.0028865368958626305,0.0034199497066219613,1.3881041657608662e-05,0.41268678988832014,0.8440290482264996,3126923.076923077,3577941.1764705884
Egr3_Arid5b,49,130,29695,13462,0.6863577625992247,0.0036266745614684332,0.0043587594300083824,2.0653274481074405e-05,0.2936766563598592,0.8320428368907385,3146938.775510204,3358384.6153846155
Egr3_Atf2,85,263,29562,13426,0.6841194388037659,0.006291170157649323,0.00881810561609388,0.0001297527669400474,0.006243080507629988,0.713437832516696,2848588.2352941176,3368555.133079848
Egr3_Bach2,189,444,29381,13322,0.6823426250692265,0.01398860187994967,0.014886839899413244,8.744196958909017e-06,0.4893831200999895,0.9396622771835561,3227619.0476190476,3362297.2972972975
Egr3_Bcl6,57,156,29669,13454,0.6859424035443973,0.004218784693953075,0.005230511316010059,3.331332313964274e-05,0.18188070044170365,0.8065721378022466,3592631.5789473685,3115961.5384615385
Egr3_Bhlhe40,55,151,29674,13456,0.6860116300535352,0.004070757160831915,0.0050628667225481976,3.313137455664833e-05,0.17510021988924762,0.8040419359060389,3282545.4545454546,3353046.357615894
Egr3_Bhlhe41,43,104,29721,13468,0.686819272660144,0.0031825919621049515,0.003487007544006706,4.292539386615592e-06,0.6563027762940243,0.9127000506709633,3484883.7209302327,3478557.6923076925
Egr3_Ctcf,389,1066,28759,13122,0.6726047627838286,0.028791355192065726,0.03574182732606873,0.00023683391839623286,0.00018048984384253246,0.8055367435303568,3264215.938303342,3366951.2195121953
Egr3_Ctnnb1-d4TCF,71,174,29651,13440,0.6858501015322134,0.005254977425801199,0.005834031852472758,9.355983185755853e-06,0.4894927257898433,0.9007454122098894,3151690.1408450706,3285000
Egr3_Ctnnb1-wt,88,218,29607,13423,0.6852270629499723,0.006513211457331063,0.007309304274937133,1.4198416240834323e-05,0.38611554348531907,0.891085007866509,3002727.272727273,3307844.0366972475
Egr3_Dbp,35,81,29744,13476,0.6871654052058335,0.0025904818296203095,0.0027158424140821457,9.166146538708807e-07,0.920083331825061,0.9538409946719226,3148285.714285714,3405555.5555555555
Egr3_E2f6,84,161,29664,13427,0.6864500646114086,0.006217156391088743,0.00539815590947192,1.8156299140857125e-05,0.29975983153915303,1.1517185674796382,3429285.714285714,3248385.0931677017
Egr3_Egr1,61,165,29660,13450,0.6858270260291675,0.004514839760195397,0.005532271584241408,3.171120462800402e-05,0.19486453606183957,0.8160914899868347,3383606.5573770492,3499636.3636363638
Egr3_Egr3,34,111,29714,13477,0.6864500646114086,0.0025164680630597293,0.003721709974853311,7.105858660592327e-05,0.04791261279985857,0.6761590989257336,3548823.529411765,3562432.4324324327
Egr4_Arid5b,26,76,29749,13485,0.6870731031936497,0.001924357930575087,0.002548197820620285,2.6622401223895704e-05,0.23970393150608732,0.755183885255289,2837307.6923076925,3276710.5263157897
Egr4_Atf2,62,140,29685,13449,0.6864269891083625,0.004588853526755977,0.004694048616932104,3.7022682542169755e-07,0.9393592257562556,0.9775896888249788,3019838.709677419,3163928.5714285714
Egr4_Bach2,114,238,29587,13397,0.6853655159682481,0.00843756938790615,0.007979882648784577,3.996901546457314e-06,0.6440006556448479,1.0573550714046258,3445000,3151008.4033613447
Klf3_Bhlhe41,167,411,29414,13344,0.6825964556027322,0.012360299015616905,0.013780385582564962,2.4048040009685273e-05,0.24013699691106133,0.8969487059386233,3198862.275449102,3341094.890510949
Klf3_Ctcf,1564,3881,25944,11947,0.6347609377884438,0.11575753090074754,0.1301257334450964,0.0002946403140417081,2.7473122702931826e-05,0.8895821590092232,3295933.503836317,3292401.4429270807
Klf3_Ctnnb1-d4TCF,288,704,29121,13223,0.6786274690788259,0.021315964769447117,0.023604358759430007,3.670428922909058e-05,0.14535820073213207,0.903052058591989,3418750,3233352.272727273
Klf3_Ctnnb1-wt,414,914,28911,13097,0.6766891268229648,0.03064169935608023,0.030645431684828164,7.25852572491803e-11,1.0,0.9998782092944123,3145289.855072464,3214628.0087527353
Klf3_Dbp,130,340,29485,13381,0.683381022706295,0.009621789652875435,0.011399832355406538,4.6617452176765314e-05,0.09876612185397579,0.8440290482264995,3206538.4615384615,3300970.588235294
Klf3_E2f6,279,628,29197,13232,0.6801735277829056,0.020649840870401896,0.021056160938809722,1.2500364059524205e-06,0.7999259895412798,0.98070303178302,3267526.88172043,3237277.0700636944
Klf3_Egr1,307,817,29008,13204,0.6764583717925051,0.022722226334098143,0.027393126571668064,0.00013687183692151841,0.0045196971313718175,0.8294864142160062,3236872.964169381,3321627.906976744
Klf3_Egr3,316,836,28989,13195,0.6762276167620455,0.023388350233143364,0.028030176026823134,0.00013187103341810377,0.0055431476571477165,0.8343989781142355,3337974.6835443038,3329174.6411483255
Klf3_Egr4,185,450,29375,13326,0.6821118700387668,0.01369254681370735,0.015088013411567477,2.113287321345303e-05,0.28064971151201723,0.9075115749307149,3271297.2972972975,3274133.3333333335
Klf3_Elk1,183,444,29381,13328,0.6822041720509507,0.01354451928058619,0.014886839899413244,1.9793171115094904e-05,0.29732569680832854,0.9098317287015385,3220327.868852459,3239391.891891892
Klf3_Elk3,168,432,29393,13343,0.6821349455418129,0.012434312782177485,0.014484492875104778,4.858640616702513e-05,0.09187948654791256,0.8584568952047303,3268035.714285714,3234861.111111111
Klf3_Elk4,168,392,29433,13343,0.6830579656636515,0.012434312782177485,0.01314333612740989,6.142767390136458e-06,0.5816911018811557,0.94605453757256,3311607.1428571427,3189336.7346938774
Klf3_Esrra,387,1121,28704,13124,0.6712894591102087,0.028643327658944565,0.037585917854149206,0.00038152732524500063,1.944765041846041e-06,0.7620760458769149,3255271.3178294576,3240535.2363960748
Klf3_Esrrg,416,1186,28639,13095,0.6704587410005538,0.030789726889201393,0.039765297569153396,0.00036181515645100637,3.3477737188279206e-06,0.7742863444101447,3195504.8076923075,3226568.2967959526
Klf3_Fos,622,1559,28266,12889,0.6666051319918774,0.04603656280068093,0.052271584241408216,0.00012786312143459044,0.005926846675464374,0.8807187206737066,3293778.1350482316,3251545.862732521
Klf3_Fosl2,463,1188,28637,13048,0.6714971386376223,0.03426837391754867,0.039832355406538136,0.00013322432682545682,0.004845272012466761,0.8603150270125329,3314060.475161987,3228939.393939394
Klf3_Foxo4,237,592,29233,13274,0.6800350747646299,0.017541262674857522,0.019849119865884324,4.462661545313884e-05,0.11179205251614524,0.883729998779773,3169240.506329114,3290219.5945945946
Klf3_Hlf,315,753,29072,13196,0.6781198080118147,0.023314336466582784,0.025247275775356244,2.4297983395232814e-05,0.24175953746073897,0.9234396880688334,3330476.1904761903,3269521.912350598
Klf3_Hsf1,1195,2958,26867,12316,0.6475447664759092,0.08844645103989342,0.09917854149203688,0.00020847075173618945,0.00042560466813594696,0.891790196844091,3234828.4518828453,3258062.8803245435
Klf3_Irf2,259,667,29158,13252,0.6788120731031937,0.01916956553919029,0.022363788767812236,7.700980458702142e-05,0.03433175107157928,0.8571698533828342,3361274.131274131,3270044.9775112444
Klf3_Irf3,947,2285,27540,12564,0.6573518552704449,0.07009103693286951,0.0766135792120704,9.641266692005102e-05,0.016921181294241062,0.9148644098568198,3270475.1847940865,3270433.260393873
Klf3_Irf9,290,730,29095,13221,0.6780736570057228,0.021463992302568277,0.024476110645431686,6.211993605819907e-05,0.055494835905807005,0.8769363978412312,3335172.4137931033,3266178.0821917807
Klf3_Jun,614,1509,28316,12897,0.667574303119808,0.045444452668196286,0.050595138306789605,8.929717291838307e-05,0.021109616272552874,0.8981980124777695,3304641.693811075,3275666.003976143
Klf3_Junb,627,1421,28404,12884,0.6699049289274506,0.046406631633483825,0.047644593461860854,5.2849979569960515e-06,0.5908669601489394,0.9740167406535223,3273349.2822966506,3262061.928219564
Klf3_Klf15,2744,6630,23195,10767,0.5985554735093225,0.20309377544223225,0.22229673093042748,0.000339535826919507,6.513135885490724e-06,0.9136156640368895,3254464.285714286,3251914.027149321
Klf3_Klf3,691,1751,28074,12820,0.6637668451172235,0.05114351269336097,0.05870913663034367,0.00016942474787740025,0.0015173558918468977,0.8711337898797779,3318885.6729377713,3267806.967447173
