Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Irf9_Irf3,212,604,30905,13299,0.691181697023545,0.015690918510843015,0.019169126281379924,0.00010583044164279298,0.010944411832266986,0.8185515750962791,3387028.3018867923,3219685.430463576
Irf9_Irf9,36,82,31427,13475,0.6988671701466015,0.0026644955961808896,0.0026024310514456187,2.2256252541928354e-07,0.919983723764586,1.0238486797568738,3461666.6666666665,3354146.3414634145
Jun_Arid5b,130,327,31182,13381,0.6955131052865393,0.009621789652875435,0.010377987241740456,8.71049217818741e-06,0.5048625619085796,0.9271344653591805,3210461.5384615385,3131009.1743119266
Jun_Atf2,211,597,30912,13300,0.6913149711239449,0.015616904744282437,0.018946967533085786,9.785576442198143e-05,0.014655212647952049,0.8242429674834092,3134502.3696682462,3234020.1005025124
Jun_Bach2,350,971,30538,13161,0.6860950688582852,0.025904818296203093,0.030816592084801166,0.00013134838789253742,0.0045876988260954,0.8406126876365224,3273857.1428571427,3196158.59938208
Jun_Bcl6,124,333,31176,13387,0.6952465570857397,0.009177707053511954,0.010568409025992574,2.9726022842091818e-05,0.18260187251500687,0.868409524171496,3282822.580645161,3129009.009009009
Jun_Bhlhe40,113,302,31207,13398,0.6956908040870724,0.00836355562134557,0.009584563140689962,2.519312357836343e-05,0.2364370851229839,0.8726068677913165,3295752.2123893807,3232549.668874172
Jun_Bhlhe41,78,205,31304,13433,0.6970679697912039,0.005773073791725261,0.006506077628614047,1.324503369558045e-05,0.39781704307985133,0.8873355224559573,3451538.4615384615,3124975.6097560977
Jun_Ctcf,749,1992,29517,12762,0.672278987116837,0.05543631115387462,0.06322003237170332,0.0001632665621125462,0.0014587649531993578,0.8768788795920862,3332963.9519359143,3250888.5542168673
Jun_Ctnnb1-d4TCF,148,413,31096,13363,0.694002665482008,0.010954037450965879,0.013107366149354153,5.849984722154644e-05,0.06360877260530373,0.8357161405387019,3446351.3513513515,3217772.397094431
Jun_Ctnnb1-wt,176,477,31032,13335,0.693203020879609,0.013026422914662127,0.015138531848043417,4.8253841229540725e-05,0.09337809282224552,0.8604812570609831,3313125,3230251.572327044
Jun_Dbp,53,151,31358,13458,0.6977121279431364,0.003922729627710754,0.004792281570344981,2.610618828033026e-05,0.22110695024420152,0.8185515750962791,2990943.396226415,3129139.072847682
Jun_E2f6,127,296,31213,13384,0.6961350510884051,0.009399748353193694,0.009394141356437843,5.1173732786014e-10,1.0,1.000596861016149,3449055.1181102362,3259256.756756757
Jun_Egr1,166,389,31120,13345,0.6949355841848067,0.012286285249056325,0.012345679012345678,4.3925118452248224e-08,1.0,0.9951891051735624,3298012.048192771,3275321.3367609256
Jun_Egr3,169,378,31131,13342,0.6952465570857397,0.012508326548738066,0.011996572407883462,3.28804512019637e-06,0.6391764950147475,1.0426583630269517,3311005.917159763,3321825.396825397
Jun_Egr4,83,194,31315,13428,0.6974233673922701,0.0061431426245281626,0.00615697102415183,4.739527101511876e-09,1.0,0.997754025547721,3314457.8313253014,3142113.402061856
Jun_Elk1,101,174,31335,13410,0.6982674366948023,0.007475390422618607,0.005522231743311435,9.170866564394298e-05,0.01735206389883548,1.3536900967028143,3376039.6039603963,3402413.793103448
Jun_Elk3,101,176,31333,13410,0.6982230119946691,0.007475390422618607,0.005585705671395475,8.53402624569153e-05,0.021239177084181632,1.3383072546948276,3368316.831683168,3457159.090909091
Jun_Elk4,95,155,31354,13416,0.6985561972456686,0.007031307823255125,0.00491922942651306,0.00011717963534728891,0.006869340358323802,1.4293514722770693,3418421.052631579,3486387.0967741935
Jun_Esrra,185,536,30973,13326,0.6920924033762772,0.01369254681370735,0.01701101272652258,0.00010905525347555851,0.009843509610598176,0.8049224954348971,3194432.4324324327,3174682.8358208956
