Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Klf3_Bhlhe41,183,534,44486,12700,0.77144534825484,0.014204765970659007,0.011861394935584186,5.4241866945838046e-05,0.03757857769501251,1.1975628539308398,3491311.475409836,3230955.0561797754
Klf3_Ctcf,1620,5522,39498,11263,0.7101186467022435,0.1257471085927191,0.12265659706796979,1.0979017303527905e-05,0.34624728670890936,1.0251964557848992,3341648.1481481483,3270760.5939876856
Klf3_Ctnnb1-d4TCF,287,1066,43954,12596,0.764053675975338,0.02227741985562369,0.023678365171035096,1.0851254283149314e-05,0.3718820363629347,0.9408343732647078,3304808.362369338,3251031.894934334
Klf3_Ctnnb1-wt,433,1336,43684,12450,0.7619121634457627,0.03361018396336257,0.0296756996890271,6.37957261184624e-05,0.023528636918712178,1.132582696130676,3201270.207852194,3249363.7724550897
Klf3_Dbp,156,446,44574,12727,0.7724988342572924,0.012108980827447022,0.009906708129720124,5.673378383744612e-05,0.03402922387362631,1.2223011588602355,3417692.3076923075,3209663.677130045
Klf3_E2f6,261,906,44114,12622,0.7663678911282662,0.02025925638438252,0.02012438916037317,1.1479551394709409e-07,0.9150927774174915,1.0067016803806854,3252183.908045977,3201059.6026490065
Klf3_Egr1,364,1096,43924,12519,0.7648653783050965,0.028254288597376387,0.024344735673034208,7.556733479810451e-05,0.014096329095396546,1.1605913071659535,3327445.054945055,3302217.1532846717
Klf3_Egr3,360,1115,43905,12523,0.7644681622713849,0.02794380190949313,0.02476677032430031,4.965515677311794e-05,0.045720822997025304,1.1282779927940636,3336500,3350152.466367713
Klf3_Egr4,195,630,44390,12688,0.7699946462186761,0.015136226034308779,0.01399378054198134,1.1432342358851794e-05,0.33240687893457527,1.0816395175628275,3357230.769230769,3224047.619047619
Klf3_Elk1,194,630,44390,12689,0.7699773759563407,0.015058604362337965,0.01399378054198134,9.952711676331286e-06,0.37568204518853276,1.0760926482419924,3439793.81443299,3229619.0476190476
Klf3_Elk3,188,601,44419,12695,0.7703745919900523,0.01459287433051308,0.013349622390048867,1.4120646241226609e-05,0.28148970348639957,1.0931301203988333,3431170.212765957,3262163.06156406
Klf3_Elk4,169,571,44449,12714,0.7705645648757404,0.013118062563067608,0.012683251888049755,1.8584611737055418e-06,0.6890851006130575,1.0342822707343322,3354852.071005917,3285814.360770578
Klf3_Esrra,499,1491,43529,12384,0.7603751100979224,0.038733214313436314,0.03311861394935584,0.00011530609821790161,0.0023253084685246946,1.1695300525760581,3333006.0120240483,3204808.853118712
Klf3_Esrrg,522,1589,43431,12361,0.759079840422776,0.04051851276876504,0.03529542425588627,9.458148860645721e-05,0.00602257757554695,1.1479820294838277,3271839.0804597703,3204562.6179987416
Klf3_Fos,680,2304,42716,12203,0.7494603043020224,0.05278273694015369,0.05117725455353176,6.545079450914759e-06,0.4696232364548172,1.0313710143427601,3368117.6470588236,3216588.5416666665
Klf3_Fosl2,501,1728,43292,12382,0.7563165984491305,0.03888845765737794,0.03838294091514882,8.595424825265374e-07,0.7951192900436419,1.01317034938377,3351437.125748503,3205017.361111111
Klf3_Foxo4,248,857,44163,12635,0.7669896205723364,0.019250174648761935,0.019035984007107952,3.052051396508493e-07,0.8838726039219837,1.011251881782103,3398104.8387096776,3191971.9953325554
Klf3_Hlf,346,1054,43966,12537,0.7652798646011433,0.02685709850190173,0.02341181697023545,6.125911158677902e-05,0.02693506424555879,1.1471599379085542,3310578.034682081,3283121.442125237
Klf3_Hsf1,1227,4272,40748,11656,0.7249192615235825,0.09524179150818908,0.09489115948467348,1.783843998487411e-07,0.9050532687698285,1.0036950968395768,3313154.034229829,3233707.8651685393
Klf3_Irf2,283,947,44073,12600,0.7660397561438959,0.021966933167740434,0.021035095513105288,5.170936899452638e-06,0.5105062064152749,1.0442991881855062,3321731.448763251,3194920.802534319
Klf3_Irf3,978,3326,41694,11905,0.7369566343712761,0.07591399518745634,0.07387827632163482,7.481164447049882e-06,0.43492665421070115,1.0275550400899833,3304662.5766871166,3253394.467829224
Klf3_Irf9,332,989,44031,12551,0.7661606479802429,0.025770395094310332,0.021968014215904042,7.865447788113836e-05,0.012052411784060406,1.1730871457490912,3327198.795180723,3251526.7947421637
Klf3_Jun,686,2200,42820,12197,0.7513600331589037,0.053248466971978575,0.04886717014660151,4.9829267888219786e-05,0.045772172769894065,1.0896572650356706,3419212.827988338,3214404.5454545454
Klf3_Junb,633,2183,42837,12250,0.7507383037148334,0.04913451835752542,0.048489560195468684,1.1192881783084196e-06,0.762719412026765,1.013300969517084,3367867.298578199,3232414.1090242784
Klf3_Klf15,2793,9568,35452,10090,0.66050118301297,0.2167973298144842,0.21252776543758328,1.351161342022511e-05,0.30004942074714924,1.0200894427516807,3293415.6820622985,3240906.14548495
Klf3_Klf3,748,2437,42583,12135,0.7483377372502288,0.05806101063416906,0.05413149711239449,3.662098834805033e-05,0.08739077860763622,1.0725919978458314,3326229.946524064,3256384.8994665574
Klf8_Arid5b,606,2105,42915,12277,0.751619087093933,0.047038733214313434,0.04675699689027099,2.2171154073769017e-07,0.8871861024334168,1.0060255436144374,3296930.693069307,3230551.0688836104
Klf8_Atf2,1224,3968,41052,11659,0.7301176104865033,0.09500892649227664,0.08813860506441581,7.126593640968681e-05,0.01659099257181855,1.077949060151788,3285857.843137255,3236771.6733870967
Klf8_Bach2,1884,6708,38312,10999,0.6941954648291108,0.14623922999301406,0.14900044424700135,7.550442546355729e-06,0.43959081935708133,0.981468415963848,3248933.121019108,3218054.5617173524
Klf8_Bcl6,675,2205,42815,12208,0.7510837089615391,0.05239462858029962,0.0489782318969347,3.0454989133954502e-05,0.11812716440275217,1.0697533690181809,3356755.5555555555,3225183.673469388
Klf8_Bhlhe40,621,1885,43135,12262,0.7556775987427249,0.04820305829387565,0.04187027987561084,0.00011792409036312512,0.002139541074154202,1.151247577925879,3375990.3381642513,3224259.946949602
Klf8_Bhlhe41,420,1325,43695,12463,0.7618776229210922,0.032601102227741985,0.029431363838294092,4.2121505213960075e-05,0.06559931307625011,1.1076993375795805,3461928.5714285714,3225803.7735849055
Klf8_Ctcf,3766,12921,32099,9117,0.6193979586549919,0.2923232166420865,0.28700577521101733,1.7165408104258262e-05,0.24231848182691584,1.018527297672528,3311080.722251726,3262547.0164847923
Klf8_Ctnnb1-d4TCF,758,2822,42198,12125,0.741861388874497,0.058837227353877204,0.06268325188804975,3.217338832577077e-05,0.11488370701330403,0.9386435065455534,3295963.060686016,3214985.8256555633
Klf8_Ctnnb1-wt,1020,3372,41648,11863,0.736887553321935,0.07917410541023054,0.07490004442470014,3.22157255041311e-05,0.10871896725028425,1.057063530714288,3141382.3529411764,3259875.4448398575
Klf8_Dbp,382,1194,43826,12501,0.7634837573182737,0.029651478692851042,0.02652154597956464,4.526096144291669e-05,0.05691863012987605,1.1180147158728257,3266387.4345549736,3218869.3467336684
Klf8_E2f6,618,2120,42900,12265,0.7515672763069271,0.04797019327796321,0.047090182141270545,2.1381311752083354e-06,0.6718636209240776,1.0186877836669357,3194417.475728155,3231056.603773585
Klf8_Egr1,855,2783,42237,12028,0.7442101445520958,0.06636652953504618,0.06181697023545091,4.33340052141476e-05,0.061015383820044275,1.073597254641674,3352245.6140350876,3267455.9827524256
Klf8_Egr3,817,2702,42318,12066,0.744952765832513,0.06341690600015525,0.06001776988005331,2.5020211913438783e-05,0.15507162991701606,1.0566354952357473,3391689.106487148,3303730.5699481866
Klf8_Egr4,451,1506,43514,12432,0.7592870835707994,0.03500737405883723,0.033451799200355396,9.172252382727564e-06,0.3914375976303926,1.0465019788372192,3304523.2815964525,3192390.438247012
Klf8_Elk1,465,1454,43566,12418,0.7604269208849282,0.03609407746642863,0.03229675699689027,5.5059068033262715e-05,0.03628715245878848,1.1175759061476045,3401548.3870967743,3258940.8528198074
Klf8_Elk3,459,1461,43559,12424,0.7602024074745696,0.03562834743460374,0.032452243447356734,3.8619255734555213e-05,0.07873857579191657,1.0978700900108558,3405424.836601307,3273572.8952772073
Klf8_Elk4,406,1353,43667,12477,0.7611522719030102,0.031514398820150585,0.03005330964015993,8.967448024702757e-06,0.39856901746510504,1.0486165815840203,3347438.4236453203,3273569.844789357
Klf8_Esrra,1143,3501,41519,11740,0.7367839317479232,0.08872157106264068,0.0777654375832963,0.00019862633876752134,6.533824600772557e-05,1.1408869263753454,3253412.073490814,3224858.611825193
Klf8_Esrrg,1238,3761,41259,11645,0.7339343384626013,0.09609562989986804,0.08354064860062195,0.00024364852579841778,1.0187215797470424e-05,1.1502858968604253,3194781.9063004847,3218391.385269875
Klf8_Fos,1697,5857,39163,11186,0.7056629190197399,0.13172397733447178,0.1300977343402932,2.9035055673504173e-06,0.6350327766138879,1.012500163837787,3283134.9440188566,3207085.538671675
Klf8_Fosl2,1265,4321,40699,11618,0.7247292886378944,0.09819141504308003,0.09597956463793869,6.9775450694392616e-06,0.45654694401178886,1.0230450139410932,3266347.8260869565,3202161.536681324
