Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Egr4_Bcl6,40,65,31444,12843,0.7092268877275185,0.00310486687883257,0.002062902662731283,6.488781041170911e-05,0.051903821578875714,1.5050961613097762,3364500,3044307.6923076925
Egr4_Bhlhe40,46,75,31434,12837,0.7091367814020544,0.0035705969106574554,0.0023802723031514806,7.353994413442566e-05,0.03474977422176509,1.50007917410541,3284347.8260869565,3145600
Egr4_Bhlhe41,26,50,31459,12857,0.7092494143088844,0.0020181634712411706,0.001586848202100987,1.5664457337758028e-05,0.3137700190792456,1.271806256306761,3305769.230769231,2995800
Egr4_Ctcf,213,539,30970,12670,0.7024463867363488,0.016533416129783436,0.01710622361864864,2.941413735101095e-06,0.685544705883407,0.9665146731601972,3432957.7464788733,3220853.4322820036
Egr4_Ctnnb1-d4TCF,38,114,31395,12845,0.7080780320778519,0.0029496235348909416,0.0036180139007902503,2.0033761053972043e-05,0.32457148091976284,0.8152604207094621,3128684.210526316,3083157.8947368423
Egr4_Ctnnb1-wt,52,135,31374,12831,0.7079203460082898,0.004036326942482341,0.004284490145672665,2.1999032754856963e-06,0.7473479565053679,0.9420787083753784,3238846.153846154,3298666.6666666665
Egr4_Dbp,17,39,31470,12866,0.7092944674716165,0.0013195684235038424,0.00123774159763877,7.827165783118317e-07,0.8829241792403166,1.0661097809277582,3225882.3529411764,3253076.923076923
Egr4_E2f6,42,75,31434,12841,0.7090466750765904,0.0032601102227741985,0.0023802723031514806,4.199561378721416e-05,0.10335705662306113,1.3696375067918962,3165714.285714286,3226800
Egr4_Egr1,44,123,31386,12839,0.7080104523337538,0.003415353566715827,0.0039036465771684283,9.63467434014504e-06,0.49463156788885376,0.8749136222247885,3683863.6363636362,3229512.1951219514
Egr4_Egr3,40,126,31383,12843,0.7078527662641918,0.00310486687883257,0.003998857469294488,3.306648861491762e-05,0.17108105540858282,0.7764384959137733,3423000,3287857.1428571427
Egr4_Egr4,11,36,31473,12872,0.7092268877275185,0.0008538383916789567,0.0011425307055127106,1.221731645177312e-05,0.5199770046065517,0.7473220523170069,3430909.090909091,2905833.3333333335
Elk1_Arid5b,27,65,31444,12856,0.7089340421697603,0.002095785143211985,0.002062902662731283,7.751359412146164e-08,0.9090511348103234,1.015939908884099,3621111.111111111,3192923.076923077
Elk1_Atf2,69,146,31363,12814,0.7080555054964859,0.0053558953659861835,0.004633596750134882,1.5771632720497884e-05,0.3277071556565858,1.1558829252524565,3436086.9565217393,3350136.98630137
Elk1_Bach2,102,236,31273,12781,0.7067714903586232,0.007917410541023054,0.007489923513916659,3.5663829287017543e-06,0.6307495745279885,1.057074952275828,3312647.0588235296,3185974.5762711866
Elk1_Bcl6,44,63,31446,12839,0.7093620472157145,0.003415353566715827,0.001999428734647244,0.00011597221805182897,0.007464855803535408,1.7081646910103012,3543409.090909091,2662380.9523809524
Elk1_Bhlhe40,32,75,31434,12851,0.7088214092629302,0.002483893503066056,0.0023802723031514806,6.596151928641748e-07,0.8315874368326258,1.0435333385081114,3555000,3316400
Elk1_Bhlhe41,27,57,31452,12856,0.7091142548206885,0.002095785143211985,0.0018090069503951252,6.3423781955216675e-06,0.5477849305383522,1.158527966271341,4006666.6666666665,3337894.736842105
Elk1_Ctcf,248,555,30954,12635,0.7028743917823032,0.019250174648761935,0.017614015043320955,2.2128184691827535e-05,0.23939573461781744,1.092889645059171,3463669.35483871,3318918.918918919
Elk1_Ctnnb1-d4TCF,34,95,31414,12849,0.7084159307983421,0.0026391368470076847,0.0030150115839918754,7.384021158321659e-06,0.560413220901292,0.875332241182791,3712058.8235294116,3573473.6842105263
Elk1_Ctnnb1-wt,54,110,31399,12829,0.7085285637051721,0.00419157028642397,0.0034910660446221715,1.9328390900171487e-05,0.26381665511401803,1.200656255953935,3270555.5555555555,3180272.727272727
Elk1_Dbp,16,44,31465,12867,0.7091593079834204,0.001241946751533028,0.0013964264178488687,2.671283369063771e-06,0.7766981217108418,0.8893750044103221,3320625,3662045.4545454546
Elk1_E2f6,35,77,31432,12848,0.7088439358442963,0.0027167585189784987,0.00244374623123552,4.337540834834907e-06,0.6029932743215911,1.111718755512903,2851714.285714286,3257922.077922078
Elk1_Egr1,36,82,31427,12847,0.7087538295188323,0.002794380190949313,0.0026024310514456187,2.0449485948876266e-06,0.7606475395357999,1.0737576272758769,3346666.6666666665,3346829.2682926827
Elk1_Egr3,37,89,31420,12846,0.7086186700306362,0.002872001862920127,0.002824589799739757,1.177410242792637e-07,0.921906705393126,1.0167854685252842,3304864.864864865,3240337.0786516853
