Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,21,29,16913,12862,0.5677787091366303,0.0016300551113870992,0.0017117223468303623,7.06972886499067e-07,0.8875676965602706,0.9522894378317323,3200000,2717586.206896552
Atf2_Arid5b,85,110,16832,12798,0.56720871751886,0.006597842117519211,0.0064927399362530985,3.0079705529758444e-07,0.94222567421843,1.0161876468637316,3147176.470588235,3046909.090909091
Atf2_Atf2,100,96,16846,12783,0.5681810561609388,0.007762167197081425,0.005666391217093614,0.00011787793825173126,0.029801096978716808,1.3698607984682656,3449700,3273125
Bach2_Arid5b,168,190,16752,12715,0.5673093042749371,0.013040440891096794,0.011214732617164443,4.945721337779735e-05,0.1628133373861183,1.1627955240892731,3288392.8571428573,3181578.947368421
Bach2_Atf2,286,373,16569,12597,0.5651299245599329,0.022199798183652877,0.022016290874749146,2.757477669118602e-07,0.9366245350446275,1.0083350692424853,3251328.6713286713,3215388.7399463807
Bach2_Bach2,257,333,16609,12626,0.565498742665549,0.019948769696499263,0.01965529453429347,7.856542369837072e-07,0.8667221331321453,1.0149310996939656,3267782.101167315,3180000
Bcl6_Arid5b,48,66,16876,12835,0.5674434199497066,0.0037258402545990842,0.0038956439617518594,1.3430964172435507e-06,0.8501244138739743,0.956411902930571,3400000,3068181.8181818184
Bcl6_Atf2,87,125,16817,12796,0.5667728415758592,0.00675308546146084,0.007378113563923976,9.839472788475238e-06,0.5322270642798687,0.9152861911045564,3269655.172413793,3453840
Bcl6_Bach2,161,214,16728,12722,0.5662699077954736,0.012497089187301094,0.012631330421437846,2.5703443190527864e-07,0.9581757225188294,0.9893723598656783,3256211.1801242237,3246728.971962617
Bcl6_Bcl6,25,35,16907,12858,0.5677116512992456,0.0019405417992703563,0.002065871797898713,1.388918907128077e-06,0.8964279212661002,0.939333118949668,3547200,3162857.1428571427
Bhlhe40_Arid5b,36,49,16893,12847,0.5676110645431685,0.002794380190949313,0.0028922205170581984,5.971708033794369e-07,0.9130296860317871,0.9661712080625157,3009166.6666666665,3099795.9183673467
Bhlhe40_Atf2,85,111,16831,12798,0.5671751886001677,0.006597842117519211,0.006551764844764491,5.754271925877824e-08,1.0,1.0070328031982925,3342705.882352941,3032972.972972973
Bhlhe40_Bach2,134,183,16759,12749,0.5664040234702431,0.01040130404408911,0.010801558257584701,2.7012156999239867e-06,0.7757302659985548,0.9629447711199873,3401641.7910447763,3229016.393442623
Bhlhe40_Bcl6,44,62,16880,12839,0.5674434199497066,0.003415353566715827,0.003659544327706292,2.9900739991375706e-06,0.7687491786316832,0.9332729052790248,3467727.272727273,2864032.2580645164
Bhlhe40_Bhlhe40,17,29,16913,12866,0.5676445934618608,0.0013195684235038424,0.0017117223468303623,1.7931633923062374e-05,0.4574579519198789,0.7709009734828309,3603529.411764706,2817931.0344827585
Bhlhe41_Arid5b,31,35,16907,12852,0.5679128248113998,0.002406271831095242,0.002065871797898713,9.233210956360871e-06,0.5368059651845035,1.1647730674975882,3004838.709677419,3042857.1428571427
Bhlhe41_Atf2,64,74,16868,12819,0.5677116512992456,0.004967787006132112,0.004367843229842993,1.3761545885992814e-05,0.4909610749968256,1.1373546953768952,3387187.5,3225810.810810811
Bhlhe41_Bach2,80,137,16805,12803,0.5661357921207041,0.00620973375766514,0.008086412466060677,8.757064743910876e-05,0.06323819073323178,0.7679219658566628,3466875,3166861.313868613
Bhlhe41_Bcl6,32,42,16900,12851,0.5677116512992456,0.002483893503066056,0.002479046157478456,1.6802060910127425e-09,1.0,1.0019553268796457,3439687.5,2830000
Bhlhe41_Bhlhe40,25,25,16917,12858,0.5680469404861693,0.0019405417992703563,0.0014756227127847952,2.264644981405696e-05,0.3915298587438254,1.315066366529535,3576000,3080400
Bhlhe41_Bhlhe41,13,13,16929,12870,0.5680469404861693,0.0010090817356205853,0.0007673238106480935,1.1766580065813493e-05,0.5540902871810856,1.3150663665295352,3327692.3076923075,3076153.846153846
Ctcf_Arid5b,279,383,16559,12604,0.5645599329421627,0.021656446479857178,0.022606539959863062,7.376094972338931e-06,0.6060631503659162,0.9579726273152488,3379247.311827957,3247754.5691906004
Ctcf_Atf2,583,837,16105,12300,0.5595305951383068,0.04525343475898471,0.04940384842403494,6.751404500571906e-05,0.09956072111124417,0.9159900736997838,3265986.2778730704,3221577.0609318996
Ctcf_Bach2,964,1303,15639,11919,0.5566806370494551,0.07482729177986494,0.07690945579034353,1.0938686845457513e-05,0.5082488718133583,0.9729270739328256,3253755.1867219917,3238388.334612433
Ctcf_Bcl6,333,432,16510,12550,0.5647275775356245,0.025848016766281144,0.02549876047692126,8.63375691433077e-07,0.8534100715324486,1.0136969908665165,3387117.117117117,3280000
Ctcf_Bhlhe40,320,401,16541,12563,0.5653310980720871,0.02483893503066056,0.023668988313068115,1.02490359254713e-05,0.5178801596563848,1.0494295194250653,3475125,3196084.788029925
