Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,42,21,12862,14525,0.4700910746812386,0.0028832292167227293,0.0016300551113870992,0.0001262481869635781,0.03181408282898462,1.7687924761447107,3177142.8571428573,3200000
Atf2_Arid5b,100,85,12798,14467,0.4698724954462659,0.006864831468387451,0.006597842117519211,1.9147858341629284e-06,0.8246757885509238,1.0404661624380651,3153000,3147176.470588235
Atf2_Atf2,109,100,12783,14458,0.46965391621129327,0.007482666300542322,0.007762167197081425,1.8562203913559394e-06,0.8347471047739761,0.9639918994988673,3283211.009174312,3449700
Bach2_Arid5b,206,168,12715,14361,0.4707103825136612,0.01414155282487815,0.013040440891096794,1.6239184280585073e-05,0.4346053070181858,1.0844382443030072,3139368.932038835,3288392.8571428573
Bach2_Atf2,359,286,12597,14208,0.4719854280510018,0.024644744971510948,0.022199798183652877,4.692352249955831e-05,0.18778930473534725,1.1101337393985158,3185431.754874652,3251328.6713286713
Bach2_Bach2,308,257,12626,14259,0.47118397085610203,0.02114368092263335,0.019948769696499263,1.2741176161287088e-05,0.4958195670280652,1.059898993487492,3226655.8441558443,3267782.101167315
Bcl6_Arid5b,63,48,12835,14504,0.4698724954462659,0.004324843825084094,0.0037258402545990842,1.6069298317360897e-05,0.44753675845273355,1.1607700624699662,3003809.523809524,3400000
Bcl6_Atf2,112,87,12796,14455,0.4702367941712204,0.0076886112445939455,0.00675308546146084,2.192042084480164e-05,0.3924750661230142,1.1385330880931472,3011785.714285714,3269655.172413793
Bcl6_Bach2,182,161,12722,14385,0.4700910746812386,0.012493993272465162,0.012497089187301094,1.395506349366471e-10,1.0,0.9997522691252713,3134835.164835165,3256211.1801242237
Bcl6_Bcl6,30,25,12858,14537,0.4695081967213115,0.002059449440516235,0.0019405417992703563,1.272059481636275e-06,0.8927730113225245,1.0612754856868263,3445000,3547200
Bhlhe40_Arid5b,49,36,12847,14518,0.46979963570127503,0.003363767419509851,0.002794380190949313,1.896628069813491e-05,0.4465110011705224,1.2037615462651503,3421224.4897959186,3009166.6666666665
Bhlhe40_Atf2,74,85,12798,14493,0.4689253187613843,0.005079975286606714,0.006597842117519211,7.16970729313102e-05,0.11077354834829059,0.7699449602041681,3305270.2702702703,3342705.882352941
Bhlhe40_Bach2,149,134,12749,14418,0.4698724954462659,0.010228598887897303,0.01040130404408911,5.250153360773779e-07,0.9047798411361578,0.9833958169610519,3158859.0604026844,3401641.7910447763
Bhlhe40_Bcl6,46,44,12839,14521,0.46939890710382515,0.0031578224754582277,0.003415353566715827,3.6412348241774382e-06,0.7514160909191858,0.9245960670756443,3395869.565217391,3467727.272727273
Bhlhe40_Bhlhe40,16,17,12866,14551,0.4692896174863388,0.0010983730349419922,0.0013195684235038424,7.303469421442426e-06,0.6058720512970526,0.832372929950452,2904375,3603529.411764706
Bhlhe41_Arid5b,26,31,12852,14541,0.46914389799635703,0.0017848561817807372,0.002406271831095242,3.339969407383523e-05,0.2887315546687807,0.741751683544556,3297692.3076923075,3004838.709677419
Bhlhe41_Atf2,59,64,12819,14508,0.46914389799635703,0.0040502505663485965,0.004967787006132112,3.382402333541347e-05,0.2775469450246085,0.8153027819729527,3200847.4576271186,3387187.5
Bhlhe41_Bach2,96,80,12803,14471,0.4699089253187614,0.006590238209651953,0.00620973375766514,4.088624639846106e-06,0.7055232006200497,1.0612754856868263,3116875,3466875
Bhlhe41_Bcl6,21,32,12851,14546,0.4689253187613843,0.0014416146083613647,0.002483893503066056,0.0001013916659864248,0.05408652104681298,0.5803850312349832,3261428.5714285714,3439687.5
Bhlhe41_Bhlhe40,15,25,12858,14552,0.4689617486338798,0.0010297247202581176,0.0019405417992703563,0.0001027945930765369,0.0567335539468022,0.5306377428434131,3184000,3576000
Bhlhe41_Bhlhe41,5,13,12870,14562,0.4690346083788707,0.0003432415734193726,0.0010090817356205853,0.00012447339734059809,0.03489214974011016,0.3401523992585982,2652000,3327692.3076923075
Ctcf_Arid5b,347,279,12604,14220,0.47180327868852456,0.023820965195304456,0.021656446479857178,3.7856546961485826e-05,0.24015115557102082,1.0999480093588074,3218991.354466859,3379247.311827957
Ctcf_Atf2,626,583,12300,13941,0.47089253187613844,0.042973844992105444,0.04525343475898471,2.2153708216551826e-05,0.3610703162503547,0.9496261492852391,3281789.1373801916,3265986.2778730704
Ctcf_Bach2,1138,964,11919,13429,0.4756648451730419,0.0781217821102492,0.07482729177986494,2.760027240171492e-05,0.3062742622398568,1.0440279241974486,3237416.520210896,3253755.1867219917
Ctcf_Bcl6,351,333,12550,14216,0.46998178506375227,0.024095558454039954,0.025848016766281144,2.2681219100841726e-05,0.35218466198106835,0.9322014401303206,3274273.5042735045,3387117.117117117
Ctcf_Bhlhe40,271,320,12563,14296,0.4675409836065574,0.018603693279329994,0.02483893503066056,0.0003307706261756402,0.0003937154993680763,0.748973064117526,3189298.89298893,3475125
Ctcf_Bhlhe41,181,224,12659,14386,0.46775956284153003,0.012425344957781286,0.017387254521462392,0.0003036382336351357,0.0007599315611227105,0.7146237459423943,3220276.2430939227,3590089.285714286
Ctcf_Ctcf,1113,1011,11872,13454,0.47304189435336974,0.07640557424315234,0.07847551036249321,1.0777519207957886e-05,0.5263262037915635,0.973623158233958,3302318.0592991915,3347893.175074184
Ctnnb1-d4TCF_Arid5b,81,57,12826,14486,0.47020036429872497,0.005560513489393836,0.004424435302336412,4.667159046676736e-05,0.1998835706878573,1.256773601471242,3080740.7407407407,3252631.5789473685
Ctnnb1-d4TCF_Atf2,152,99,12784,14415,0.4712568306010929,0.010434543831948926,0.0076845455251106105,0.00015145609424340768,0.018595817761117163,1.3578608907777578,3155921.052631579,3304242.4242424243
Ctnnb1-d4TCF_Bach2,299,175,12708,14268,0.47384335154826956,0.02052584609047848,0.013583792594892494,0.0005179100236787915,9.810110089023071e-06,1.5110541439064815,3209397.993311037,3207942.8571428573
Ctnnb1-d4TCF_Bcl6,71,51,12832,14496,0.47005464480874315,0.00487403034255509,0.003958705270511527,3.42228050873427e-05,0.2757886874790581,1.2312182922183768,3179577.4647887326,3413529.411764706
Ctnnb1-d4TCF_Bhlhe40,53,51,12832,14514,0.46939890710382515,0.003638360678245349,0.003958705270511527,4.877760142082445e-06,0.6944248792204233,0.9190784434869574,3082075.4716981133,3388235.294117647
Ctnnb1-d4TCF_Bhlhe41,38,27,12856,14529,0.46972677595628415,0.0026086359579872314,0.002095785143211985,2.013129909416919e-05,0.4556302601803769,1.2447058165462777,3317368.4210526315,3250000
Ctnnb1-d4TCF_Ctcf,516,372,12511,14051,0.4745719489981785,0.03542253037687925,0.028875261973142902,0.00024742739170061784,0.0023354451615973555,1.2267431689390735,3187906.976744186,3274435.4838709678
Ctnnb1-d4TCF_Ctnnb1-d4TCF,58,35,12848,14509,0.4701639344262295,0.003981602251664722,0.0027167585189784987,8.629149969306216e-05,0.07709635753434957,1.4655709088056175,3287586.206896552,3322285.714285714
Ctnnb1-wt_Arid5b,88,71,12812,14479,0.46994535519125685,0.006041051692180957,0.0055111387099278115,8.779793952842264e-06,0.5779024442269276,1.0961530838079898,3274772.727272727,2995774.647887324
Ctnnb1-wt_Atf2,154,132,12751,14413,0.4701275045537341,0.010571840461316675,0.010246060700147481,1.8505998972875165e-06,0.8118825485034837,1.0317956110844146,3280324.675324675,3257954.5454545454
