Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Egr4_Bcl6,32,74,26320,14535,0.6433436683674715,0.0021967460698839843,0.002803667500189437,2.4194202807820836e-05,0.2650557473973751,0.7835258887637552,3054375,3422027.027027027
Egr4_Bhlhe40,30,68,26326,14537,0.6434413222333439,0.002059449440516235,0.0025763431082821853,1.8935993403021607e-05,0.342290607218962,0.7993692431321399,3261000,3113823.529411765
Egr4_Bhlhe41,18,46,26348,14549,0.6436854568980249,0.0012356696643097411,0.001742820337955596,2.8270196602355e-05,0.24074085281325505,0.709005763473724,3098333.3333333335,3142173.913043478
Egr4_Ctcf,229,458,25936,14338,0.638778350137936,0.015720464062607263,0.017352428582253544,2.695592940986022e-05,0.22800280116829078,0.9059518088830919,3367205.2401746726,3348537.11790393
Egr4_Ctnnb1-d4TCF,49,77,26317,14518,0.6436854568980249,0.003363767419509851,0.0029173296961430627,1.0604991138267808e-05,0.45624444624038096,1.153029574942117,3219795.9183673467,3190519.4805194805
Egr4_Ctnnb1-wt,65,120,26274,14502,0.6430262933033861,0.004462140454451843,0.004546487838145033,2.6204207125360424e-07,0.9387572195375997,0.9814477929566829,3398307.6923076925,3246500
Egr4_Dbp,21,36,26358,14546,0.6440028319621103,0.0014416146083613647,0.00136394635144351,7.138385109725209e-07,0.8900602254595151,1.0569437770302739,3357142.8571428573,3309166.6666666665
Egr4_E2f6,30,85,26309,14537,0.6430262933033861,0.002059449440516235,0.0032204288853527317,8.355840942645028e-05,0.039986525253216214,0.6394953945057119,3263000,3384352.9411764704
Egr4_Egr1,53,86,26308,14514,0.6435633895656845,0.003638360678245349,0.0032583162840039404,6.9882045221907226e-06,0.5351311746015055,1.1166382760652063,3323207.547169811,3549767.4418604653
Egr4_Egr3,53,85,26309,14514,0.6435878030321526,0.003638360678245349,0.0032204288853527317,8.50328467445283e-06,0.4776412527800481,1.129775196960091,3513962.2641509436,3382235.294117647
Egr4_Egr4,8,26,26368,14559,0.643929591562706,0.0005491865174709961,0.0009850723649314239,4.043907311834837e-05,0.15566811314415013,0.557508805466518,2906250,2995384.6153846155
Elk1_Arid5b,24,62,26332,14543,0.6434413222333439,0.0016475595524129882,0.002349018716374934,4.031908096982658e-05,0.14422391179090133,0.7013820455869099,3276250,3746612.9032258065
Elk1_Atf2,70,134,26260,14497,0.6428065721051732,0.004805382027871216,0.005076911419261953,2.472580583707737e-06,0.7694043986868762,0.9465168152509917,3395142.8571428573,3255223.880597015
Elk1_Bach2,104,218,26176,14463,0.641585898781768,0.007139424727122949,0.008259452905963477,2.6978461711220023e-05,0.2424240227318498,0.864394386457262,3304326.923076923,3280183.4862385322
Elk1_Bcl6,25,73,26321,14542,0.6431971875686628,0.0017162078670968628,0.0027657801015382286,8.0397825636186e-05,0.04412381998582175,0.6205149375911588,2594400,3465616.4383561644
Elk1_Bhlhe40,37,58,26336,14530,0.6438563511633016,0.002539987643303357,0.0021974691217700993,8.271379465112343e-06,0.5200807401453105,1.1558695492646345,3383513.5135135134,3331034.4827586208
Elk1_Bhlhe41,26,50,26344,14541,0.6437831107638974,0.0017848561817807372,0.0018943699325604305,1.0767498510903199e-06,0.9046485027117905,0.9421898812384155,3330000,3580800
Elk1_Ctcf,233,467,25927,14334,0.6386562828055956,0.01599505732134276,0.01769341517011442,2.8667033123940672e-05,0.2170231142520623,0.9040118692495093,3361931.330472103,3392698.0728051392
Elk1_Ctnnb1-d4TCF,45,78,26316,14522,0.6435633895656845,0.003089174160774353,0.0029552170947942714,9.866497447759068e-07,0.850462471966072,1.0453290102497215,3439333.3333333335,3448076.923076923
Elk1_Ctnnb1-wt,52,104,26290,14515,0.6430995337027905,0.0035697123635614744,0.0039402894597256955,6.042124873483455e-06,0.6153537007083127,0.9059518088830918,3301153.846153846,3235673.076923077
Elk1_Dbp,16,34,26360,14551,0.643929591562706,0.0010983730349419922,0.0012881715541410927,4.963678901492071e-06,0.6594546862110454,0.8526605260076159,3654375,3397058.8235294116
Elk1_E2f6,33,70,26324,14534,0.643465735699812,0.002265394384567859,0.0026521179055846024,1.0014375525663113e-05,0.47299269260256965,0.8541831340897724,3321818.1818181816,3028714.285714286
Elk1_Egr1,44,76,26318,14523,0.6435878030321526,0.0030205258460904785,0.0028794422974918544,1.1213343659413795e-06,0.8486105888914893,1.048996831338317,3349090.909090909,3187500
Elk1_Egr3,47,80,26314,14520,0.6435633895656845,0.003226470790142102,0.0030309918920966884,2.0316430754769785e-06,0.7807242470181666,1.0644933754376331,3308297.8723404254,3133500
Elk1_Egr4,25,58,26336,14542,0.6435633895656845,0.0017162078670968628,0.0021974691217700993,1.9424661424237736e-05,0.3585422629528209,0.7809929386923207,3249600,3195517.2413793104
Elk1_Elk1,11,15,26379,14556,0.6442713800932595,0.0007551314615226196,0.0005683109797681291,8.875346806751054e-06,0.5395826131095312,1.3287293196952017,3826363.6363636362,3470000
Elk3_Arid5b,27,63,26331,14540,0.6434901491662801,0.0018535044964646118,0.002386906115026142,2.202341623374119e-05,0.32113034657355743,0.7765301218997931,3238888.888888889,3780952.380952381
Elk3_Atf2,72,129,26265,14495,0.64297746637045,0.0049426786572389645,0.00488747442600591,1.0305499612180136e-07,0.9412154572057214,1.0112950424741491,3386666.6666666665,3362790.697674419
Elk3_Bach2,106,220,26174,14461,0.641585898781768,0.007276721356490698,0.008335227703265894,2.377811280263476e-05,0.26979201063294744,0.8730081067418886,3311603.7735849055,3296318.1818181816
Elk3_Bcl6,25,73,26321,14542,0.6431971875686628,0.0017162078670968628,0.0027657801015382286,8.0397825636186e-05,0.04412381998582175,0.6205149375911588,2848800,3525205.479452055
Elk3_Bhlhe40,38,57,26337,14529,0.6439051780962379,0.0026086359579872314,0.0021595817231188905,1.416436661940074e-05,0.39101244590891365,1.207935745177456,3578684.210526316,3433684.210526316
Elk3_Bhlhe41,26,48,26346,14541,0.6438319376968336,0.0017848561817807372,0.0018185951352580132,1.0453278844347463e-07,1.0,0.9814477929566828,3513461.5384615385,3680000
Elk3_Ctcf,227,460,25934,14340,0.6386806962720637,0.015583167433239514,0.01742820337955596,3.450007418611886e-05,0.171823616786352,0.8941350461585299,3405066.079295154,3408652.1739130435
Elk3_Ctnnb1-d4TCF,43,78,26316,14524,0.6435145626327482,0.002951877531406604,0.0029552170947942714,6.260012638467649e-10,1.0,0.9988699431275117,3496046.511627907,3543076.923076923
Elk3_Ctnnb1-wt,55,107,26287,14512,0.6430995337027905,0.003775657307613098,0.004053951655679321,3.272631027713066e-06,0.7423003209223553,0.93135232688916,3377454.5454545454,3234672.8971962617
Elk3_Dbp,15,40,26354,14552,0.6437586972974293,0.0010297247202581176,0.0015154959460483442,3.0325008904197358e-05,0.25905743646786045,0.6794638566623189,3646000,3405000
Elk3_E2f6,31,69,26325,14536,0.6434413222333439,0.0021280977552001097,0.002614230506933394,1.6382505174142217e-05,0.4027996116748781,0.8140436543587202,3468387.0967741935,3053913.0434782607
Elk3_Egr1,43,76,26318,14524,0.6435633895656845,0.002951877531406604,0.0028794422974918544,2.9870274609192574e-07,0.9236873642932607,1.025155994262446,3369069.7674418604,3124736.8421052634
Elk3_Egr3,46,78,26316,14521,0.6435878030321526,0.0031578224754582277,0.0029552170947942714,2.2343335921797512e-06,0.7082300980516332,1.0685585438108265,3322826.086956522,3116923.076923077
Elk3_Egr4,22,53,26341,14545,0.6436122164986207,0.0015102629230452393,0.002008032128514056,2.3089403186247852e-05,0.27937891012307775,0.7521109356765292,3136363.6363636362,3164716.9811320757
Elk3_Elk1,14,20,26374,14553,0.6442225531603233,0.0009610764055742432,0.0007577479730241721,8.069944410216677e-06,0.479807225723626,1.2683325324363288,3833571.4285714286,3421500
Elk3_Elk3,12,17,26377,14555,0.6442469666267914,0.0008237797762064941,0.0006440857770705463,7.383847749170905e-06,0.561851527324629,1.2789907890114238,3802500,3437647.0588235296
Elk4_Arid5b,27,60,26334,14540,0.6435633895656845,0.0018535044964646118,0.0022732439190725163,1.4031353228602036e-05,0.43298589924466174,0.8153566279947828,3496666.6666666665,3685000
Elk4_Atf2,66,120,26274,14501,0.6430507067698542,0.004530788769135718,0.004546487838145033,9.015812141993651e-09,1.0,0.9965469897714012,3515454.5454545454,3333750
Elk4_Bach2,96,200,26194,14471,0.6418300334464491,0.006590238209651953,0.007577479730241722,2.2772889795228714e-05,0.27303177432108977,0.8697137365277682,3415937.5,3290400
Elk4_Bcl6,19,66,26328,14548,0.6432216010351309,0.0013043179789936157,0.0025005683109797683,0.00012300018396406106,0.012102720075806291,0.5216086172357196,2880000,3454090.909090909
Elk4_Bhlhe40,33,55,26339,14534,0.6438319376968336,0.002265394384567859,0.0020838069258164735,2.5228488292599466e-06,0.738366825714764,1.0871421706597102,3447272.727272727,3517636.3636363638
Elk4_Bhlhe41,22,47,26347,14545,0.6437586972974293,0.0015102629230452393,0.0017807077366068045,7.310394307109272e-06,0.6149572299111997,0.8481250976777882,3634090.909090909,3665106.3829787234
Elk4_Ctcf,216,432,25962,14351,0.6390957252020214,0.014828035971716894,0.016367356217322118,2.5401326553813053e-05,0.2468148735682279,0.9059518088830919,3380555.5555555555,3390208.3333333335
Elk4_Ctnnb1-d4TCF,39,74,26320,14528,0.6435145626327482,0.002677284272671106,0.002803667500189437,9.640570756527973e-07,0.8446794785643972,0.9549221769308267,3527692.3076923075,3617432.4324324327
Elk4_Ctnnb1-wt,55,95,26299,14512,0.6433924953004077,0.003775657307613098,0.0035993028718648177,1.4027030096372232e-06,0.7978899497354439,1.048996831338317,3579272.727272727,3217578.947368421
