Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Egr4_Bcl6,32,34,13477,14535,0.48112401168174374,0.0021967460698839843,0.0025164680630597293,7.842492512863918e-06,0.6227552242134062,0.8729481220647797,3054375,3489705.882352941
Egr4_Bhlhe40,30,22,13489,14537,0.4814801624047297,0.002059449440516235,0.0016283028643327658,1.8203115953620676e-05,0.4092105602745619,1.2647827904915843,3261000,2757272.727272727
Egr4_Bhlhe41,18,20,13491,14549,0.48112401168174374,0.0012356696643097411,0.0014802753312116053,7.964905647901786e-06,0.6279033944338372,0.8347566417244456,3098333.3333333335,2929500
Egr4_Ctcf,229,245,13266,14338,0.4806254006695634,0.015720464062607263,0.018133372807342167,6.311490862554933e-05,0.125995348688908,0.8669354691832111,3367205.2401746726,3275142.8571428573
Egr4_Ctnnb1-d4TCF,49,39,13472,14518,0.4815513925493269,0.003363767419509851,0.0028865368958626305,1.316502063441723e-05,0.5219952424509042,1.1653297847435282,3219795.9183673467,3250769.230769231
Egr4_Ctnnb1-wt,65,68,13443,14502,0.48108839660944513,0.004462140454451843,0.005032936126119459,1.2434152737501002e-05,0.4882094771835728,0.8865879364720419,3398307.6923076925,3252352.9411764704
Egr4_Dbp,21,19,13492,14546,0.4812664719709381,0.0014416146083613647,0.0014062615646510252,1.5826862829831055e-07,1.0,1.0251397354510736,3357142.8571428573,3383684.210526316
Egr4_E2f6,30,43,13468,14537,0.48073224588645913,0.002059449440516235,0.0031825919621049515,8.781045429634036e-05,0.07797063830901332,0.6470981718794152,3263000,3597906.976744186
Egr4_Egr1,53,42,13469,14514,0.4815870076216255,0.003638360678245349,0.0031085781955443714,1.5034030800778302e-05,0.4726195213742015,1.1704259791374503,3323207.547169811,3409285.714285714
Egr4_Egr3,53,45,13466,14514,0.4814801624047297,0.003638360678245349,0.0033306194952261122,4.9104239325829455e-06,0.6864377495118477,1.0923975805282868,3513962.2641509436,3346000
Egr4_Egr4,8,15,13496,14559,0.48094593632025073,0.0005491865174709961,0.001110206498408704,7.003716607905872e-05,0.14245780162655125,0.49467060250337525,2906250,2676000
Elk1_Arid5b,24,35,13476,14543,0.48080347603105633,0.0016475595524129882,0.0025904818296203095,7.657041663205848e-05,0.09081099306718275,0.6360050603614824,3276250,3843428.5714285714
Elk1_Atf2,70,65,13446,14497,0.4813733171878339,0.004805382027871216,0.004810894826437717,1.143756021317055e-09,1.0,0.9988541012087385,3395142.8571428573,3063230.769230769
Elk1_Bach2,104,116,13395,14463,0.48076786095875773,0.007139424727122949,0.008585596921027311,4.8404264552151174e-05,0.1758886216472453,0.8315583404151565,3304326.923076923,3251637.9310344825
Elk1_Bcl6,25,29,13482,14542,0.48105278153714653,0.0017162078670968628,0.0021463992302568277,1.7349578244223608e-05,0.4174827168899621,0.799575327322266,2594400,3347586.206896552
Elk1_Bhlhe40,37,26,13485,14530,0.4815870076216255,0.002539987643303357,0.001924357930575087,3.0689063683503326e-05,0.31320863900141216,1.3199143480258329,3383513.5135135134,3055384.6153846155
Elk1_Bhlhe41,26,23,13488,14541,0.4813020870432367,0.0017848561817807372,0.0017023166308933462,7.0472602535206e-07,0.887296261639416,1.0484866031321538,3330000,3080869.565217391
Elk1_Ctcf,233,219,13292,14334,0.4816938528385213,0.01599505732134276,0.01620901487676708,5.20394792365847e-07,0.8869339113837382,0.9868000888980002,3361931.330472103,3312328.7671232875
Elk1_Ctnnb1-d4TCF,45,44,13467,14522,0.4812308568986395,0.003089174160774353,0.0032566057286655316,1.5968464378820005e-06,0.8322276585532641,0.9485870928686884,3439333.3333333335,3244090.909090909
Elk1_Ctnnb1-wt,52,50,13461,14515,0.4812664719709381,0.0035697123635614744,0.0037006883280290134,8.531540580847437e-07,0.9209975982239257,0.9646076748815816,3301153.846153846,3198000
Elk1_Dbp,16,18,13493,14551,0.48112401168174374,0.0010983730349419922,0.0013322477980904448,8.137167579026902e-06,0.6095624867623444,0.824451004172292,3654375,3465000
Elk1_E2f6,33,35,13476,14534,0.48112401168174374,0.002265394384567859,0.0025904818296203095,7.87003281739777e-06,0.6277111079776401,0.8745069579970383,3321818.1818181816,3205714.285714286
Elk1_Egr1,44,40,13471,14523,0.4813377021155353,0.0030205258460904785,0.0029605506624232106,2.172286885562119e-07,1.0,1.0202581176632115,3349090.909090909,3044250
Elk1_Egr3,47,43,13468,14520,0.4813377021155353,0.003226470790142102,0.0031825919621049515,1.0853642267881145e-07,1.0,1.0137871359444173,3308297.8723404254,2986046.511627907
Elk1_Egr4,25,30,13481,14542,0.48101716646484793,0.0017162078670968628,0.002220412996817408,2.3406491507007524e-05,0.34808576041037487,0.7729228164115238,3249600,3215000
Elk1_Elk1,11,6,13505,14556,0.4813733171878339,0.0007551314615226196,0.0004440825993634816,2.9314001666172853e-05,0.33801698382325684,1.7004301961053525,3826363.6363636362,2565000
Elk3_Arid5b,27,33,13478,14540,0.48098155139254933,0.0018535044964646118,0.0024424542964991487,2.928490041895172e-05,0.3028849049958122,0.7588696742949507,3238888.888888889,3816363.6363636362
Elk3_Atf2,72,59,13452,14495,0.4816582377662227,0.0049426786572389645,0.004366812227074236,1.2887970788634864e-05,0.484919928996131,1.131873412507723,3386666.6666666665,3175932.2033898304
Elk3_Bach2,106,113,13398,14461,0.48094593632025073,0.007276721356490698,0.00836355562134557,2.7460905789525834e-05,0.3091357668777073,0.8700511703322639,3311603.7735849055,3238407.079646018
Elk3_Bcl6,25,29,13482,14542,0.48105278153714653,0.0017162078670968628,0.0021463992302568277,1.7349578244223608e-05,0.4174827168899621,0.799575327322266,2848800,3397241.379310345
Elk3_Bhlhe40,38,27,13484,14529,0.4815870076216255,0.0026086359579872314,0.0019983716971356674,2.9219482769107276e-05,0.3209974616994622,1.3053807566061288,3578684.210526316,3128888.888888889
Elk3_Bhlhe41,26,24,13487,14541,0.4812664719709381,0.0017848561817807372,0.0017763303974539263,7.364362676750766e-09,1.0,1.004799661334981,3513461.5384615385,3307500
Elk3_Ctcf,227,215,13296,14340,0.4816226226939241,0.015583167433239514,0.01591295981052476,1.263809229611751e-06,0.8478577016009211,0.9792752334441817,3405066.079295154,3282418.604651163
Elk3_Ctnnb1-d4TCF,43,41,13470,14524,0.4812664719709381,0.002951877531406604,0.0030345644289837908,4.1266257216681854e-07,0.9133415408684978,0.9727516421179178,3496046.511627907,3352682.926829268
Elk3_Ctnnb1-wt,55,53,13458,14512,0.4812664719709381,0.003775657307613098,0.003922729627710754,1.016171090591298e-06,0.8476706293635115,0.962507658172841,3377454.5454545454,3239433.962264151
Elk3_Dbp,15,21,13490,14552,0.48098155139254933,0.0010297247202581176,0.0015542890977721857,3.876998826482254e-05,0.2448965733414325,0.6625052712098775,3646000,3325714.285714286
Elk3_E2f6,31,37,13474,14536,0.48098155139254933,0.0021280977552001097,0.0027385093627414698,2.7758921474843167e-05,0.33170456009618826,0.7771007775813158,3468387.0967741935,3224594.5945945946
Elk3_Egr1,43,39,13472,14524,0.4813377021155353,0.002951877531406604,0.0028865368958626305,2.6411285880241844e-07,1.0,1.0226363417137083,3369069.7674418604,2891538.4615384615
Elk3_Egr3,46,41,13470,14521,0.4813733171878339,0.0031578224754582277,0.0030345644289837908,8.862160575402039e-07,0.914556826849586,1.0406180357540515,3322826.086956522,2956097.56097561
Elk3_Egr4,22,27,13484,14545,0.48101716646484793,0.0015102629230452393,0.0019983716971356674,2.4622032223202157e-05,0.3909256070531124,0.755746753824601,3136363.6363636362,3253333.3333333335
Elk3_Elk1,14,9,13502,14553,0.4813733171878339,0.0009610764055742432,0.0006661238990452224,1.933435469805649e-05,0.41235824047553715,1.442789257301511,3833571.4285714286,2516666.6666666665
Elk3_Elk3,12,8,13503,14555,0.4813377021155353,0.0008237797762064941,0.0005921101324846421,1.3695492187284835e-05,0.5093800706971772,1.3912610695407428,3802500,2478750
Elk4_Arid5b,27,31,13480,14540,0.48105278153714653,0.0018535044964646118,0.0022944267633779884,1.69704087181065e-05,0.432709348387325,0.8078290081204312,3496666.6666666665,3818709.6774193547
Elk4_Atf2,66,60,13451,14501,0.4814089322601325,0.004530788769135718,0.004440825993634816,3.263325051867244e-07,0.929019044768236,1.0202581176632115,3515454.5454545454,3245000
Elk4_Bach2,96,103,13408,14471,0.48094593632025073,0.006590238209651953,0.007623417955739767,2.7290857871031284e-05,0.31921894256427696,0.8644728975787139,3415937.5,3289514.5631067962
Elk4_Bcl6,19,25,13486,14548,0.48098155139254933,0.0013043179789936157,0.0018503441640145067,3.433935522651182e-05,0.2910516403106806,0.7049056085673097,2880000,3298800
Elk4_Bhlhe40,33,25,13486,14534,0.4814801624047297,0.002265394384567859,0.0018503441640145067,1.51125227778816e-05,0.51126665230258,1.2243097411958537,3447272.727272727,3369600
Elk4_Bhlhe41,22,24,13487,14545,0.48112401168174374,0.0015102629230452393,0.0017763303974539263,7.786945593849393e-06,0.658433542824763,0.8502150980526763,3634090.909090909,3426250
Elk4_Ctcf,216,203,13308,14351,0.4816582377662227,0.014828035971716894,0.015024794611797794,4.7418923440969984e-07,0.92154355944312,0.9869044040091969,3380555.5555555555,3311822.660098522
Elk4_Ctnnb1-d4TCF,39,40,13471,14528,0.48115962675404234,0.002677284272671106,0.0029605506624232106,5.1458713330701684e-06,0.6542922906712887,0.9043196952014828,3527692.3076923075,3507000
Elk4_Ctnnb1-wt,55,46,13465,14512,0.4815157774770283,0.003775657307613098,0.0034046332617866924,6.928454834932533e-06,0.6193653252755427,1.1089762148513167,3579272.727272727,3275869.565217391
Elk4_Dbp,15,14,13497,14552,0.4812308568986395,0.0010297247202581176,0.0010361927318481238,7.301212779980623e-09,1.0,0.9937579068148161,3794000,3527142.8571428573
Elk4_E2f6,33,35,13476,14534,0.48112401168174374,0.002265394384567859,0.0025904818296203095,7.87003281739777e-06,0.6277111079776401,0.8745069579970383,3261818.1818181816,3054000
Elk4_Egr1,36,39,13472,14531,0.48108839660944513,0.0024713393286194822,0.0028865368958626305,1.1642268381353241e-05,0.5632529742625974,0.8561606581789186,3222500,3053846.153846154
Elk4_Egr3,42,43,13468,14525,0.48115962675404234,0.0028832292167227293,0.0031825919621049515,5.342800173591209e-06,0.6650311395461859,0.9059374406311813,3317142.8571428573,3189767.4418604653
Elk4_Egr4,21,30,13481,14546,0.48087470617565353,0.0014416146083613647,0.002220412996817408,6.038176932079064e-05,0.16011571365135888,0.64925516578568,2998571.4285714286,3104000
Elk4_Elk1,12,8,13503,14555,0.4813377021155353,0.0008237797762064941,0.0005921101324846421,1.3695492187284835e-05,0.5093800706971772,1.3912610695407428,3717500,2906250
Elk4_Elk3,14,10,13501,14553,0.4813377021155353,0.0009610764055742432,0.0007401376656058027,1.03555603036896e-05,0.5479860785678623,1.29851033157136,3707142.8571428573,2769000
Elk4_Elk4,7,5,13506,14560,0.4812664719709381,0.0004805382027871216,0.00037006883280290133,5.175579715511656e-06,0.7762746852498232,1.29851033157136,3441428.5714285714,3378000
Esrra_Arid5b,85,71,13440,14482,0.4816938528385213,0.005835106748129333,0.005254977425801199,1.0988628514437514e-05,0.5215979091507891,1.1103961587883862,2925176.470588235,3413661.971830986
Esrra_Atf2,174,146,13365,14393,0.48219246385070164,0.011944806754994165,0.010806009917844719,2.0762232081040707e-05,0.39873908365163124,1.1053855073063437,3351724.1379310344,3024452.0547945206
