Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Arid5b_Arid5b,42,29,16913,14525,0.5381002253324447,0.0028832292167227293,0.0017117223468303623,0.00010925982604748606,0.031820777006910855,1.6844023927488443,3177142.8571428573,2717586.206896552
Atf2_Arid5b,100,110,16832,14467,0.5373702751594782,0.006864831468387451,0.0064927399362530985,3.7452465974398275e-06,0.7285535125879099,1.0573088612492747,3153000,3046909.090909091
Atf2_Atf2,109,96,16846,14458,0.5381002253324447,0.007482666300542322,0.005666391217093614,9.117172341748577e-05,0.049031491252438476,1.3205347131644585,3283211.009174312,3273125
Bach2_Arid5b,206,190,16752,14361,0.5381954362245708,0.01414155282487815,0.011214732617164443,0.00012333697157568095,0.022368752415029256,1.2609799366267664,3139368.932038835,3181578.947368421
Bach2_Atf2,359,373,16569,14208,0.5372433273033101,0.024644744971510948,0.022016290874749146,5.447090053980336e-05,0.12424024277796605,1.1193867809848217,3185431.754874652,3215388.7399463807
Bach2_Bach2,308,333,16609,14259,0.536894220698848,0.02114368092263335,0.01965529453429347,1.990021799463601e-05,0.35750057366145904,1.0757244510247874,3226655.8441558443,3180000
Bcl6_Arid5b,63,66,16876,14504,0.5375924339077723,0.004324843825084094,0.0038956439617518594,8.083796636434645e-06,0.5957407255249438,1.1101743043117382,3003809.523809524,3068181.8181818184
Bcl6_Atf2,112,125,16817,14455,0.5372750642673522,0.0076886112445939455,0.007378113563923976,2.313533804474896e-06,0.7937304098707731,1.042083613647285,3011785.714285714,3453840
Bcl6_Bach2,182,214,16728,14385,0.5366720619505538,0.012493993272465162,0.012631330421437846,2.7260775006983373e-07,0.9193130395616396,0.9891272617855363,3134835.164835165,3246728.971962617
Bcl6_Bcl6,30,35,16907,14537,0.5375289599796883,0.002059449440516235,0.002065871797898713,3.5929504094145415e-09,1.0,0.9968912120350302,3445000,3162857.1428571427
Bhlhe40_Arid5b,49,49,16893,14518,0.5376876447998984,0.003363767419509851,0.0028922205170581984,1.2822932420092966e-05,0.4784259532293887,1.163039747374202,3421224.4897959186,3099795.9183673467
Bhlhe40_Atf2,74,111,16831,14493,0.5365133771303437,0.005079975286606714,0.006551764844764491,6.714394260148426e-05,0.08948861938127137,0.7753598315828013,3305270.2702702703,3032972.972972973
Bhlhe40_Bach2,149,183,16759,14418,0.5366085880224698,0.010228598887897303,0.010801558257584701,5.654513839480416e-06,0.6580866014104905,0.9469558598839131,3158859.0604026844,3229016.393442623
Bhlhe40_Bcl6,46,62,16880,14521,0.5371798533752261,0.0031578224754582277,0.003659544327706292,1.3274688669191303e-05,0.49888157749662154,0.8629004577292467,3395869.565217391,2864032.2580645164
Bhlhe40_Bhlhe40,16,29,16913,14551,0.5372750642673522,0.0010983730349419922,0.0017117223468303623,4.820160217082763e-05,0.17837229929838372,0.6416771019995597,2904375,2817931.0344827585
Bhlhe41_Arid5b,26,35,16907,14541,0.5374020121235202,0.0017848561817807372,0.002065871797898713,7.3618448400401566e-06,0.6088438373920959,0.8639723837636929,3297692.3076923075,3042857.1428571427
Bhlhe41_Atf2,59,74,16868,14508,0.5372115903392681,0.0040502505663485965,0.004367843229842993,4.312132551758004e-06,0.7275623995326814,0.9272884472307829,3200847.4576271186,3225810.810810811
Bhlhe41_Bach2,96,137,16805,14471,0.5363864292741757,0.006590238209651953,0.008086412466060677,5.505826910541089e-05,0.1294440586257189,0.8149767572841123,3116875,3166861.313868613
Bhlhe41_Bcl6,21,42,16900,14546,0.537021168555016,0.0014416146083613647,0.002479046157478456,9.915990708972834e-05,0.04301923085954606,0.5815198736871009,3261428.5714285714,2830000
Bhlhe41_Bhlhe40,15,25,16917,14552,0.5373702751594782,0.0010297247202581176,0.0014756227127847952,2.8520791963599712e-05,0.3412302908932422,0.6978238484245212,3184000,3080400
