Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Esrrg_Esrra,109,217,29608,14458,0.6694224184537755,0.007482666300542322,0.007275775356244761,9.308557355229216e-07,0.8129665539122175,1.0284355871597914,3069082.5688073393,3079493.0875576036
Esrrg_Esrrg,81,189,29636,14486,0.6694224184537755,0.005560513489393836,0.00633696563285834,1.6105807277309002e-05,0.36273015577858697,0.8774725651913817,3083703.703703704,3052063.492063492
Fos_Arid5b,188,307,29518,14379,0.6691746260587493,0.012905883160568407,0.010293378038558256,9.610687243106174e-05,0.016003551086378378,1.2538044471138527,3130691.489361702,3151856.6775244297
Fos_Atf2,315,575,29250,14252,0.6659983780861416,0.02162421912542047,0.019279128248113998,4.396395789107305e-05,0.10459796940282703,1.1216388442011573,3290571.4285714286,3197321.7391304346
Fos_Bach2,515,925,28900,14052,0.6626193908812399,0.03535388206219537,0.03101424979044426,9.409916227447884e-05,0.016528432211365553,1.1399238189242993,3138873.786407767,3184800
Fos_Bcl6,178,327,29498,14389,0.668498828617769,0.012219400013729663,0.0109639564124057,2.202359126773218e-05,0.2526644588163755,1.114506438561123,3162640.449438202,3252477.0642201835
Fos_Bhlhe40,141,315,29510,14426,0.6679356640836187,0.009679412370426306,0.010561609388097234,1.2297928433796512e-05,0.39469180729558356,0.9164713458665542,3097659.574468085,3220952.380952381
Fos_Bhlhe41,91,215,29610,14476,0.6690619931519193,0.006246996636232581,0.0072087175188600165,2.1852478141294943e-05,0.27154942090676676,0.8665891845378453,3083406.5934065934,3348697.6744186045
Fos_Ctcf,998,1982,27843,13569,0.649689133177149,0.06851101805450677,0.06645431684828164,1.0707776603210983e-05,0.4191889525105934,1.0309490986254615,3335771.5430861725,3253668.0121089807
Fos_Ctnnb1-d4TCF,239,352,29473,14328,0.6693097855469454,0.016406947209446007,0.011802179379715004,0.00024821044017493514,0.0001006426348355222,1.3901625014821795,3080711.2970711295,3105000
Fos_Ctnnb1-wt,252,470,29355,14315,0.6669444945035141,0.017299375300336376,0.01575859178541492,2.335657587664193e-05,0.23075099898142354,1.0977741879415583,3113214.285714286,3097851.063829787
Fos_Dbp,80,163,29662,14487,0.6699855829879258,0.005491865174709961,0.005465213746856664,2.073807878373579e-08,1.0,1.0048765572743839,3121875,3210552.1472392636
Fos_E2f6,142,292,29533,14425,0.668476302036403,0.00974806068511018,0.009790444258172675,2.952409369066933e-08,1.0,0.99567092442949,3147042.2535211267,3125034.2465753425
Fos_Egr1,205,404,29421,14362,0.6673724995494684,0.014072904510194275,0.013545683151718358,3.253149134636868e-06,0.6639765122533445,1.0389217252884757,3380780.487804878,3354653.4653465347
Fos_Egr3,203,396,29429,14364,0.6675076590376644,0.013935607880826525,0.01327745180217938,5.147281297987125e-06,0.569284535623052,1.0495694571859877,3361773.3990147784,3346742.4242424243
Fos_Egr4,105,214,29611,14462,0.6693998918724094,0.007208073041806823,0.007175188600167645,2.409279372447143e-08,1.0,1.0045830769714417,3303142.8571428573,3211682.2429906544
Fos_Elk1,92,200,29625,14475,0.6694224184537755,0.006315644950916455,0.006705783738474434,3.7301008233873653e-06,0.6619427005470278,0.9418205533054164,3403369.565217391,3340350
Fos_Elk3,98,204,29621,14469,0.6694674716165074,0.006727534839019702,0.006839899413243923,2.9773438769975513e-07,0.9509800589826842,0.9835721890870717,3448775.5102040814,3367941.1764705884
Fos_Elk4,94,186,29639,14473,0.6697828437556317,0.006452941580284204,0.006236378876781224,1.185428284883154e-06,0.7985414409294052,1.0347257130751417,3567446.8085106383,3315967.7419354836
Fos_Esrra,273,546,29279,14294,0.6657055325283835,0.01874098990869774,0.018306789606035205,1.6513407983774486e-06,0.7638378938966934,1.0237179927232787,3301758.241758242,3163076.923076923
