Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Mef2a_Bcl6,186,308,30145,14381,0.6737227898711684,0.012768586531200658,0.010113946080845893,9.995084303729938e-05,0.013569373867504408,1.262473265047577,3104838.709677419,3276428.5714285714
Mef2a_Bhlhe40,134,296,30157,14433,0.6728342958685029,0.009198874167639185,0.00971989623354021,4.56011912568742e-06,0.6411671526341868,0.9463963345510679,3115746.268656716,3176452.7027027025
Mef2a_Bhlhe41,86,209,30244,14481,0.6737005775211017,0.005903755062813208,0.006863034840573999,2.2728849708953877e-05,0.26108161946545194,0.8602251336260796,3118604.6511627906,3224066.985645933
Mef2a_Ctcf,964,2021,28432,13603,0.6529542425588627,0.06617697535525503,0.0663645617837323,8.976904665447538e-08,0.9515764678443938,0.9971733946034546,3275414.937759336,3325264.720435428
Mef2a_Ctnnb1-d4TCF,239,424,30029,14328,0.6723234118169702,0.016406947209446007,0.01392309460480084,6.59206370057161e-05,0.04463390845497633,1.1783980268142908,3162552.3012552303,3177382.0754716983
Mef2a_Ctnnb1-wt,268,454,29999,14299,0.6723011994669036,0.01839774833527837,0.014908219223065051,0.00011906626700992039,0.0063757321367105295,1.2340674670798066,3375335.8208955224,3311431.718061674
Mef2a_Dbp,80,162,30291,14487,0.6746112838738338,0.005491865174709961,0.005319672938626736,8.723413148260806e-07,0.8363223028592126,1.0323689516385337,3319875,3110370.3703703703
Mef2a_E2f6,119,278,30175,14448,0.6729009329187028,0.008169149447381067,0.009128821462581684,1.6858373906817638e-05,0.33216894330549934,0.8948744896442289,3506470.588235294,3251762.5899280575
Mef2a_Egr1,209,377,30076,14358,0.6727010217681031,0.014347497768929773,0.012379732702853578,4.680933392346709e-05,0.09116721687154282,1.1589505293294917,3338755.980861244,3132732.0954907164
Mef2a_Egr3,179,377,30076,14388,0.672034651266104,0.012288048328413537,0.012379732702853578,1.0889996888106823e-07,0.9636363542731359,0.9925939940190383,3539162.0111731845,3215888.5941644562
Mef2a_Egr4,97,229,30224,14470,0.673500666370502,0.0066588865243358275,0.007519784586083473,1.6516865553277763e-05,0.3418432659168175,0.8855155953082924,3340515.463917526,3199519.650655022
Mef2a_Elk1,70,218,30235,14497,0.6731452687694358,0.004805382027871216,0.007158572226053262,0.00014468157555669586,0.002958556482395726,0.6712766004346887,3136285.714285714,3288715.5963302753
Mef2a_Elk3,73,212,30241,14494,0.6733451799200355,0.005011326971922839,0.00696154730240042,9.947652474331155e-05,0.01563878152963421,0.7198582088488973,3127808.2191780824,3317971.6981132077
Mef2a_Elk4,79,206,30247,14488,0.6736117281208351,0.005423216860026087,0.006764522378747578,4.639810198490881e-05,0.09868845135110511,0.8017146749435652,3176202.5316455695,3279320.3883495145
Mef2a_Esrra,237,505,29948,14330,0.6704797867614394,0.01626965058007826,0.01658293107411421,9.580365534674062e-07,0.8432024322404668,0.9811082556735113,3318734.1772151897,3186297.0297029703
Mef2a_Esrrg,254,554,29899,14313,0.669768991559307,0.017436671929704127,0.01819196795061242,5.135427527537539e-06,0.5953564036093123,0.9584818958037542,3283464.566929134,3142418.7725631767
Mef2a_Fos,515,789,29664,14052,0.6703465126610395,0.03535388206219537,0.025908777460348736,0.0004848091227668237,3.6848635789382225e-08,1.3645523072750767,3310776.699029126,3203269.961977186
Mef2a_Fosl2,352,598,29855,14215,0.6709684584629054,0.024164206768723828,0.019636817390733263,0.0001531741236007883,0.0020272616072336694,1.2305561684413824,3212642.0454545454,3237441.4715719065
Mef2a_Foxo4,185,291,30162,14382,0.6740781874722346,0.012699938216516785,0.00955570879716284,0.00014471967793196205,0.002638272392961746,1.3290419879985762,3142378.378378378,3134536.0824742266
Mef2a_Hlf,206,406,30047,14361,0.6719902265659706,0.01414155282487815,0.013332019833842315,7.664370700570175e-06,0.48667835040578156,1.0607209560985573,3272184.4660194176,3239556.6502463054
Mef2a_Hsf1,779,1476,28977,13788,0.6609506885828521,0.05347703713873824,0.04846813121859915,8.236832738750532e-05,0.023620372007316343,1.1033443170636827,3264261.8741976894,3249044.7154471544
Mef2a_Irf2,210,354,30099,14357,0.6732341181697024,0.014416146083613647,0.011624470495517684,9.714957103808611e-05,0.014389079010217139,1.24015507537934,3090000,3221949.1525423727
Mef2a_Irf3,686,1223,29230,13881,0.664504664593514,0.047092743873137916,0.04016024693790431,0.0001836910123939814,0.0007351753002527532,1.1726208742180448,3255174.9271137025,3224129.1905151266
Mef2a_Irf9,225,395,30058,14342,0.6726565970679698,0.015445870803871765,0.012970807473812103,6.984836759205137e-05,0.037941462720520305,1.1908179837729287,3084666.6666666665,3290734.1772151897
Mef2a_Jun,481,788,29665,14086,0.6696135051088405,0.03301983936294364,0.02587593997307326,0.00028660237848900094,2.296928977321786e-05,1.2760827006595465,3285405.4054054054,3206230.964467005
Mef2a_Junb,483,743,29710,14084,0.6706574855619725,0.03315713599231139,0.024398253045676943,0.000442798960531756,1.603704555838103e-07,1.3589963154426095,3285341.614906832,3240726.783310902
Mef2a_Klf15,1903,3887,26566,12664,0.6323633940470902,0.1306377428434132,0.1276393130397662,1.2636622927567065e-05,0.37471124527818356,1.0234914285594192,3265065.6857593274,3230406.483148958
Mef2a_Klf3,760,1587,28866,13807,0.6580630830741893,0.05217271915974463,0.05211309230617673,1.1358136257910711e-08,0.9819235909714207,1.0011441818347215,3271894.736842105,3238185.2551984875
Mef2a_Klf8,1980,4068,26385,12587,0.6300533096401599,0.13592366307407153,0.13358289823662695,7.425911619160508e-06,0.4968768567686481,1.017522937953466,3277651.515151515,3233281.7109144544
Mef2a_Lef1,704,1212,29241,13863,0.6651488227454465,0.048328413537447656,0.0397990345778741,0.00027611321127744143,3.397610765257501e-05,1.2143112025213643,3274517.0454545454,3236608.910891089
Mef2a_Mef2a,277,443,30010,14290,0.6727454464682363,0.01901558316743324,0.014547006863034841,0.0001946593729200783,0.0004729968861589679,1.3071818379183848,3201335.740072202,3240203.1602708804
Mef2b_Arid5b,208,371,30082,14359,0.6728120835184362,0.014278849454245898,0.012182707779200736,5.36854749375662e-05,0.06684404268478092,1.172058766658087,3180288.4615384615,3121778.9757412397
Mef2b_Atf2,338,674,29779,14229,0.668969346956908,0.023203130363149586,0.02213246642366926,8.192375544752162e-06,0.4755826353055922,1.048375265502959,3342603.550295858,3166335.3115727003
Mef2b_Bach2,613,1113,29340,13954,0.6653265215459796,0.04208141690121508,0.036548123337602205,0.00012911863311113048,0.004597429547694408,1.1513974742971274,3192773.246329527,3245067.385444744
Mef2b_Bcl6,200,382,30071,14367,0.6723900488671701,0.013729662936774903,0.012543920139230946,1.721875162233842e-05,0.3051245693279006,1.0945272916586548,3195750,3299921.4659685865
Mef2b_Bhlhe40,138,339,30114,14429,0.671968014215904,0.009473467426374683,0.011131908186385578,4.2238823785857235e-05,0.11534557495732499,0.8510191844701718,3266304.347826087,3338053.097345133
Mef2b_Bhlhe41,89,214,30239,14478,0.6736561528209685,0.006109700006864832,0.007027222276951368,2.0220836192076132e-05,0.2948811742617739,0.8694331509768912,3346516.853932584,3376822.429906542
Mef2b_Ctcf,1121,2360,28093,13446,0.6489115948467348,0.07695476076062333,0.07749646997011789,6.498992250331126e-07,0.8504327334314228,0.9930098853573145,3305780.5530776093,3285406.779661017
