chrom	start	stop
chr1	3094660	3095551
chr1	3111693	3112506
chr1	3113244	3114118
chr1	3119482	3120259
chr1	3121260	3122016
chr1	3209972	3210885
chr1	3216870	3217727
chr1	3235118	3235931
chr1	3292373	3293249
chr1	3299331	3300404
chr1	3301571	3302496
chr1	3309677	3310544
chr1	3311274	3312094
chr1	3335109	3335898
chr1	3366181	3367051
chr1	3379348	3380199
chr1	3399669	3400532
chr1	3405785	3406585
chr1	3407092	3408004
chr1	3411530	3412317
chr1	3416157	3417012
chr1	3433611	3434533
chr1	3466178	3467048
chr1	3473826	3474730
chr1	3514453	3515378
chr1	3535811	3536735
chr1	3575489	3576522
chr1	3648846	3649710
chr1	3671261	3672166
chr1	3741903	3742762
chr1	3900080	3900976
chr1	3903240	3904071
chr1	4061576	4062445
chr1	4068533	4069441
chr1	4077333	4078231
chr1	4089445	4090343
chr1	4142210	4143058
chr1	4332154	4333037
chr1	4411999	4413001
chr1	4414203	4415049
chr1	4491787	4492744
chr1	4493029	4493872
chr1	4571359	4572297
chr1	4688865	4689561
chr1	4722374	4723269
chr1	4766478	4767337
chr1	4769838	4770772
chr1	4785235	4786157
chr1	4807385	4808292
chr1	4857334	4858166
chr1	4910577	4911449
chr1	4911633	4912464
chr1	4926009	4926923
chr1	4970536	4971257
chr1	5015099	5015994
chr1	5017872	5018758
chr1	5019035	5019834
chr1	5020243	5020988
chr1	5022522	5023394
chr1	5065081	5065471
chr1	5069959	5070848
chr1	5082747	5083672
chr1	5106109	5107130
chr1	5128521	5129311
chr1	5129434	5130023
chr1	5165613	5166514
chr1	5170198	5171089
chr1	5176905	5177802
chr1	5183238	5184112
chr1	5220533	5221432
chr1	5242940	5243822
chr1	5249148	5250033
chr1	5297270	5298029
chr1	5315518	5316392
chr1	5463059	5463993
chr1	5588279	5589092
chr1	5915120	5915999
chr1	5916854	5917691
chr1	6089716	6090534
chr1	6094027	6094902
chr1	6134818	6135715
chr1	6152251	6153125
chr1	6214325	6215186
chr1	6271975	6272823
chr1	6306391	6307208
chr1	6320275	6321138
chr1	6330335	6331241
chr1	6358818	6359728
chr1	6361670	6362543
chr1	6382493	6383394
chr1	6400659	6401177
chr1	6401301	6402087
chr1	6406038	6406942
chr1	6409823	6410740
chr1	6440961	6441864
chr1	6477583	6478488
chr1	6483153	6484062
chr1	6656844	6657684
chr1	6658148	6658978
chr1	6729415	6730245
chr1	6733486	6734366
chr1	6760388	6761192
chr1	6769774	6770752
chr1	6804863	6805738
chr1	6810034	6810946
chr1	6829424	6830319
chr1	6831573	6832444
chr1	6858796	6859668
chr1	6862065	6862948
chr1	6866609	6867495
chr1	7010011	7010841
chr1	7088422	7089355
chr1	7102265	7103178
chr1	7104859	7105733
chr1	7112881	7113744
chr1	7138523	7139018
chr1	7139115	7139586
chr1	7199759	7200491
chr1	7204534	7205445
chr1	7206279	7207178
chr1	7218592	7219547
chr1	7397603	7398498
chr1	7543212	7544084
chr1	7750511	7751410
chr1	8468546	8469436
chr1	8582737	8583620
chr1	8679258	8679836
chr1	8721932	8722763
chr1	8780813	8781528
chr1	8842473	8843323
chr1	8867482	8868361
chr1	9125469	9126450
chr1	9130139	9131050
chr1	9153446	9154286
chr1	9156884	9157710
chr1	9161014	9161946
chr1	9168103	9168996
chr1	9188774	9189758
chr1	9191955	9192778
chr1	9296498	9297350
chr1	9298428	9299056
chr1	9299314	9300130
chr1	9458429	9459276
chr1	9535826	9536725
chr1	9540957	9541861
chr1	9544942	9545794
chr1	9547777	9548549
chr1	9548693	9549550
chr1	9569989	9570779
chr1	9572970	9573882
chr1	9577786	9578711
chr1	9600915	9601781
chr1	9602188	9603000
chr1	9609083	9609932
chr1	9611462	9612298
chr1	9619291	9620179
chr1	9622251	9623129
chr1	9627165	9628079
chr1	9629803	9630689
chr1	9695584	9696450
chr1	9696589	9697288
chr1	9700026	9700954
chr1	9722209	9723124
chr1	9731148	9731983
chr1	9733365	9734215
chr1	9748037	9748889
chr1	9768409	9769312
chr1	9772575	9773438
chr1	9797743	9798657
chr1	9811914	9812923
chr1	9815579	9816642
chr1	9823163	9824063
chr1	9847874	9848772
chr1	9862253	9863140
chr1	9891541	9892401
chr1	9908288	9909145
chr1	9943659	9944555
chr1	9967051	9967742
chr1	9993518	9994413
chr1	10006979	10007864
chr1	10008702	10009623
chr1	10037607	10038518
chr1	10039436	10040300
chr1	10080331	10081213
chr1	10085335	10086241
chr1	10089166	10090173
chr1	10101801	10102713
chr1	10116334	10117189
chr1	10135649	10136378
chr1	10141461	10142126
chr1	10150415	10151237
chr1	10156950	10157864
chr1	10164699	10165597
chr1	10228691	10229523
chr1	10232623	10233466
chr1	10327667	10328547
chr1	10483980	10484776
chr1	10596204	10597079
chr1	10699776	10700621
chr1	10700890	10701611
chr1	10704222	10705161
chr1	10719582	10720467
chr1	10720609	10721431
chr1	10759334	10760202
chr1	10777571	10778396
chr1	10833573	10834515
chr1	10835484	10836366
chr1	10836999	10837838
chr1	10898994	10899920
chr1	10993288	10994167
chr1	11033168	11034033
chr1	11089374	11090281
chr1	11097048	11097923
chr1	11137797	11138667
chr1	11168942	11169944
chr1	11177616	11178548
chr1	11179605	11180532
chr1	11268068	11268912
chr1	11329184	11330052
chr1	11355361	11356172
chr1	11413715	11414631
chr1	11446940	11447817
chr1	11462031	11462896
chr1	11549542	11550438
chr1	11573280	11574150
chr1	11579855	11580690
chr1	11649869	11650751
chr1	11652696	11653309
chr1	11657470	11658351
chr1	11742029	11742929
chr1	11750354	11751258
chr1	11788075	11788951
chr1	11795401	11796440
chr1	11895619	11896421
chr1	11896627	11897629
chr1	11997370	11998237
chr1	12010363	12011249
chr1	12029288	12030174
chr1	12282265	12283161
chr1	12367588	12368503
chr1	12405532	12406397
chr1	12452676	12453529
chr1	12500144	12501035
chr1	12555673	12556572
chr1	12571832	12572715
chr1	12576723	12577612
chr1	12619921	12620798
chr1	12689276	12690180
chr1	12691980	12692691
chr1	12692831	12693614
chr1	12715249	12716105
chr1	12717896	12718787
chr1	12771015	12771873
chr1	12784957	12785879
chr1	12832798	12833695
chr1	12863802	12864675
chr1	12865008	12865773
chr1	12877530	12878460
chr1	12947269	12948144
chr1	12992013	12992961
chr1	13004711	13005632
chr1	13018253	13019109
chr1	13049882	13050777
chr1	13051775	13052667
chr1	13069258	13070138
chr1	13103481	13104398
chr1	13134082	13134935
chr1	13142066	13142912
chr1	13174256	13175048
chr1	13183247	13183952
chr1	13188213	13189040
chr1	13196730	13197631
chr1	13214052	13215055
chr1	13222464	13223096
chr1	13224684	13225341
chr1	13228145	13228833
chr1	13251469	13252348
chr1	13259140	13260069
chr1	13299264	13300156
chr1	13305192	13306020
chr1	13307877	13308705
chr1	13313095	13313792
chr1	13314351	13315253
chr1	13360450	13361339
chr1	13366382	13367369
chr1	13372236	13373062
chr1	13393045	13393973
chr1	13426054	13427029
chr1	13427578	13428414
chr1	13494512	13495441
chr1	13500293	13501137
chr1	13531257	13532140
chr1	13573668	13574587
chr1	13589449	13590285
chr1	13614471	13615392
chr1	13615631	13616436
chr1	13619164	13620085
chr1	13639168	13640055
chr1	13647593	13648508
chr1	13649329	13650278
chr1	13660073	13660886
chr1	13682742	13683652
chr1	13706052	13706951
chr1	13752219	13753107
chr1	13784214	13785083
chr1	13789048	13789941
chr1	13848548	13849429
chr1	13870438	13871344
chr1	13991063	13991947
chr1	14108338	14109291
chr1	14129242	14130143
chr1	14143989	14144900
chr1	14150908	14151726
chr1	14180034	14180879
chr1	14181433	14182317
chr1	14183970	14184845
chr1	14203963	14204828
chr1	14207908	14208848
chr1	14233931	14234824
chr1	14235864	14236882
chr1	14293672	14294601
chr1	14304528	14305257
chr1	14309444	14310348
chr1	14484147	14485169
chr1	14506332	14507131
chr1	14635606	14636511
chr1	14704694	14705586
chr1	14739709	14740588
chr1	14755114	14755995
chr1	14816376	14817206
chr1	14918333	14919182
chr1	14937597	14938459
chr1	15072522	15073416
chr1	15154829	15155657
chr1	15286329	15287238
