chrom	start	stop
chr1	3094719	3095621
chr1	3111653	3112490
chr1	3113252	3114101
chr1	3119530	3120184
chr1	3121290	3122054
chr1	3198165	3199028
chr1	3209963	3210884
chr1	3216857	3217674
chr1	3235106	3235987
chr1	3251444	3252055
chr1	3292372	3293244
chr1	3299345	3300220
chr1	3309693	3310577
chr1	3311275	3312090
chr1	3334982	3335856
chr1	3366123	3367037
chr1	3378659	3379227
chr1	3379348	3380225
chr1	3399662	3400531
chr1	3405751	3406600
chr1	3407106	3408156
chr1	3433632	3434528
chr1	3466127	3466999
chr1	3477355	3478226
chr1	3514468	3515381
chr1	3535779	3536787
chr1	3648746	3649714
chr1	3662339	3663186
chr1	3666940	3667840
chr1	3671243	3672140
chr1	3741898	3742726
chr1	3764525	3765204
chr1	3900090	3900988
chr1	3903246	3904099
chr1	4032547	4033529
chr1	4061580	4062449
chr1	4068542	4069471
chr1	4077376	4078318
chr1	4089425	4090338
chr1	4142228	4143255
chr1	4332133	4333004
chr1	4392381	4393221
chr1	4412162	4413047
chr1	4414125	4414994
chr1	4491706	4492628
chr1	4492971	4493908
chr1	4571346	4572281
chr1	4688952	4689620
chr1	4722361	4723276
chr1	4766434	4767327
chr1	4779989	4780695
chr1	4785242	4786162
chr1	4807393	4808293
chr1	4857310	4858151
chr1	4926053	4926908
chr1	4970530	4971188
chr1	5012581	5013449
chr1	5015093	5015998
chr1	5017825	5018756
chr1	5022510	5023392
chr1	5064711	5065583
chr1	5069953	5070860
chr1	5082752	5083679
chr1	5102962	5103839
chr1	5106242	5107105
chr1	5128520	5129339
chr1	5165697	5166542
chr1	5170198	5171090
chr1	5176901	5177795
chr1	5183233	5184127
chr1	5220500	5221388
chr1	5242939	5243820
chr1	5249113	5249966
chr1	5278965	5279858
chr1	5287837	5288709
chr1	5315469	5316364
chr1	5382199	5383067
chr1	5463071	5464001
chr1	5827222	5828183
chr1	5829310	5830128
chr1	5904496	5905410
chr1	5915142	5916004
chr1	5916828	5917718
chr1	6089677	6090635
chr1	6094030	6094923
chr1	6096860	6097775
chr1	6134823	6135714
chr1	6152203	6153195
chr1	6214322	6215179
chr1	6234771	6235576
chr1	6271980	6272836
chr1	6282384	6283184
chr1	6306403	6307276
chr1	6320260	6321128
chr1	6330231	6331241
chr1	6358816	6359706
chr1	6361693	6362552
chr1	6382482	6383384
chr1	6401326	6402083
chr1	6406051	6406960
chr1	6409833	6410741
chr1	6440961	6441871
chr1	6477547	6478414
chr1	6483154	6484074
chr1	6488823	6489702
chr1	6594257	6595120
chr1	6656843	6657683
chr1	6658173	6658936
chr1	6729400	6730238
chr1	6733455	6734354
chr1	6738926	6739789
chr1	6760367	6761183
chr1	6761389	6762090
chr1	6769756	6770649
chr1	6804861	6805763
chr1	6810043	6811125
chr1	6819856	6820696
chr1	6829388	6830315
chr1	6831549	6832443
chr1	6858761	6859653
chr1	6861978	6862951
chr1	6866607	6867474
chr1	6893256	6894125
chr1	7009982	7010829
chr1	7088418	7089350
chr1	7104861	7105735
chr1	7112873	7113725
chr1	7139004	7139600
chr1	7158385	7159251
chr1	7199812	7200470
chr1	7204509	7205383
chr1	7206310	7207196
chr1	7218619	7219498
chr1	7381060	7381919
chr1	7397589	7398489
chr1	7543241	7544086
chr1	7750527	7751439
chr1	8134749	8135627
chr1	8328929	8329955
chr1	8386262	8387074
chr1	8468522	8469399
chr1	8493960	8494764
chr1	8582714	8583608
chr1	8678793	8679284
chr1	8679380	8679796
