chrom	start	stop
chr1	3094687	3095583
chr1	3111688	3112496
chr1	3113247	3114126
chr1	3119534	3120094
chr1	3120191	3120747
chr1	3121304	3122048
chr1	3209935	3210896
chr1	3216853	3217712
chr1	3289708	3290792
chr1	3292340	3293207
chr1	3299343	3300291
chr1	3309679	3310559
chr1	3311269	3312370
chr1	3335082	3335889
chr1	3365959	3367062
chr1	3367878	3368737
chr1	3379413	3380229
chr1	3399612	3400506
chr1	3405664	3406579
chr1	3407070	3407995
chr1	3410471	3411394
chr1	3433612	3434528
chr1	3466145	3466989
chr1	3508133	3508957
chr1	3514483	3515356
chr1	3552341	3553142
chr1	3575590	3576545
chr1	3648878	3649773
chr1	3671276	3672190
chr1	3741882	3742713
chr1	3900071	3900971
chr1	3903039	3904047
chr1	4032618	4033524
chr1	4061532	4062577
chr1	4068496	4069400
chr1	4077331	4078226
chr1	4089334	4090335
chr1	4142228	4143100
chr1	4332132	4333000
chr1	4412211	4413068
chr1	4414167	4414958
chr1	4491808	4492675
chr1	4493039	4493909
chr1	4571342	4572283
chr1	4688138	4688806
chr1	4688929	4689470
chr1	4722385	4723285
chr1	4766477	4767351
chr1	4769950	4770764
chr1	4780025	4780801
chr1	4785241	4786161
chr1	4807388	4808291
chr1	4857318	4858160
chr1	4926027	4926909
chr1	4970496	4971242
chr1	5015087	5015999
chr1	5017924	5018759
chr1	5022502	5023388
chr1	5069919	5070983
chr1	5082753	5083687
chr1	5102949	5103810
chr1	5106196	5107241
chr1	5122348	5123195
chr1	5128571	5129357
chr1	5165742	5166574
chr1	5170202	5171085
chr1	5176921	5177805
chr1	5183241	5184134
chr1	5220225	5221405
chr1	5242952	5243930
chr1	5249131	5250018
chr1	5297320	5298134
chr1	5315500	5316377
chr1	5463045	5463942
chr1	5588189	5589101
chr1	5915156	5916016
chr1	5916832	5917769
chr1	6089803	6090790
chr1	6094020	6094919
chr1	6152198	6153220
chr1	6214315	6215167
chr1	6269868	6270735
chr1	6271980	6272856
chr1	6306418	6307318
chr1	6320263	6321137
chr1	6358836	6359757
chr1	6361555	6362466
chr1	6382479	6383388
chr1	6401314	6402070
chr1	6406060	6406946
chr1	6409848	6410758
chr1	6440941	6441858
chr1	6483171	6484074
chr1	6488780	6489677
chr1	6594296	6595256
chr1	6656842	6657663
chr1	6729388	6730217
chr1	6733399	6734331
chr1	6760368	6761176
chr1	6769815	6770661
chr1	6804853	6805724
chr1	6810057	6810957
chr1	6819901	6820669
chr1	6858796	6859685
chr1	6861952	6862907
chr1	6866657	6867560
chr1	7009999	7010825
chr1	7088411	7089344
chr1	7104882	7105748
chr1	7112865	7113741
chr1	7139015	7139640
chr1	7199757	7200504
chr1	7206313	7207195
chr1	7214105	7214890
chr1	7218614	7219483
chr1	7381043	7381885
chr1	7397590	7398478
chr1	7543243	7544070
chr1	7750506	7751437
chr1	8134787	8135675
chr1	8386255	8387074
