chrom	start	stop
chr1	3094692	3095577
chr1	3113259	3114146
chr1	3119490	3120128
chr1	3120236	3120639
chr1	3121255	3122016
chr1	3209958	3210855
chr1	3216863	3217715
chr1	3235111	3236005
chr1	3251181	3252003
chr1	3292374	3293263
chr1	3299334	3300245
chr1	3301558	3302367
chr1	3309703	3310565
chr1	3311302	3312199
chr1	3333387	3334300
chr1	3335119	3335909
chr1	3366094	3367074
chr1	3367937	3368807
chr1	3379416	3380234
chr1	3399691	3400543
chr1	3405799	3406583
chr1	3407112	3408000
chr1	3433591	3434514
chr1	3466192	3467097
chr1	3514505	3515439
chr1	3535796	3536707
chr1	3575394	3576293
chr1	3584187	3584876
chr1	3648818	3649697
chr1	3662331	3663297
chr1	3671278	3672186
chr1	3741898	3742713
chr1	3900069	3900969
chr1	3903294	3904228
chr1	4061537	4062462
chr1	4068606	4069483
chr1	4077294	4078168
chr1	4089423	4090331
chr1	4138963	4139765
chr1	4142230	4143110
chr1	4227931	4228796
chr1	4332147	4333033
chr1	4414188	4414987
chr1	4491769	4492607
chr1	4493007	4493856
chr1	4571373	4572310
chr1	4688106	4688775
chr1	4688902	4689516
chr1	4722394	4723285
chr1	4766502	4767338
chr1	4780019	4780766
chr1	4785248	4786165
chr1	4807389	4808295
chr1	4857323	4858165
chr1	4926042	4926881
chr1	4970443	4971210
chr1	5015082	5015932
chr1	5017873	5018775
chr1	5019055	5019859
chr1	5022507	5023385
chr1	5065025	5065517
chr1	5069845	5070867
chr1	5082744	5083676
chr1	5102895	5103840
chr1	5106180	5107180
chr1	5128486	5129343
chr1	5165567	5166489
chr1	5170198	5171217
chr1	5176914	5177800
chr1	5183231	5184123
chr1	5220460	5221374
chr1	5228552	5229445
chr1	5242939	5243818
chr1	5249118	5250041
chr1	5315407	5316344
chr1	5382160	5383068
chr1	5463034	5463962
chr1	5588281	5589150
chr1	5915149	5916005
chr1	5916838	5917720
chr1	6089741	6090676
chr1	6094024	6094904
chr1	6134831	6135709
chr1	6152179	6153088
